#  Ohio Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,1.46
199402,-0.17
199403,-0.33
199404,0.40
199405,-0.35
199406,-0.34
199407,-0.45
199408,0.50
199409,-0.46
199410,-1.20
199411,-1.46
199412,-1.67
199501,-0.92
199502,-1.25
199503,-1.94
199504,0.13
199505,1.09
199506,1.06
199507,-0.36
199508,-0.29
199509,-0.91
199510,0.70
199511,0.78
199512,0.69
199601,1.16
199602,1.03
199603,1.02
199604,1.90
199605,2.85
199606,2.97
199607,3.19
199608,2.10
199609,3.09
199610,2.94
199611,3.44
199612,3.81
199701,3.35
199702,3.00
199703,3.37
199704,2.34
199705,2.94
199706,3.25
199707,2.76
199708,3.43
199709,2.93
199710,2.34
199711,2.19
199712,1.96
199801,2.11
199802,1.89
199803,1.31
199804,2.06
199805,1.34
199806,2.66
199807,-0.18
199808,-0.04
199809,-0.90
199810,-0.72
199811,-1.37
199812,-1.88
199901,-1.06
199902,-0.77
199903,-1.20
199904,-1.00
199905,-1.69
199906,-2.50
199907,-2.89
199908,-2.95
199909,-3.37
199910,-3.43
199911,-4.01
199912,-4.25
200001,-3.99
200002,-3.14
200003,-3.48
200004,0.25
200005,0.47
200006,0.84
200007,1.00
200008,1.29
200009,1.80
200010,1.63
200011,1.43
200012,1.75
200101,-0.47
200102,-0.75
200103,-1.29
200104,-1.37
200105,0.57
200106,-0.31
200107,-0.37
200108,-0.43
200109,0.13
200110,1.08
200111,1.12
200112,1.18
200201,-0.18
200202,-0.49
200203,0.20
200204,0.60
200205,1.27
200206,-0.26
200207,-1.00
200208,-1.90
200209,-1.53
200210,-1.29
200211,-1.39
200212,-1.32
200301,-1.52
200302,-1.02
200303,-1.53
200304,-1.95
200305,1.25
200306,1.34
200307,2.74
200308,3.26
200309,4.64
200310,4.67
200311,4.96
200312,4.77
200401,4.78
200402,3.89
200403,3.31
200404,2.76
200405,3.49
200406,3.51
200407,3.62
200408,3.85
200409,4.18
200410,4.20
200411,4.57
200412,4.64
200501,5.95
200502,-0.23
200503,-0.42
200504,-0.09
200505,-0.47
200506,-1.57
200507,-1.65
200508,-1.10
200509,-1.07
200510,-1.06
200511,-1.06
200512,-1.39
200601,-1.13
200602,-1.28
200603,-1.45
200604,-1.71
200605,0.19
200606,0.57
200607,1.32
200608,1.05
200609,2.03
200610,3.81
200611,3.63
200612,3.55
200701,4.04
200702,-0.06
200703,0.13
200704,0.15
200705,-1.17
200706,-1.77
200707,-1.83
200708,0.68
200709,-0.51
200710,-0.59
200711,-0.71
200712,0.75
200801,0.65
200802,1.91
200803,3.24
200804,2.27
200805,2.54
200806,3.32
200807,-0.06
200808,-0.70
200809,-1.01
200810,-1.25
200811,-1.58
200812,0.62
200901,0.59
200902,-0.07
200903,-0.60
200904,-0.45
200905,-0.53
200906,0.07
200907,0.43
200908,0.31
200909,0.17
200910,1.13
200911,-0.53
200912,-0.18
201001,-0.43
201002,-0.45
201003,-0.76
201004,-1.62
201005,0.39
201006,1.27
201007,-0.30
201008,-0.77
201009,-1.22
201010,-1.56
201011,-1.27
201012,-1.51
201101,-1.75
201102,1.17
201103,1.45
201104,3.09
201105,3.81
201106,3.31
201107,2.68
201108,2.52
201109,3.64
201110,4.44
201111,5.50
201112,5.84
201201,5.64
201202,-0.34
201203,-1.05
201204,-1.70
201205,-1.95
201206,-2.63
201207,-3.08
201208,-3.27
201209,0.92
201210,1.80
201211,1.15
201212,1.90
201301,1.79
201302,-0.14
201303,-0.40
201304,-0.25
201305,-1.05
201306,0.82
201307,2.17
201308,1.81
201309,1.57
201310,2.04
201311,2.39
201312,3.09
201401,2.64
201402,2.58
201403,1.88
201404,2.42
201405,2.14
201406,2.53
201407,2.30
201408,2.53
201409,2.02
201410,2.13
201411,1.89
201412,1.81
201501,1.65
201502,1.14
201503,1.23
201504,1.50
201505,0.86
201506,2.57
201507,2.86
201508,-0.26
201509,-0.31
201510,-0.14
201511,-0.48
201512,0.45
201601,-0.44
201602,0.49
201603,-0.02
201604,-0.10
201605,-0.25
201606,-0.61
201607,-1.04
201608,-0.97
201609,-0.83
201610,-0.86
201611,-1.84
201612,-1.84
