#  South Carolina Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,-1.93
199402,-2.07
199403,-1.75
199404,-2.36
199405,-2.67
199406,1.00
199407,1.25
199408,1.70
199409,1.91
199410,3.14
199411,3.08
199412,3.57
199501,3.93
199502,4.06
199503,2.82
199504,1.61
199505,0.90
199506,1.99
199507,1.58
199508,2.81
199509,2.69
199510,3.41
199511,3.71
199512,-0.22
199601,-0.07
199602,-0.61
199603,-0.10
199604,0.00
199605,-0.37
199606,-0.81
199607,-1.10
199608,0.00
199609,0.39
199610,0.62
199611,0.65
199612,0.56
199701,0.70
199702,0.80
199703,0.10
199704,0.75
199705,0.47
199706,1.18
199707,1.58
199708,0.77
199709,1.19
199710,1.62
199711,2.35
199712,2.95
199801,3.90
199802,4.76
199803,4.51
199804,5.15
199805,-0.13
199806,-0.71
199807,-1.32
199808,-1.88
199809,-1.50
199810,-1.88
199811,-2.49
199812,-2.83
199901,-2.28
199902,-2.48
199903,-2.69
199904,-2.37
199905,-2.46
199906,-1.98
199907,-2.33
199908,-3.06
199909,-2.00
199910,-1.32
199911,-1.46
199912,-1.57
200001,-0.62
200002,-1.36
200003,-1.47
200004,-1.44
200005,-2.36
200006,-2.69
200007,-2.80
200008,-3.07
200009,-1.77
200010,-2.39
200011,-1.87
200012,-2.02
200101,-2.34
200102,-2.67
200103,-1.75
200104,-2.50
200105,-2.80
200106,-2.38
200107,-2.18
200108,-2.92
200109,-2.80
200110,-3.23
200111,-3.92
200112,-4.86
200201,-4.93
200202,-5.31
200203,-4.82
200204,-5.15
200205,-4.70
200206,-4.80
200207,-5.30
200208,-4.82
200209,0.09
200210,0.44
200211,1.05
200212,1.55
200301,0.81
200302,0.86
200303,1.60
200304,2.43
200305,2.98
200306,3.52
200307,4.31
200308,0.01
200309,-0.14
200310,0.24
200311,-0.47
200312,-0.64
200401,-1.18
200402,-0.55
200403,-1.68
200404,-2.10
200405,-2.50
200406,0.35
200407,0.04
200408,0.63
200409,1.97
200410,-0.38
200411,-0.27
200412,-0.50
200501,-1.07
200502,-0.02
200503,0.18
200504,0.01
200505,0.24
200506,1.21
200507,1.27
200508,-0.04
200509,-1.20
200510,0.33
200511,0.37
200512,0.65
200601,-0.26
200602,-0.50
200603,-1.44
200604,-1.80
200605,-1.97
200606,-1.00
200607,-1.61
200608,-1.75
200609,0.08
200610,0.12
200611,0.88
200612,0.91
200701,-0.07
200702,-0.44
200703,-1.13
200704,-1.26
200705,-1.86
200706,-1.70
200707,-2.02
200708,-3.01
200709,-3.63
200710,-3.73
200711,-4.36
200712,-4.05
200801,-4.02
200802,-3.66
200803,-3.61
200804,-3.29
200805,-3.19
200806,-3.81
200807,-3.89
200808,0.36
200809,0.22
200810,0.71
200811,1.24
200812,-0.13
200901,-0.65
200902,-1.18
200903,0.20
200904,0.21
200905,0.93
200906,-0.13
200907,-0.40
200908,-1.02
200909,-1.44
200910,0.49
200911,1.08
200912,2.74
201001,2.99
201002,-0.04
201003,-0.40
201004,-1.21
201005,-1.40
201006,-1.74
201007,-2.08
201008,-2.02
201009,-1.88
201010,-2.33
201011,-2.83
201012,-3.37
201101,-3.87
201102,-3.90
201103,-3.39
201104,-3.36
201105,-3.32
201106,-3.92
201107,-4.44
201108,-4.75
201109,-4.48
201110,-4.35
201111,-4.14
201112,-4.68
201201,-5.06
201202,-5.35
201203,-5.41
201204,-5.25
201205,0.63
201206,0.71
201207,0.58
201208,1.34
201209,-0.29
201210,-0.60
201211,-0.92
201212,-0.69
201301,-1.14
201302,0.82
201303,0.57
201304,0.99
201305,1.01
201306,2.12
201307,3.69
201308,4.02
201309,-0.38
201310,-0.87
201311,0.19
201312,0.78
201401,0.63
201402,0.38
201403,0.43
201404,0.64
201405,0.63
201406,-0.34
201407,-0.57
201408,-0.86
201409,-0.49
201410,-0.87
201411,0.63
201412,0.77
201501,0.69
201502,0.83
201503,-0.47
201504,-0.16
201505,-0.95
201506,-1.41
201507,-2.24
201508,-2.14
201509,-2.09
201510,2.77
201511,4.16
201512,4.65
201601,-0.24
201602,0.27
201603,-0.93
201604,-1.23
201605,-0.37
201606,-0.65
201607,-1.38
201608,-2.09
201609,0.47
201610,1.12
201611,-0.54
201612,-0.34
