#  South Dakota Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,6.49
199402,6.37
199403,5.62
199404,5.64
199405,4.26
199406,3.71
199407,4.44
199408,4.27
199409,3.70
199410,4.62
199411,4.30
199412,3.96
199501,3.61
199502,3.30
199503,3.92
199504,5.15
199505,6.76
199506,6.40
199507,6.86
199508,6.64
199509,6.35
199510,7.46
199511,6.87
199512,6.13
199601,6.18
199602,5.63
199603,5.32
199604,4.66
199605,6.21
199606,5.11
199607,4.75
199608,4.20
199609,5.88
199610,6.60
199611,6.74
199612,7.09
199701,7.52
199702,7.55
199703,7.07
199704,7.71
199705,7.54
199706,6.89
199707,8.01
199708,7.99
199709,7.31
199710,7.09
199711,6.22
199712,5.34
199801,4.89
199802,4.69
199803,4.94
199804,4.29
199805,3.66
199806,4.31
199807,4.57
199808,5.05
199809,3.85
199810,6.67
199811,6.77
199812,6.13
199901,5.96
199902,5.50
199903,5.02
199904,5.73
199905,6.01
199906,6.54
199907,6.95
199908,7.44
199909,7.86
199910,6.69
199911,5.28
199912,4.51
200001,4.04
200002,3.89
200003,3.31
200004,3.48
200005,3.43
200006,2.94
200007,2.95
200008,2.20
200009,1.20
200010,1.06
200011,2.07
200012,1.88
200101,2.17
200102,2.43
200103,1.97
200104,3.07
200105,2.81
200106,2.71
200107,3.78
200108,-0.61
200109,-0.40
200110,-0.47
200111,-0.35
200112,-0.75
200201,-0.88
200202,-1.20
200203,-1.30
200204,-1.70
200205,-2.05
200206,-3.43
200207,-4.35
200208,-3.48
200209,-3.35
200210,-2.41
200211,-2.71
200212,-2.73
200301,-2.51
200302,-2.24
200303,-2.24
200304,-2.13
200305,-1.88
200306,-1.49
200307,-2.02
200308,-2.98
200309,-2.58
200310,-2.81
200311,-2.43
200312,-2.42
200401,-2.35
200402,-2.27
200403,-2.18
200404,-2.98
200405,0.33
200406,-0.29
200407,-0.24
200408,-0.41
200409,1.52
200410,2.25
200411,-0.29
200412,-0.62
200501,-0.62
200502,-0.69
200503,-1.11
200504,-1.24
200505,0.65
200506,1.43
200507,-0.23
200508,-0.31
200509,-0.07
200510,-0.31
200511,0.18
200512,0.46
200601,-0.13
200602,-0.35
200603,-0.10
200604,-0.16
200605,-1.19
200606,-2.32
200607,-3.86
200608,0.15
200609,1.50
200610,1.11
200611,0.68
200612,0.81
200701,0.40
200702,0.63
200703,0.75
200704,0.94
200705,1.69
200706,-0.06
200707,-0.86
200708,1.17
200709,0.88
200710,1.82
200711,-0.51
200712,-0.30
200801,-0.49
200802,-0.59
200803,-0.69
200804,0.00
200805,1.01
200806,2.13
200807,2.96
200808,2.91
200809,3.19
200810,4.29
200811,4.48
200812,4.52
200901,4.28
200902,4.66
200903,5.38
200904,5.46
200905,4.38
200906,4.37
200907,5.25
200908,6.05
200909,5.52
200910,7.56
200911,6.41
200912,6.81
201001,6.66
201002,6.54
201003,6.49
201004,6.36
201005,6.72
201006,7.26
201007,8.27
201008,8.42
201009,9.16
201010,8.19
201011,7.28
201012,7.20
201101,7.17
201102,7.34
201103,7.16
201104,7.24
201105,8.07
201106,8.31
201107,8.80
201108,8.85
201109,-0.37
201110,-0.43
201111,-0.72
201112,-0.84
201201,-0.77
201202,-0.05
201203,-1.65
201204,-1.40
201205,-1.45
201206,-2.39
201207,-3.43
201208,-4.24
201209,-5.05
201210,-4.73
201211,-4.69
201212,-4.14
201301,-3.81
201302,-3.37
201303,-3.51
201304,0.53
201305,1.74
201306,1.66
201307,2.00
201308,2.27
201309,2.19
201310,5.12
201311,4.68
201312,4.84
201401,4.49
201402,4.29
201403,4.29
201404,4.49
201405,4.20
201406,5.60
201407,5.17
201408,6.68
201409,6.39
201410,5.34
201411,4.93
201412,4.76
201501,4.23
201502,3.75
201503,2.43
201504,1.25
201505,2.89
201506,3.08
201507,3.67
201508,4.71
201509,4.13
201510,3.83
201511,3.68
201512,4.09
201601,3.62
201602,3.45
201603,2.77
201604,3.68
201605,3.42
201606,2.18
201607,2.20
201608,2.38
201609,2.39
201610,2.04
201611,1.57
201612,2.23
