#  Utah Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,-0.98
199402,-0.69
199403,-1.34
199404,-0.93
199405,-1.29
199406,-2.11
199407,-3.05
199408,-3.07
199409,0.01
199410,0.75
199411,1.44
199412,1.27
199501,1.81
199502,1.45
199503,2.08
199504,2.50
199505,4.15
199506,5.15
199507,6.01
199508,5.69
199509,-0.17
199510,-0.83
199511,-1.53
199512,-1.70
199601,-1.44
199602,-1.28
199603,-1.38
199604,-1.58
199605,-1.47
199606,-1.92
199607,-2.31
199608,-3.11
199609,0.30
199610,0.47
199611,0.85
199612,1.21
199701,2.31
199702,2.49
199703,1.62
199704,2.17
199705,2.13
199706,2.68
199707,2.92
199708,3.60
199709,5.06
199710,4.55
199711,3.93
199712,3.12
199801,2.85
199802,3.44
199803,3.41
199804,3.41
199805,3.44
199806,4.42
199807,5.45
199808,4.94
199809,5.11
199810,5.37
199811,4.76
199812,3.91
199901,3.44
199902,2.86
199903,1.59
199904,2.59
199905,2.67
199906,2.85
199907,3.21
199908,3.63
199909,-0.05
199910,-0.95
199911,-1.93
199912,-2.36
200001,-2.19
200002,-1.80
200003,-1.84
200004,-2.52
200005,-2.93
200006,-3.44
200007,-4.21
200008,-3.79
200009,-3.56
200010,-1.99
200011,-1.83
200012,-1.94
200101,-1.80
200102,-1.47
200103,-1.58
200104,-1.28
200105,-1.64
200106,-2.02
200107,-2.22
200108,-2.15
200109,-2.72
200110,-3.11
200111,-2.67
200112,-2.46
200201,-2.81
200202,-3.32
200203,-3.54
200204,-3.85
200205,-4.58
200206,-5.48
200207,-6.10
200208,-6.60
200209,-4.86
200210,-4.16
200211,-3.89
200212,-3.93
200301,-4.46
200302,-4.12
200303,-4.12
200304,-4.01
200305,-4.04
200306,-4.38
200307,-5.08
200308,-4.93
200309,-4.85
200310,-5.22
200311,-4.41
200312,-3.50
200401,-3.45
200402,-2.45
200403,-3.27
200404,-2.74
200405,-2.95
200406,-2.99
200407,-3.09
200408,-3.11
200409,0.20
200410,1.89
200411,2.37
200412,2.57
200501,4.05
200502,4.75
200503,4.78
200504,4.82
200505,5.07
200506,5.71
200507,5.61
200508,5.23
200509,-0.03
200510,0.10
200511,-0.53
200512,-0.67
200601,-0.60
200602,-1.07
200603,-0.34
200604,-0.49
200605,-1.13
200606,-1.66
200607,-1.86
200608,-2.10
200609,0.42
200610,1.90
200611,-0.26
200612,-0.38
200701,-0.73
200702,-0.79
200703,-1.46
200704,-1.80
200705,-2.39
200706,-3.08
200707,-3.54
200708,-3.51
200709,-2.87
200710,-2.83
200711,-3.44
200712,-2.48
200801,-1.83
200802,-1.20
200803,-1.38
200804,-1.61
200805,-1.36
200806,-1.22
200807,-1.53
200808,-1.79
200809,-2.00
200810,-2.14
200811,-2.25
200812,-1.73
200901,-1.60
200902,-1.59
200903,-1.96
200904,-1.51
200905,-1.48
200906,-0.80
200907,-1.03
200908,-1.71
200909,-1.90
200910,-1.84
200911,-2.39
200912,0.12
201001,0.32
201002,0.26
201003,0.14
201004,0.34
201005,0.70
201006,0.85
201007,0.71
201008,0.82
201009,-0.74
201010,0.96
201011,1.24
201012,2.94
201101,2.67
201102,3.03
201103,2.97
201104,3.54
201105,4.88
201106,5.08
201107,6.08
201108,5.70
201109,5.12
201110,4.76
201111,-0.14
201112,-0.66
201201,-0.88
201202,-1.02
201203,-1.82
201204,-2.44
201205,-3.48
201206,-4.60
201207,-4.59
201208,-4.59
201209,-4.24
201210,-4.07
201211,-4.32
201212,-3.62
201301,-3.46
201302,-3.68
201303,-4.15
201304,-3.76
201305,-3.76
201306,-4.66
201307,-4.56
201308,-4.17
201309,-2.25
201310,-2.03
201311,-2.01
201312,-2.01
201401,-2.36
201402,-2.57
201403,-3.00
201404,-3.09
201405,-3.30
201406,-4.03
201407,-4.20
201408,-2.75
201409,-1.14
201410,-1.96
201411,-2.15
201412,-1.98
201501,-2.09
201502,-2.77
201503,-3.61
201504,-3.76
201505,-2.30
201506,-2.55
201507,-2.36
201508,-2.22
201509,-2.28
201510,-1.84
201511,-1.61
201512,-1.32
201601,-0.95
201602,-1.20
201603,-1.50
201604,-1.17
201605,-0.83
201606,-1.27
201607,-1.92
201608,-2.15
201609,0.91
201610,-0.43
201611,-0.85
201612,0.44
