#  Washington Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,-2.81
199402,-2.27
199403,-2.62
199404,-2.50
199405,-2.42
199406,-2.04
199407,-2.06
199408,-2.41
199409,-2.64
199410,0.56
199411,0.99
199412,1.26
199501,1.22
199502,0.98
199503,1.16
199504,1.16
199505,0.59
199506,0.56
199507,0.61
199508,0.91
199509,0.70
199510,1.14
199511,2.54
199512,2.42
199601,2.41
199602,3.30
199603,2.08
199604,3.10
199605,3.59
199606,2.93
199607,2.55
199608,1.91
199609,1.84
199610,2.40
199611,2.54
199612,3.98
199701,3.98
199702,3.19
199703,4.43
199704,4.58
199705,4.25
199706,4.37
199707,4.79
199708,4.60
199709,5.04
199710,5.85
199711,-0.47
199712,-1.25
199801,-0.50
199802,-0.60
199803,-0.76
199804,-1.29
199805,-0.50
199806,-0.58
199807,-0.36
199808,-0.97
199809,-1.72
199810,-2.02
199811,1.12
199812,2.17
199901,2.32
199902,3.93
199903,3.59
199904,2.66
199905,2.70
199906,2.52
199907,2.62
199908,2.62
199909,-0.74
199910,-0.77
199911,-0.13
199912,-0.02
200001,-0.01
200002,-0.22
200003,-0.38
200004,-0.74
200005,0.46
200006,0.56
200007,0.65
200008,-0.33
200009,-0.27
200010,-0.57
200011,-1.33
200012,-2.30
200101,-2.97
200102,-3.58
200103,-3.59
200104,0.28
200105,0.06
200106,0.42
200107,0.48
200108,0.62
200109,-0.64
200110,0.31
200111,0.74
200112,1.01
200201,1.25
200202,0.93
200203,1.01
200204,1.11
200205,0.02
200206,-0.08
200207,-0.29
200208,-0.82
200209,-1.35
200210,-2.40
200211,-2.96
200212,0.17
200301,0.70
200302,-0.86
200303,1.00
200304,1.39
200305,-0.31
200306,-1.10
200307,-2.08
200308,-2.74
200309,-2.99
200310,-2.00
200311,-1.58
200312,-1.80
200401,-1.58
200402,-2.02
200403,-2.45
200404,-3.08
200405,-2.44
200406,-2.39
200407,-2.57
200408,-1.39
200409,-0.80
200410,-0.76
200411,-1.39
200412,-1.89
200501,-2.13
200502,-3.29
200503,-3.11
200504,0.18
200505,0.72
200506,0.80
200507,1.12
200508,0.74
200509,0.52
200510,0.53
200511,0.35
200512,0.34
200601,1.89
200602,-0.39
200603,-0.70
200604,-0.62
200605,-0.53
200606,-0.36
200607,-0.58
200608,-1.21
200609,-1.58
200610,-2.24
200611,2.24
200612,2.08
200701,-0.28
200702,-0.35
200703,-0.08
200704,-0.39
200705,-0.77
200706,-0.85
200707,-0.94
200708,-1.20
200709,-1.35
200710,-1.13
200711,-1.61
200712,-0.71
200801,-0.72
200802,-1.09
200803,-1.03
200804,-0.94
200805,-1.20
200806,-1.07
200807,-1.27
200808,-0.67
200809,-1.25
200810,-1.67
200811,-1.37
200812,-1.56
200901,-1.35
200902,-2.19
200903,-1.59
200904,-1.46
200905,-0.88
200906,-1.27
200907,-1.44
200908,-1.63
200909,-1.75
200910,0.68
200911,1.22
200912,-1.12
201001,-1.05
201002,-1.58
201003,-1.77
201004,0.59
201005,1.69
201006,2.32
201007,2.32
201008,2.10
201009,2.65
201010,2.66
201011,2.41
201012,2.52
201101,2.39
201102,1.97
201103,3.17
201104,3.96
201105,4.63
201106,4.07
201107,3.97
201108,-0.35
201109,-0.77
201110,-0.90
201111,-0.76
201112,-1.86
201201,0.08
201202,0.06
201203,1.52
201204,1.82
201205,1.74
201206,2.69
201207,3.25
201208,2.79
201209,1.57
201210,2.34
201211,2.51
201212,2.79
201301,-0.62
201302,-1.32
201303,-1.49
201304,0.67
201305,0.92
201306,1.02
201307,0.75
201308,0.75
201309,2.32
201310,-0.52
201311,-1.06
201312,-2.23
201401,-2.53
201402,0.62
201403,1.87
201404,2.08
201405,0.00
201406,-0.08
201407,-0.25
201408,-0.25
201409,-0.43
201410,0.58
201411,0.61
201412,-0.20
201501,-0.58
201502,-0.89
201503,-1.09
201504,-1.48
201505,-1.86
201506,-2.79
201507,-3.76
201508,-3.73
201509,-3.61
201510,-3.41
201511,0.31
201512,1.91
201601,1.91
201602,1.66
201603,2.41
201604,-0.93
201605,-1.39
201606,-1.56
201607,-1.66
201608,-2.09
201609,-2.03
201610,2.31
201611,2.28
201612,1.46
