#  West Virginia Palmer Drought Severity Index (PDSI)
# Missing: -99
Date,Value
199401,2.44
199402,3.35
199403,4.52
199404,3.91
199405,3.84
199406,3.03
199407,3.02
199408,3.50
199409,-0.27
199410,-0.91
199411,-1.40
199412,-1.67
199501,-0.66
199502,-0.80
199503,-1.64
199504,-2.06
199505,0.91
199506,1.53
199507,-0.93
199508,-1.46
199509,-1.62
199510,0.16
199511,0.50
199512,0.26
199601,1.49
199602,1.55
199603,1.78
199604,1.50
199605,3.27
199606,2.83
199607,3.82
199608,3.77
199609,5.25
199610,4.86
199611,5.14
199612,4.75
199701,3.80
199702,2.71
199703,3.69
199704,2.82
199705,2.84
199706,2.69
199707,2.27
199708,2.19
199709,1.99
199710,1.14
199711,1.30
199712,0.98
199801,1.50
199802,1.85
199803,1.62
199804,1.99
199805,2.01
199806,3.75
199807,-0.73
199808,-1.24
199809,-2.02
199810,-2.72
199811,-3.81
199812,-4.18
199901,-2.93
199902,-3.03
199903,-2.55
199904,-2.77
199905,-3.08
199906,-3.96
199907,-4.67
199908,-4.81
199909,-4.55
199910,-4.27
199911,-4.30
199912,-4.19
200001,-4.35
200002,-3.60
200003,-3.91
200004,0.31
200005,0.14
200006,0.65
200007,1.08
200008,1.44
200009,2.05
200010,-0.75
200011,-1.17
200012,-1.42
200101,-1.58
200102,-1.98
200103,-1.83
200104,-2.47
200105,0.91
200106,0.85
200107,2.28
200108,-0.37
200109,-0.55
200110,-1.21
200111,-2.32
200112,-2.79
200201,-2.66
200202,-3.47
200203,0.41
200204,1.25
200205,1.62
200206,1.46
200207,1.36
200208,0.09
200209,0.01
200210,0.82
200211,1.43
200212,1.44
200301,0.90
200302,2.40
200303,1.11
200304,0.93
200305,2.12
200306,3.22
200307,3.49
200308,3.64
200309,5.07
200310,4.89
200311,6.00
200312,5.54
200401,4.99
200402,4.42
200403,3.75
200404,4.13
200405,4.36
200406,4.14
200407,3.60
200408,3.34
200409,4.97
200410,4.87
200411,4.76
200412,4.25
200501,4.09
200502,-0.41
200503,-0.11
200504,-0.04
200505,-0.16
200506,-1.21
200507,-1.01
200508,-1.04
200509,-2.31
200510,-1.97
200511,-1.74
200512,-1.73
200601,-1.47
200602,-2.12
200603,-2.84
200604,-2.36
200605,-2.57
200606,1.01
200607,0.80
200608,0.20
200609,1.06
200610,2.33
200611,0.02
200612,-0.74
200701,-0.65
200702,-0.83
200703,-1.00
200704,-0.40
200705,-1.38
200706,-1.66
200707,-1.33
200708,-1.88
200709,-2.43
200710,-2.48
200711,-2.65
200712,0.67
200801,0.44
200802,0.67
200803,0.76
200804,0.72
200805,1.35
200806,1.81
200807,1.84
200808,-0.30
200809,-1.02
200810,-1.63
200811,-1.87
200812,0.97
200901,1.42
200902,-0.77
200903,-1.41
200904,0.07
200905,1.20
200906,1.18
200907,1.58
200908,1.41
200909,1.37
200910,1.75
200911,1.02
200912,1.67
201001,1.63
201002,1.65
201003,-0.34
201004,-1.31
201005,-0.87
201006,-0.82
201007,-0.83
201008,-1.21
201009,-1.55
201010,-1.78
201011,-2.01
201012,-1.65
201101,-1.95
201102,-1.88
201103,0.73
201104,2.19
201105,2.27
201106,1.91
201107,1.10
201108,0.67
201109,1.93
201110,2.84
201111,3.26
201112,3.09
201201,-0.14
201202,-0.62
201203,-0.68
201204,-1.01
201205,-0.91
201206,-1.46
201207,-1.11
201208,-1.77
201209,0.80
201210,1.51
201211,0.65
201212,1.19
201301,1.55
201302,-0.57
201303,-0.64
201304,-1.20
201305,-1.17
201306,0.75
201307,1.35
201308,2.00
201309,1.57
201310,1.12
201311,1.30
201312,2.38
201401,1.67
201402,2.09
201403,-0.27
201404,-0.63
201405,-0.61
201406,-0.49
201407,-0.61
201408,-0.32
201409,-0.75
201410,0.89
201411,0.83
201412,0.72
201501,0.25
201502,0.11
201503,0.77
201504,1.77
201505,0.59
201506,1.32
201507,2.00
201508,-0.54
201509,-0.25
201510,-0.29
201511,-0.75
201512,-0.36
201601,-0.63
201602,-0.30
201603,-1.26
201604,-1.58
201605,0.80
201606,1.59
201607,0.00
201608,-0.45
201609,-0.90
201610,-0.90
201611,-1.59
201612,0.47
