#  Arizona January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,12.45,1.18
199512,11.44,0.17
199612,8.74,-2.53
199712,12.71,1.44
199812,14.44,3.17
199912,10.37,-0.90
200012,11.13,-0.14
200112,10.79,-0.48
200212,6.97,-4.30
200312,10.51,-0.76
200412,13.52,2.25
200512,13.09,1.82
200612,9.76,-1.51
200712,10.99,-0.28
200812,12.31,1.04
200912,7.03,-4.24
201012,13.91,2.64
201112,9.63,-1.64
201212,9.56,-1.71
201312,12.13,0.86
201412,11.07,-0.20
201512,14.39,3.12
201612,12.28,1.01
