#  Florida January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,64.78,11.10
199512,59.10,5.42
199612,53.96,0.28
199712,59.65,5.97
199812,57.05,3.37
199912,49.69,-3.99
200012,40.29,-13.39
200112,52.21,-1.47
200212,58.49,4.81
200312,58.77,5.09
200412,57.22,3.54
200512,59.48,5.80
200612,41.00,-12.68
200712,43.72,-9.96
200812,53.13,-0.55
200912,53.77,0.09
201012,48.12,-5.56
201112,46.77,-6.91
201212,55.09,1.41
201312,56.87,3.19
201412,59.13,5.45
201512,52.86,-0.82
201612,53.41,-0.27
