#  Georgia January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,61.23,12.10
199512,49.67,0.54
199612,48.70,-0.43
199712,57.29,8.16
199812,52.90,3.77
199912,40.86,-8.27
200012,41.38,-7.75
200112,41.80,-7.33
200212,49.72,0.59
200312,57.23,8.10
200412,52.16,3.03
200512,54.74,5.61
200612,39.00,-10.13
200712,38.07,-11.06
200812,46.99,-2.14
200912,61.48,12.35
201012,43.04,-6.09
201112,40.11,-9.02
201212,42.02,-7.11
201312,63.49,14.36
201412,51.41,2.28
201512,55.74,6.61
201612,40.90,-8.23
