#  Illinois January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,35.49,-4.68
199512,38.91,-1.26
199612,38.82,-1.35
199712,35.10,-5.07
199812,44.48,4.31
199912,35.71,-4.46
200012,39.77,-0.40
200112,39.65,-0.52
200212,39.06,-1.11
200312,37.77,-2.40
200412,39.97,-0.20
200512,31.43,-8.74
200612,40.63,0.46
200712,36.68,-3.49
200812,50.17,10.00
200912,50.96,10.79
201012,40.68,0.51
201112,46.10,5.93
201212,30.11,-10.06
201312,42.49,2.32
201412,41.29,1.12
201512,48.80,8.63
201612,39.74,-0.43
