#  Indiana January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,35.56,-7.74
199512,38.26,-5.04
199612,47.67,4.37
199712,39.80,-3.50
199812,44.88,1.58
199912,35.04,-8.26
200012,43.40,0.10
200112,43.96,0.66
200212,42.19,-1.11
200312,46.40,3.10
200412,43.40,0.10
200512,40.89,-2.41
200612,51.02,7.72
200712,41.79,-1.51
200812,49.69,6.39
200912,46.06,2.76
201012,37.39,-5.91
201112,55.19,11.89
201212,33.82,-9.48
201312,45.14,1.84
201412,43.57,0.27
201512,47.51,4.21
201612,43.38,0.08
