#  Iowa January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,29.54,-5.08
199512,32.25,-2.37
199612,33.64,-0.98
199712,29.21,-5.41
199812,39.57,4.95
199912,32.28,-2.34
200012,29.73,-4.89
200112,34.59,-0.03
200212,29.48,-5.14
200312,28.69,-5.93
200412,35.41,0.79
200512,29.84,-4.78
200612,32.40,-2.22
200712,42.40,7.78
200812,42.91,8.29
200912,39.15,4.53
201012,44.05,9.43
201112,31.83,-2.79
201212,25.60,-9.02
201312,34.44,-0.18
201412,38.69,4.07
201512,42.51,7.89
201612,38.10,3.48
