#  Louisiana January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,59.07,1.36
199512,62.33,4.62
199612,53.08,-4.63
199712,64.31,6.60
199812,62.98,5.27
199912,47.84,-9.87
200012,47.80,-9.91
200112,68.31,10.60
200212,64.27,6.56
200312,51.95,-5.76
200412,72.48,14.77
200512,45.57,-12.14
200612,55.40,-2.31
200712,52.41,-5.30
200812,56.13,-1.58
200912,64.04,6.33
201012,41.76,-15.95
201112,43.01,-14.70
201212,62.88,5.17
201312,61.43,3.72
201412,55.94,-1.77
201512,67.31,9.60
201612,67.08,9.37
