#  Michigan January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,32.39,-0.80
199512,31.83,-1.36
199612,34.00,0.81
199712,29.93,-3.26
199812,29.56,-3.63
199912,31.40,-1.79
200012,33.02,-0.17
200112,35.17,1.98
200212,30.90,-2.29
200312,31.08,-2.11
200412,35.35,2.16
200512,29.89,-3.30
200612,35.85,2.66
200712,30.66,-2.53
200812,36.85,3.66
200912,33.87,0.68
201012,31.22,-1.97
201112,36.82,3.63
201212,31.00,-2.19
201312,38.23,5.04
201412,36.66,3.47
201512,31.74,-1.45
201612,35.86,2.67
