#  Montana January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,16.05,-2.74
199512,22.02,3.23
199612,20.60,1.81
199712,19.44,0.65
199812,20.25,1.46
199912,17.44,-1.35
200012,15.66,-3.13
200112,14.94,-3.85
200212,17.17,-1.62
200312,17.39,-1.40
200412,16.84,-1.95
200512,20.01,1.22
200612,18.24,-0.55
200712,17.97,-0.82
200812,19.48,0.69
200912,17.45,-1.34
201012,21.99,3.20
201112,22.85,4.06
201212,16.81,-1.98
201312,20.02,1.23
201412,21.60,2.81
201512,16.88,-1.91
201612,21.17,2.38
