#  Nevada January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,9.53,-0.69
199512,13.75,3.53
199612,12.20,1.98
199712,10.01,-0.21
199812,16.91,6.69
199912,7.74,-2.48
200012,10.48,0.26
200112,8.93,-1.29
200212,6.24,-3.98
200312,9.82,-0.40
200412,11.35,1.13
200512,13.55,3.33
200612,9.67,-0.55
200712,7.59,-2.63
200812,7.69,-2.53
200912,9.22,-1.00
201012,13.06,2.84
201112,8.62,-1.60
201212,8.89,-1.33
201312,7.46,-2.76
201412,9.92,-0.30
201512,11.34,1.12
201612,11.15,0.93
