#  New York January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,42.11,-1.45
199512,37.10,-6.46
199612,50.83,7.27
199712,39.01,-4.55
199812,41.41,-2.15
199912,38.78,-4.78
200012,46.25,2.69
200112,34.14,-9.42
200212,43.57,0.01
200312,48.02,4.46
200412,45.17,1.61
200512,46.85,3.29
200612,48.90,5.34
200712,44.47,0.91
200812,47.73,4.17
200912,42.37,-1.19
201012,43.93,0.37
201112,55.71,12.15
201212,39.56,-4.00
201312,43.99,0.43
201412,43.23,-0.33
201512,40.64,-2.92
201612,38.17,-5.39
