#  North Carolina January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,50.11,0.44
199512,54.35,4.68
199612,56.79,7.12
199712,46.09,-3.58
199812,53.83,4.16
199912,52.47,2.80
200012,44.36,-5.31
200112,37.81,-11.86
200212,47.53,-2.14
200312,63.16,13.49
200412,49.15,-0.52
200512,47.58,-2.09
200612,51.17,1.50
200712,34.75,-14.92
200812,45.81,-3.86
200912,53.20,3.53
201012,46.27,-3.40
201112,45.99,-3.68
201212,46.62,-3.05
201312,56.46,6.79
201412,50.08,0.41
201512,58.32,8.65
201612,50.61,0.94
