#  North Dakota January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,20.40,1.27
199512,19.59,0.46
199612,18.52,-0.61
199712,16.53,-2.60
199812,21.18,2.05
199912,20.44,1.31
200012,21.31,2.18
200112,16.82,-2.31
200212,15.83,-3.30
200312,16.24,-2.89
200412,18.86,-0.27
200512,20.98,1.85
200612,14.02,-5.11
200712,19.00,-0.13
200812,19.76,0.63
200912,18.96,-0.17
201012,23.48,4.35
201112,21.44,2.31
201212,15.09,-4.04
201312,23.28,4.15
201412,18.61,-0.52
201512,17.72,-1.41
201612,21.85,2.72
