#  Ohio January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,35.60,-5.14
199512,38.67,-2.07
199612,46.85,6.11
199712,38.35,-2.39
199812,39.97,-0.77
199912,33.06,-7.68
200012,40.85,0.11
200112,37.30,-3.44
200212,38.58,-2.16
200312,46.42,5.68
200412,45.42,4.68
200512,40.10,-0.64
200612,43.56,2.82
200712,41.16,0.42
200812,44.10,3.36
200912,36.50,-4.24
201012,36.76,-3.98
201112,55.95,15.21
201212,37.26,-3.48
201312,41.69,0.95
201412,38.56,-2.18
201512,43.01,2.27
201612,37.39,-3.35
