#  Oklahoma January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,36.27,1.15
199512,37.81,2.69
199612,37.28,2.16
199712,39.31,4.19
199812,36.18,1.06
199912,37.27,2.15
200012,36.93,1.81
200112,31.98,-3.14
200212,35.01,-0.11
200312,27.87,-7.25
200412,40.19,5.07
200512,27.56,-7.56
200612,29.81,-5.31
200712,43.57,8.45
200812,38.31,3.19
200912,38.04,2.92
201012,32.04,-3.08
201112,26.24,-8.88
201212,25.70,-9.42
201312,36.70,1.58
201412,28.87,-6.25
201512,53.72,18.60
201612,31.19,-3.93
