#  Oregon January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,28.59,-4.24
199512,41.42,8.59
199612,48.87,16.04
199712,32.60,-0.23
199812,42.91,10.08
199912,31.64,-1.19
200012,27.91,-4.92
200112,26.84,-5.99
200212,26.21,-6.62
200312,32.06,-0.77
200412,29.69,-3.14
200512,33.22,0.39
200612,36.44,3.61
200712,28.99,-3.84
200812,28.63,-4.20
200912,27.62,-5.21
201012,37.91,5.08
201112,30.68,-2.15
201212,40.08,7.25
201312,22.72,-10.11
201412,35.29,2.46
201512,30.17,-2.66
201612,34.68,1.85
