#  South Carolina January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,56.17,8.86
199512,54.41,7.10
199612,46.00,-1.31
199712,53.87,6.56
199812,54.12,6.81
199912,44.14,-3.17
200012,41.24,-6.07
200112,34.72,-12.59
200212,46.54,-0.77
200312,55.19,7.88
200412,45.85,-1.46
200512,47.51,0.20
200612,43.73,-3.58
200712,34.90,-12.41
200812,45.77,-1.54
200912,50.56,3.25
201012,41.20,-6.11
201112,38.21,-9.10
201212,43.77,-3.54
201312,56.39,9.08
201412,47.03,-0.28
201512,60.66,13.35
201612,46.25,-1.06
