#  South Dakota January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,18.90,-2.07
199512,25.46,4.49
199612,22.91,1.94
199712,21.12,0.15
199812,24.87,3.90
199912,21.61,0.64
200012,19.12,-1.85
200112,20.18,-0.79
200212,14.30,-6.67
200312,17.13,-3.84
200412,20.79,-0.18
200512,20.70,-0.27
200612,15.93,-5.04
200712,22.94,1.97
200812,23.67,2.70
200912,22.59,1.62
201012,24.68,3.71
201112,22.13,1.16
201212,14.58,-6.39
201312,24.94,3.97
201412,20.19,-0.78
201512,22.78,1.81
201612,20.68,-0.29
