#  Tennessee January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,61.91,8.04
199512,52.15,-1.72
199612,60.07,6.20
199712,56.51,2.64
199812,57.57,3.70
199912,46.05,-7.82
200012,45.02,-8.85
200112,54.00,0.13
200212,59.22,5.35
200312,61.76,7.89
200412,61.25,7.38
200512,44.68,-9.19
200612,48.87,-5.00
200712,37.72,-16.15
200812,49.77,-4.10
200912,60.28,6.41
201012,49.65,-4.22
201112,62.59,8.72
201212,46.89,-6.98
201312,63.27,9.40
201412,53.53,-0.34
201512,59.16,5.29
201612,47.04,-6.83
