#  Texas January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,29.31,1.36
199512,27.68,-0.27
199612,24.60,-3.35
199712,34.19,6.24
199812,27.99,0.04
199912,22.05,-5.90
200012,27.83,-0.12
200112,29.11,1.16
200212,30.65,2.70
200312,24.20,-3.75
200412,39.36,11.41
200512,22.20,-5.75
200612,25.13,-2.82
200712,36.20,8.25
200812,23.80,-4.15
200912,28.54,0.59
201012,27.81,-0.14
201112,14.70,-13.25
201212,24.10,-3.85
201312,26.02,-1.93
201412,24.01,-3.94
201512,41.23,13.28
201612,32.10,4.15
