#  Virginia January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,45.38,0.40
199512,44.31,-0.67
199612,55.88,10.90
199712,38.08,-6.90
199812,45.94,0.96
199912,42.72,-2.26
200012,40.33,-4.65
200112,34.88,-10.10
200212,42.62,-2.36
200312,61.89,16.91
200412,48.94,3.96
200512,39.83,-5.15
200612,46.20,1.22
200712,35.19,-9.79
200812,40.64,-4.34
200912,51.25,6.27
201012,41.74,-3.24
201112,48.30,3.32
201212,40.05,-4.93
201312,51.37,6.39
201412,43.75,-1.23
201512,49.76,4.78
201612,45.41,0.43
