#  West Virginia January-December Precipitation
# Units: Inches
# Base Period: 1994-2016
# Missing: -99
Date,Value,Anomaly
199412,49.45,2.92
199512,44.06,-2.47
199612,59.17,12.64
199712,41.23,-5.30
199812,46.11,-0.42
199912,38.98,-7.55
200012,42.59,-3.94
200112,39.86,-6.67
200212,48.56,2.03
200312,59.42,12.89
200412,53.07,6.54
200512,41.89,-4.64
200612,43.63,-2.90
200712,42.85,-3.68
200812,46.04,-0.49
200912,46.80,0.27
201012,42.43,-4.10
201112,55.10,8.57
201212,44.62,-1.91
201312,47.59,1.06
201412,42.79,-3.74
201512,48.62,2.09
201612,45.36,-1.17
