#  Alabama Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,50.9
199402,62.2
199403,69.2
199404,78.2
199405,80.6
199406,87.4
199407,86.6
199408,87.5
199409,83.4
199410,73.6
199411,69.6
199412,59.8
199501,56.0
199502,59.2
199503,69.6
199504,76.5
199505,83.7
199506,86.7
199507,92.8
199508,92.2
199509,85.5
199510,75.8
199511,61.8
199512,55.2
199601,55.4
199602,59.1
199603,62.8
199604,73.7
199605,85.4
199606,87.4
199607,90.2
199608,88.1
199609,83.0
199610,74.6
199611,64.0
199612,60.6
199701,56.0
199702,60.8
199703,74.0
199704,71.6
199705,79.2
199706,82.9
199707,90.2
199708,88.4
199709,87.2
199710,75.8
199711,60.7
199712,54.8
199801,57.7
199802,59.7
199803,64.7
199804,73.4
199805,86.3
199806,92.3
199807,91.8
199808,91.2
199809,88.2
199810,80.0
199811,69.6
199812,60.8
199901,61.3
199902,63.8
199903,66.2
199904,79.2
199905,82.3
199906,86.2
199907,90.5
199908,94.2
199909,86.8
199910,76.6
199911,70.1
199912,59.4
200001,57.1
200002,66.2
200003,72.1
200004,73.4
200005,86.3
200006,89.4
200007,94.9
200008,93.8
200009,85.2
200010,79.7
200011,63.6
200012,49.8
200101,52.5
200102,64.1
200103,61.8
200104,77.0
200105,83.4
200106,86.1
200107,90.0
200108,88.1
200109,82.6
200110,74.4
200111,73.6
200112,62.0
200201,58.3
200202,58.8
200203,68.4
200204,78.1
200205,82.3
200206,88.5
200207,90.8
200208,90.8
200209,86.9
200210,75.8
200211,62.1
200212,56.3
200301,51.5
200302,58.7
200303,68.3
200304,75.8
200305,81.7
200306,85.5
200307,87.8
200308,89.0
200309,84.6
200310,75.9
200311,70.9
200312,56.3
200401,55.8
200402,54.6
200403,72.5
200404,75.2
200405,84.1
200406,85.7
200407,89.5
200408,87.0
200409,83.8
200410,78.4
200411,67.5
200412,56.8
200501,60.4
200502,61.6
200503,65.4
200504,74.2
200505,81.2
200506,86.6
200507,89.5
200508,90.0
200509,88.7
200510,76.5
200511,68.9
200512,55.4
200601,63.1
200602,57.3
200603,69.2
200604,81.2
200605,82.4
200606,91.4
200607,93.9
200608,93.6
200609,84.8
200610,75.0
200611,65.8
200612,61.8
200701,57.0
200702,57.6
200703,74.6
200704,73.2
200705,85.3
200706,91.8
200707,89.3
200708,96.8
200709,87.5
200710,78.3
200711,67.4
200712,62.6
200801,53.9
200802,62.2
200803,69.1
200804,75.0
200805,82.1
200806,90.6
200807,91.6
200808,88.3
200809,84.8
200810,74.3
200811,64.5
200812,60.3
200901,56.7
200902,61.5
200903,68.9
200904,74.2
200905,80.3
200906,90.7
200907,88.9
200908,87.8
200909,83.5
200910,72.8
200911,65.7
200912,54.1
201001,50.8
201002,50.8
201003,62.6
201004,78.6
201005,84.3
201006,91.6
201007,93.2
201008,93.3
201009,90.6
201010,80.1
201011,68.1
201012,51.8
201101,52.0
201102,61.8
201103,69.9
201104,78.8
201105,83.0
201106,94.0
201107,91.9
201108,94.2
201109,83.4
201110,74.6
201111,67.5
201112,60.2
201201,62.3
201202,62.3
201203,76.3
201204,77.6
201205,85.3
201206,88.4
201207,92.3
201208,87.9
201209,84.1
201210,74.4
201211,65.5
201212,61.8
201301,59.9
201302,58.9
201303,62.3
201304,74.3
201305,79.6
201306,87.7
201307,86.1
201308,87.1
201309,86.1
201310,76.3
201311,63.3
201312,58.2
201401,49.8
201402,58.7
201403,65.0
201404,74.8
201405,82.2
201406,87.8
201407,88.4
201408,91.1
201409,87.0
201410,78.4
201411,61.2
201412,60.2
201501,54.6
201502,52.6
201503,68.8
201504,76.6
201505,83.7
201506,89.5
201507,91.9
201508,89.8
201509,85.1
201510,76.6
201511,69.3
201512,66.8
201601,53.5
201602,61.4
201603,71.4
201604,75.9
201605,82.0
201606,91.0
201607,92.8
201608,91.4
201609,90.8
201610,83.3
201611,73.0
201612,60.6
