#  Alaska Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,13.1
199402,11.5
199403,17.0
199404,33.9
199405,48.9
199406,58.2
199407,62.9
199408,59.4
199409,46.8
199410,28.6
199411,13.9
199412,9.8
199501,11.5
199502,16.1
199503,16.0
199504,38.1
199505,51.4
199506,58.3
199507,61.7
199508,57.1
199509,52.6
199510,32.8
199511,15.1
199512,10.9
199601,4.0
199602,12.5
199603,27.2
199604,33.2
199605,50.2
199606,58.6
199607,61.8
199608,54.9
199609,44.6
199610,24.9
199611,17.7
199612,7.5
199701,6.7
199702,21.7
199703,17.4
199704,37.1
199705,50.4
199706,61.9
199707,64.0
199708,59.2
199709,51.7
199710,27.2
199711,24.1
199712,10.6
199801,7.0
199802,17.7
199803,28.8
199804,38.2
199805,47.0
199806,58.1
199807,62.9
199808,54.1
199809,48.2
199810,33.9
199811,20.7
199812,10.5
199901,4.4
199902,4.3
199903,18.4
199904,32.1
199905,45.9
199906,60.0
199907,61.3
199908,58.9
199909,49.1
199910,28.5
199911,14.2
199912,4.5
200001,7.5
200002,23.0
200003,24.8
200004,33.6
200005,43.6
200006,60.8
200007,59.4
200008,54.3
200009,44.9
200010,31.3
200011,23.6
200012,20.4
200101,21.6
200102,22.3
200103,19.9
200104,33.3
200105,41.1
200106,60.5
200107,59.1
200108,57.8
200109,50.2
200110,27.7
200111,16.0
200112,7.6
200201,16.1
200202,16.0
200203,24.9
200204,30.8
200205,50.5
200206,59.3
200207,62.0
200208,57.4
200209,49.3
200210,37.4
200211,29.2
200212,18.6
200301,17.1
200302,22.2
200303,20.0
200304,37.0
200305,46.8
200306,60.2
200307,61.9
200308,58.5
200309,46.9
200310,37.7
200311,21.1
200312,11.3
200401,6.8
200402,17.0
200403,18.8
200404,37.0
200405,51.6
200406,64.9
200407,66.2
200408,64.9
200409,44.9
200410,34.8
200411,22.7
200412,15.4
200501,13.4
200502,15.7
200503,26.2
200504,34.7
200505,53.2
200506,62.2
200507,63.1
200508,60.9
200509,48.4
200510,33.1
200511,11.0
200512,19.8
200601,1.4
200602,20.5
200603,16.9
200604,29.2
200605,49.0
200606,57.3
200607,60.9
200608,55.2
200609,51.6
200610,36.9
200611,12.6
200612,14.3
200701,12.1
200702,13.9
200703,9.4
200704,38.6
200705,48.4
200706,60.1
200707,63.9
200708,62.0
200709,49.8
200710,30.8
200711,25.2
200712,14.2
200801,7.5
200802,10.0
200803,20.5
200804,31.4
200805,47.5
200806,57.1
200807,58.8
200808,56.6
200809,48.2
200810,26.0
200811,15.9
200812,12.6
200901,6.7
200902,14.0
200903,15.1
200904,33.0
200905,50.1
200906,58.6
200907,65.6
200908,56.7
200909,48.9
200910,36.0
200911,13.9
200912,16.3
201001,7.5
201002,18.0
201003,19.2
201004,35.4
201005,51.0
201006,57.7
201007,59.1
201008,58.6
201009,51.4
201010,33.7
201011,23.2
201012,3.6
201101,13.9
201102,14.7
201103,22.3
201104,32.3
201105,49.6
201106,57.5
201107,59.6
201108,56.1
201109,49.1
201110,34.2
201111,10.3
201112,15.9
201201,-5.4
201202,19.4
201203,13.6
201204,36.5
201205,45.6
201206,59.3
201207,59.3
201208,57.3
201209,46.7
201210,32.0
201211,12.0
201212,5.8
201301,15.8
201302,13.4
201303,20.2
201304,26.5
201305,44.6
201306,64.4
201307,63.4
201308,59.0
201309,45.4
201310,39.2
201311,20.5
201312,13.2
201401,24.0
201402,14.4
201403,24.3
201404,36.9
201405,51.2
201406,56.3
201407,60.6
201408,59.7
201409,49.9
201410,31.5
201411,25.0
201412,20.1
201501,13.5
201502,19.8
201503,24.8
201504,36.3
201505,54.2
201506,61.8
201507,62.3
201508,56.5
201509,45.0
201510,36.8
201511,23.3
201512,14.3
201601,23.0
201602,24.2
201603,26.7
201604,42.0
201605,52.9
201606,60.9
201607,63.3
201608,60.5
201609,49.7
201610,37.3
201611,19.1
201612,12.2
