#  Arkansas Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,45.2
199402,54.0
199403,64.4
199404,75.3
199405,77.4
199406,89.3
199407,88.2
199408,87.3
199409,82.6
199410,72.9
199411,63.5
199412,53.0
199501,50.3
199502,56.1
199503,64.4
199504,72.1
199505,78.1
199506,85.5
199507,90.9
199508,95.2
199509,81.4
199510,76.5
199511,60.4
199512,49.6
199601,49.2
199602,57.0
199603,58.0
199604,71.0
199605,82.2
199606,86.8
199607,89.2
199608,87.9
199609,81.1
199610,73.2
199611,55.1
199612,54.5
199701,48.3
199702,54.8
199703,67.2
199704,67.4
199705,78.0
199706,84.6
199707,92.6
199708,88.3
199709,85.5
199710,73.0
199711,56.1
199712,48.6
199801,52.4
199802,56.2
199803,59.3
199804,71.8
199805,84.2
199806,90.6
199807,95.1
199808,92.1
199809,89.2
199810,75.8
199811,63.5
199812,53.2
199901,52.9
199902,61.1
199903,59.7
199904,74.0
199905,79.9
199906,86.1
199907,92.0
199908,94.9
199909,85.7
199910,76.5
199911,69.3
199912,55.2
200001,51.8
200002,61.2
200003,66.0
200004,70.9
200005,80.8
200006,84.7
200007,91.2
200008,97.4
200009,87.2
200010,76.7
200011,55.9
200012,40.4
200101,46.5
200102,55.5
200103,57.9
200104,76.5
200105,81.6
200106,86.4
200107,92.3
200108,91.8
200109,82.4
200110,73.0
200111,66.9
200112,55.1
200201,53.5
200202,53.6
200203,59.1
200204,74.7
200205,77.3
200206,87.1
200207,90.4
200208,90.5
200209,86.7
200210,69.4
200211,59.3
200212,52.1
200301,47.3
200302,48.7
200303,62.8
200304,74.4
200305,79.8
200306,82.9
200307,90.2
200308,91.4
200309,81.4
200310,75.2
200311,64.7
200312,52.8
200401,51.1
200402,50.3
200403,67.2
200404,72.1
200405,80.5
200406,84.8
200407,87.4
200408,86.2
200409,85.8
200410,75.8
200411,62.3
200412,52.7
200501,53.3
200502,56.7
200503,62.0
200504,72.7
200505,79.9
200506,89.0
200507,91.1
200508,93.8
200509,89.3
200510,74.6
200511,66.2
200512,51.4
200601,59.1
200602,51.5
200603,64.9
200604,78.6
200605,80.8
200606,87.9
200607,93.2
200608,93.4
200609,82.4
200610,72.6
200611,63.1
200612,55.3
200701,48.7
200702,51.4
200703,71.6
200704,69.3
200705,81.9
200706,87.3
200707,87.1
200708,95.9
200709,84.8
200710,75.2
200711,63.7
200712,54.0
200801,49.3
200802,54.3
200803,63.7
200804,70.2
200805,79.2
200806,87.8
200807,91.9
200808,87.3
200809,80.8
200810,72.6
200811,60.4
200812,52.2
200901,48.9
200902,58.8
200903,63.4
200904,70.8
200905,76.9
200906,89.6
200907,88.0
200908,86.9
200909,80.0
200910,66.0
200911,65.3
200912,46.7
201001,45.4
201002,44.9
201003,62.2
201004,75.7
201005,82.1
201006,92.1
201007,91.7
201008,95.7
201009,87.0
201010,78.3
201011,63.8
201012,49.0
201101,47.6
201102,54.2
201103,63.3
201104,75.6
201105,77.8
201106,93.1
201107,96.4
201108,94.8
201109,83.4
201110,74.8
201111,63.0
201112,52.7
201201,55.8
201202,56.7
201203,74.0
201204,75.9
201205,85.2
201206,90.9
201207,95.8
201208,92.4
201209,84.4
201210,70.8
201211,63.4
201212,56.6
201301,51.6
201302,53.3
201303,57.5
201304,70.3
201305,77.6
201306,87.5
201307,89.1
201308,88.8
201309,87.9
201310,71.8
201311,58.0
201312,49.5
201401,47.4
201402,49.2
201403,58.8
201404,71.2
201405,78.6
201406,85.4
201407,85.4
201408,89.1
201409,83.2
201410,75.6
201411,55.5
201412,51.0
201501,49.2
201502,46.1
201503,59.2
201504,72.8
201505,79.2
201506,87.8
201507,91.6
201508,89.4
201509,86.9
201510,75.9
201511,63.7
201512,60.6
201601,49.4
201602,58.2
201603,66.8
201604,73.5
201605,77.6
201606,89.2
201607,92.0
201608,88.4
201609,87.4
201610,79.6
201611,67.7
201612,52.2
