#  Connecticut Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,29.2
199402,32.7
199403,44.4
199404,60.8
199405,68.1
199406,79.6
199407,84.9
199408,78.6
199409,71.5
199410,62.8
199411,55.7
199412,44.1
199501,39.6
199502,35.8
199503,49.0
199504,56.8
199505,66.6
199506,78.6
199507,84.3
199508,82.8
199509,72.0
199510,66.2
199511,46.2
199512,33.7
199601,34.6
199602,36.3
199603,44.1
199604,57.1
199605,67.7
199606,77.4
199607,78.9
199608,79.7
199609,71.4
199610,61.3
199611,46.1
199612,42.7
199701,35.7
199702,42.9
199703,45.0
199704,56.2
199705,65.0
199706,78.5
199707,82.5
199708,78.8
199709,72.3
199710,61.6
199711,46.7
199712,40.2
199801,40.4
199802,43.6
199803,49.0
199804,59.9
199805,72.8
199806,74.4
199807,81.9
199808,82.5
199809,75.6
199810,62.1
199811,50.7
199812,46.3
199901,37.2
199902,40.8
199903,47.4
199904,60.1
199905,70.4
199906,81.0
199907,86.6
199908,80.5
199909,74.6
199910,61.7
199911,55.2
199912,42.6
200001,34.1
200002,40.4
200003,53.0
200004,56.0
200005,69.3
200006,76.9
200007,77.9
200008,77.7
200009,72.1
200010,62.4
200011,48.7
200012,34.8
200101,35.7
200102,38.9
200103,42.0
200104,60.0
200105,71.1
200106,79.2
200107,80.0
200108,83.3
200109,74.0
200110,64.8
200111,55.7
200112,45.8
200201,41.9
200202,44.9
200203,48.9
200204,61.4
200205,66.6
200206,77.1
200207,84.2
200208,83.1
200209,75.5
200210,59.0
200211,48.3
200212,37.8
200301,29.2
200302,32.8
200303,47.8
200304,55.1
200305,65.5
200306,74.3
200307,82.0
200308,81.5
200309,72.7
200310,59.9
200311,53.0
200312,41.0
200401,26.9
200402,38.1
200403,47.0
200404,58.8
200405,71.7
200406,76.1
200407,79.5
200408,79.0
200409,73.9
200410,60.4
200411,51.8
200412,40.0
200501,32.8
200502,39.9
200503,42.1
200504,62.1
200505,63.6
200506,80.6
200507,82.5
200508,83.8
200509,77.9
200510,60.9
200511,53.7
200512,37.1
200601,42.7
200602,38.8
200603,47.0
200604,61.5
200605,67.4
200606,76.2
200607,84.4
200608,80.4
200609,71.4
200610,61.9
200611,54.7
200612,46.8
200701,39.6
200702,31.7
200703,46.3
200704,55.0
200705,72.8
200706,78.0
200707,81.5
200708,81.3
200709,76.8
200710,68.0
200711,49.2
200712,37.6
200801,38.8
200802,38.6
200803,46.3
200804,62.0
200805,66.8
200806,79.4
200807,83.3
200808,78.8
200809,73.2
200810,61.2
200811,48.8
200812,41.2
200901,30.1
200902,40.1
200903,47.0
200904,60.7
200905,68.6
200906,72.8
200907,78.7
200908,81.4
200909,71.8
200910,58.8
200911,54.2
200912,38.1
201001,35.0
201002,36.4
201003,52.5
201004,64.4
201005,73.4
201006,79.6
201007,86.0
201008,81.5
201009,76.2
201010,62.9
201011,51.1
201012,35.8
201101,32.4
201102,38.2
201103,46.2
201104,58.7
201105,69.6
201106,77.3
201107,85.1
201108,80.6
201109,75.4
201110,62.8
201111,56.1
201112,46.3
201201,40.6
201202,44.5
201203,56.3
201204,61.5
201205,71.3
201206,76.9
201207,84.9
201208,82.5
201209,73.4
201210,63.5
201211,48.0
201212,43.3
201301,37.4
201302,37.0
201303,43.9
201304,58.6
201305,70.4
201306,78.0
201307,84.7
201308,78.8
201309,72.5
201310,64.4
201311,49.7
201312,39.4
201401,33.0
201402,34.8
201403,40.8
201404,58.3
201405,69.3
201406,77.8
201407,81.8
201408,79.2
201409,74.6
201410,63.4
201411,48.7
201412,42.1
201501,32.4
201502,27.3
201503,40.9
201504,58.2
201505,75.5
201506,75.3
201507,82.7
201508,83.1
201509,79.7
201510,62.7
201511,56.0
201512,51.5
201601,38.5
201602,42.6
201603,53.6
201604,58.2
201605,69.3
201606,78.9
201607,85.0
201608,84.5
201609,76.7
201610,64.1
201611,53.7
201612,41.3
