#  Idaho Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,36.2
199402,34.6
199403,50.2
199404,55.8
199405,65.7
199406,73.5
199407,83.8
199408,84.1
199409,75.1
199410,53.8
199411,32.9
199412,31.6
199501,33.6
199502,43.1
199503,43.3
199504,50.8
199505,59.7
199506,66.6
199507,78.3
199508,79.0
199509,71.9
199510,53.4
199511,45.0
199512,34.4
199601,31.7
199602,36.8
199603,45.4
199604,52.7
199605,57.3
199606,73.4
199607,83.6
199608,81.4
199609,66.6
199610,55.4
199611,41.8
199612,31.9
199701,31.8
199702,36.2
199703,45.4
199704,49.5
199705,66.2
199706,69.8
199707,77.5
199708,80.5
199709,71.0
199710,54.2
199711,43.1
199712,31.7
199801,35.1
199802,38.0
199803,44.1
199804,53.0
199805,60.6
199806,65.5
199807,84.8
199808,83.6
199809,74.3
199810,55.4
199811,41.1
199812,30.1
199901,34.3
199902,35.5
199903,45.0
199904,50.5
199905,59.1
199906,68.6
199907,80.5
199908,80.9
199909,70.5
199910,60.7
199911,49.2
199912,33.5
200001,32.9
200002,40.2
200003,45.7
200004,58.2
200005,62.5
200006,73.6
200007,83.1
200008,83.2
200009,68.1
200010,55.2
200011,34.5
200012,32.1
200101,31.8
200102,34.5
200103,47.2
200104,51.5
200105,67.5
200106,71.9
200107,80.5
200108,85.3
200109,75.4
200110,56.9
200111,45.4
200112,29.7
200201,30.4
200202,34.9
200203,40.2
200204,53.3
200205,61.8
200206,73.0
200207,85.2
200208,77.7
200209,70.6
200210,54.2
200211,42.5
200212,35.8
200301,38.6
200302,36.6
200303,45.9
200304,51.6
200305,62.8
200306,74.1
200307,87.7
200308,83.7
200309,71.9
200310,62.2
200311,37.0
200312,35.0
200401,30.5
200402,35.2
200403,51.4
200404,57.3
200405,60.6
200406,72.5
200407,81.9
200408,78.5
200409,67.0
200410,55.4
200411,41.6
200412,35.8
200501,34.4
200502,40.0
200503,46.8
200504,53.6
200505,61.6
200506,67.1
200507,83.3
200508,81.4
200509,69.2
200510,57.5
200511,40.7
200512,30.8
200601,35.1
200602,35.0
200603,42.2
200604,54.1
200605,66.0
200606,75.0
200607,86.6
200608,80.4
200609,70.0
200610,55.0
200611,41.7
200612,34.0
200701,30.8
200702,39.6
200703,50.7
200704,55.3
200705,66.3
200706,74.7
200707,88.7
200708,81.7
200709,69.4
200710,54.0
200711,43.8
200712,30.4
200801,28.6
200802,36.7
200803,40.6
200804,48.9
200805,61.7
200806,70.4
200807,83.2
200808,81.1
200809,71.3
200810,57.1
200811,45.7
200812,30.9
200901,33.7
200902,37.5
200903,41.4
200904,52.4
200905,64.7
200906,68.5
200907,81.6
200908,78.9
200909,76.4
200910,49.6
200911,43.0
200912,28.1
201001,35.6
201002,37.8
201003,46.3
201004,51.7
201005,55.3
201006,67.6
201007,80.2
201008,78.4
201009,71.6
201010,59.3
201011,38.9
201012,33.7
201101,31.9
201102,33.6
201103,42.3
201104,46.8
201105,57.2
201106,66.9
201107,80.2
201108,82.5
201109,75.7
201110,56.1
201111,40.0
201112,34.7
201201,36.0
201202,37.4
201203,46.5
201204,57.2
201205,62.2
201206,71.6
201207,84.5
201208,84.2
201209,74.9
201210,56.1
201211,44.4
201212,32.6
201301,29.1
201302,36.6
201303,46.4
201304,52.0
201305,64.4
201306,74.1
201307,86.2
201308,83.8
201309,69.2
201310,54.2
201311,43.3
201312,29.8
201401,36.7
201402,36.3
201403,46.8
201404,53.8
201405,65.2
201406,70.4
201407,85.3
201408,77.4
201409,71.9
201410,61.0
201411,40.3
201412,36.2
201501,36.7
201502,44.8
201503,53.5
201504,55.3
201505,63.8
201506,80.0
201507,79.6
201508,81.4
201509,71.9
201510,62.6
201511,38.7
201512,31.5
201601,33.2
201602,41.2
201603,46.6
201604,59.7
201605,63.0
201606,76.4
201607,80.6
201608,81.3
201609,67.8
201610,55.4
201611,48.2
201612,27.6
