#  Indiana Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,28.0
199402,37.1
199403,50.0
199404,64.6
199405,70.8
199406,84.5
199407,83.9
199408,80.8
199409,76.0
199410,67.2
199411,56.7
199412,44.1
199501,35.3
199502,38.8
199503,54.3
199504,62.0
199505,70.5
199506,82.6
199507,85.9
199508,88.0
199509,75.9
199510,66.8
199511,45.6
199512,36.3
199601,33.8
199602,39.3
199603,44.6
199604,59.9
199605,70.7
199606,81.0
199607,82.6
199608,83.7
199609,75.0
199610,66.2
199611,43.2
199612,40.2
199701,31.6
199702,42.5
199703,52.4
199704,59.1
199705,67.3
199706,78.4
199707,84.9
199708,80.0
199709,76.9
199710,65.4
199711,46.0
199712,39.0
199801,40.9
199802,47.2
199803,49.7
199804,63.1
199805,77.3
199806,81.0
199807,83.6
199808,84.2
199809,82.6
199810,67.4
199811,55.0
199812,45.3
199901,36.1
199902,45.2
199903,47.2
199904,64.2
199905,75.8
199906,82.4
199907,88.7
199908,83.4
199909,81.5
199910,66.4
199911,59.6
199912,41.4
200001,35.7
200002,45.8
200003,57.1
200004,62.4
200005,75.1
200006,80.7
200007,82.1
200008,82.5
200009,76.2
200010,69.3
200011,48.8
200012,27.6
200101,34.6
200102,41.9
200103,46.7
200104,68.6
200105,75.7
200106,79.6
200107,84.8
200108,84.4
200109,75.4
200110,64.4
200111,60.7
200112,44.5
200201,42.8
200202,44.7
200203,48.0
200204,64.3
200205,69.4
200206,84.0
200207,88.3
200208,85.6
200209,82.1
200210,62.1
200211,48.0
200212,39.1
200301,29.8
200302,33.5
200303,53.5
200304,65.1
200305,70.7
200306,78.0
200307,83.6
200308,84.4
200309,74.8
200310,64.8
200311,55.2
200312,40.6
200401,32.4
200402,38.8
200403,54.0
200404,65.0
200405,76.2
200406,80.0
200407,81.8
200408,79.1
200409,79.8
200410,65.6
200411,53.8
200412,39.4
200501,37.3
200502,42.8
200503,46.8
200504,66.0
200505,71.6
200506,84.4
200507,85.8
200508,85.4
200509,81.4
200510,65.8
200511,55.2
200512,33.5
200601,46.8
200602,41.0
200603,50.1
200604,68.2
200605,70.7
200606,80.9
200607,85.4
200608,83.7
200609,72.7
200610,61.5
200611,52.9
200612,45.8
200701,39.2
200702,28.7
200703,57.8
200704,60.5
200705,79.2
200706,84.0
200707,83.5
200708,88.6
200709,82.2
200710,71.3
200711,51.6
200712,39.4
200801,36.7
200802,36.0
200803,47.5
200804,63.8
200805,69.2
200806,83.1
200807,84.0
200808,82.7
200809,79.8
200810,65.9
200811,49.7
200812,38.4
200901,29.7
200902,41.9
200903,55.4
200904,62.2
200905,73.2
200906,82.0
200907,79.0
200908,81.1
200909,75.9
200910,59.5
200911,56.0
200912,37.3
201001,30.4
201002,33.0
201003,54.0
201004,70.2
201005,74.8
201006,84.3
201007,86.9
201008,87.2
201009,80.5
201010,70.0
201011,54.6
201012,31.4
201101,31.0
201102,39.5
201103,50.8
201104,63.8
201105,72.2
201106,82.7
201107,89.6
201108,85.0
201109,73.6
201110,66.1
201111,55.7
201112,44.1
201201,41.1
201202,43.9
201203,66.7
201204,65.3
201205,80.4
201206,85.0
201207,92.8
201208,84.8
201209,75.5
201210,62.3
201211,50.8
201212,45.3
201301,38.6
201302,38.1
201303,42.8
201304,62.0
201305,75.4
201306,81.0
201307,82.0
201308,82.6
201309,79.3
201310,65.3
201311,48.4
201312,37.6
201401,29.1
201402,31.2
201403,45.3
201404,64.4
201405,74.1
201406,82.6
201407,80.1
201408,82.4
201409,75.8
201410,64.1
201411,44.2
201412,40.6
201501,33.5
201502,29.1
201503,47.4
201504,64.6
201505,76.3
201506,80.3
201507,82.7
201508,81.6
201509,81.0
201510,66.9
201511,57.0
201512,49.8
201601,35.7
201602,42.7
201603,57.1
201604,64.0
201605,71.5
201606,84.4
201607,84.4
201608,85.0
201609,81.2
201610,70.4
201611,57.7
201612,37.2
