#  Kentucky Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,35.3
199402,48.8
199403,56.2
199404,71.1
199405,72.8
199406,86.0
199407,85.8
199408,84.2
199409,77.7
199410,69.9
199411,62.1
199412,50.5
199501,43.1
199502,45.6
199503,61.0
199504,69.6
199505,74.6
199506,83.0
199507,88.2
199508,90.4
199509,78.7
199510,69.7
199511,51.4
199512,43.2
199601,41.3
199602,46.5
199603,51.0
199604,65.3
199605,77.7
199606,83.3
199607,84.3
199608,85.3
199609,77.4
199610,69.1
199611,50.1
199612,49.6
199701,42.4
199702,51.0
199703,60.1
199704,63.2
199705,71.3
199706,79.0
199707,87.9
199708,83.9
199709,79.4
199710,68.9
199711,50.8
199712,44.5
199801,48.4
199802,50.6
199803,56.1
199804,65.8
199805,78.9
199806,83.9
199807,85.6
199808,87.0
199809,87.2
199810,72.4
199811,60.0
199812,50.0
199901,47.3
199902,52.0
199903,52.8
199904,70.0
199905,78.4
199906,84.6
199907,90.9
199908,89.0
199909,84.2
199910,70.5
199911,63.9
199912,48.8
200001,43.2
200002,54.1
200003,62.8
200004,66.1
200005,78.9
200006,84.2
200007,85.3
200008,85.6
200009,78.4
200010,73.4
200011,54.4
200012,35.4
200101,41.2
200102,51.5
200103,51.9
200104,72.4
200105,78.2
200106,82.6
200107,86.4
200108,86.6
200109,78.2
200110,69.4
200111,65.4
200112,51.7
200201,48.2
200202,50.2
200203,57.1
200204,70.9
200205,74.2
200206,85.7
200207,88.8
200208,88.7
200209,84.0
200210,66.0
200211,52.8
200212,44.3
200301,36.9
200302,41.0
200303,60.8
200304,69.8
200305,74.1
200306,79.8
200307,85.5
200308,86.1
200309,77.4
200310,69.1
200311,61.1
200312,45.8
200401,42.5
200402,47.3
200403,60.4
200404,67.6
200405,80.0
200406,82.6
200407,84.4
200408,82.0
200409,80.2
200410,70.7
200411,59.8
200412,46.3
200501,46.9
200502,50.4
200503,53.3
200504,69.3
200505,75.1
200506,85.4
200507,87.5
200508,89.1
200509,84.1
200510,69.6
200511,60.9
200512,41.7
200601,53.3
200602,46.3
200603,57.1
200604,72.9
200605,74.1
200606,83.0
200607,87.6
200608,87.8
200609,74.8
200610,65.3
200611,58.2
200612,52.6
200701,46.6
200702,39.6
200703,65.8
200704,65.5
200705,81.4
200706,86.5
200707,86.0
200708,93.9
200709,85.3
200710,74.5
200711,57.7
200712,49.7
200801,42.8
200802,46.5
200803,56.1
200804,67.5
200805,73.8
200806,86.0
200807,86.8
200808,86.0
200809,83.8
200810,70.1
200811,54.4
200812,47.0
200901,39.4
200902,50.0
200903,59.2
200904,67.8
200905,75.3
200906,84.7
200907,81.5
200908,83.9
200909,78.5
200910,64.0
200911,60.9
200912,44.0
201001,37.6
201002,38.5
201003,57.1
201004,74.0
201005,78.1
201006,87.8
201007,89.2
201008,89.8
201009,83.9
201010,73.2
201011,59.5
201012,36.2
201101,38.4
201102,49.6
201103,57.9
201104,70.7
201105,74.6
201106,85.3
201107,89.9
201108,87.7
201109,77.0
201110,68.2
201111,60.8
201112,50.5
201201,49.1
201202,51.4
201203,70.5
201204,70.2
201205,81.3
201206,86.2
201207,92.1
201208,86.6
201209,78.4
201210,66.2
201211,56.2
201212,51.7
201301,45.5
201302,47.0
201303,48.7
201304,67.6
201305,76.1
201306,83.6
201307,83.8
201308,83.5
201309,80.5
201310,68.5
201311,54.2
201312,46.5
201401,38.0
201402,43.0
201403,54.1
201404,70.9
201405,78.2
201406,84.6
201407,84.0
201408,85.5
201409,79.6
201410,68.6
201411,50.0
201412,46.8
201501,41.6
201502,36.7
201503,55.9
201504,69.6
201505,79.4
201506,84.6
201507,86.0
201508,83.8
201509,82.3
201510,69.4
201511,61.9
201512,58.1
201601,41.4
201602,48.2
201603,63.0
201604,70.5
201605,73.7
201606,86.6
201607,87.8
201608,87.4
201609,84.8
201610,75.4
201611,63.0
201612,46.3
