#  Louisiana Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,56.9
199402,63.6
199403,70.8
199404,78.3
199405,81.8
199406,89.2
199407,89.7
199408,89.6
199409,86.5
199410,77.1
199411,71.9
199412,62.5
199501,60.4
199502,65.0
199503,70.1
199504,77.0
199505,84.6
199506,89.5
199507,92.1
199508,94.0
199509,89.3
199510,79.7
199511,68.0
199512,60.2
199601,61.0
199602,63.7
199603,66.4
199604,75.9
199605,86.7
199606,88.9
199607,91.5
199608,89.3
199609,85.8
199610,78.1
199611,69.0
199612,64.4
199701,58.2
199702,62.3
199703,73.9
199704,72.3
199705,82.4
199706,87.8
199707,92.9
199708,91.2
199709,89.9
199710,78.7
199711,64.7
199712,59.3
199801,62.6
199802,63.5
199803,68.5
199804,75.8
199805,87.6
199806,93.2
199807,95.8
199808,94.3
199809,89.4
199810,81.1
199811,70.6
199812,62.6
199901,65.3
199902,69.0
199903,69.6
199904,81.3
199905,84.9
199906,88.9
199907,91.5
199908,96.5
199909,88.1
199910,79.8
199911,73.6
199912,63.1
200001,63.4
200002,70.0
200003,75.1
200004,76.4
200005,86.4
200006,89.5
200007,94.2
200008,96.4
200009,89.5
200010,80.6
200011,65.1
200012,53.6
200101,55.4
200102,67.3
200103,65.4
200104,80.3
200105,85.4
200106,87.5
200107,91.8
200108,90.4
200109,85.1
200110,76.9
200111,74.5
200112,65.1
200201,62.2
200202,60.9
200203,69.4
200204,79.4
200205,84.5
200206,88.8
200207,92.0
200208,91.2
200209,87.5
200210,77.1
200211,66.4
200212,61.2
200301,56.3
200302,59.9
200303,69.0
200304,78.2
200305,86.0
200306,88.6
200307,90.4
200308,92.1
200309,86.2
200310,79.7
200311,73.6
200312,61.5
200401,60.7
200402,58.2
200403,74.3
200404,77.1
200405,83.3
200406,87.8
200407,90.8
200408,90.2
200409,88.6
200410,83.0
200411,70.8
200412,61.1
200501,63.2
200502,63.4
200503,68.6
200504,77.4
200505,84.3
200506,90.8
200507,92.1
200508,94.2
200509,92.6
200510,80.4
200511,73.1
200512,61.1
200601,67.1
200602,61.9
200603,72.8
200604,82.3
200605,85.1
200606,91.4
200607,91.8
200608,94.0
200609,87.4
200610,79.7
200611,70.2
200612,62.5
200701,58.2
200702,61.6
200703,75.3
200704,74.9
200705,84.1
200706,89.9
200707,88.5
200708,94.4
200709,88.3
200710,80.8
200711,70.6
200712,66.3
200801,58.3
200802,67.3
200803,71.9
200804,77.7
200805,83.9
200806,91.0
200807,93.6
200808,90.1
200809,84.6
200810,78.2
200811,69.1
200812,63.3
200901,61.9
200902,67.3
200903,71.1
200904,76.6
200905,83.5
200906,92.3
200907,92.4
200908,90.9
200909,85.9
200910,76.4
200911,69.4
200912,56.8
201001,56.0
201002,53.8
201003,66.9
201004,79.4
201005,87.9
201006,93.0
201007,92.2
201008,94.5
201009,91.2
201010,82.9
201011,70.2
201012,59.5
201101,57.1
201102,63.5
201103,73.7
201104,82.0
201105,84.8
201106,94.8
201107,93.6
201108,98.2
201109,87.6
201110,79.7
201111,71.4
201112,61.1
201201,66.5
201202,64.6
201203,77.6
201204,80.2
201205,87.0
201206,91.3
201207,91.4
201208,91.1
201209,87.6
201210,77.8
201211,70.2
201212,65.6
201301,61.4
201302,64.3
201303,67.6
201304,75.4
201305,81.6
201306,90.2
201307,90.4
201308,92.0
201309,90.9
201310,78.9
201311,65.4
201312,59.3
201401,55.7
201402,60.0
201403,66.3
201404,76.3
201405,82.2
201406,88.3
201407,89.5
201408,90.5
201409,87.5
201410,81.0
201411,64.5
201412,63.0
201501,57.8
201502,58.4
201503,70.5
201504,78.8
201505,84.1
201506,89.6
201507,93.9
201508,93.4
201509,89.4
201510,81.4
201511,71.9
201512,68.9
201601,59.2
201602,66.8
201603,73.8
201604,77.9
201605,82.9
201606,89.6
201607,93.0
201608,90.7
201609,89.8
201610,84.1
201611,74.5
201612,63.6
