#  Maine Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,15.6
199402,22.7
199403,35.7
199404,48.3
199405,59.8
199406,74.8
199407,79.2
199408,73.9
199409,64.1
199410,56.7
199411,45.7
199412,32.8
199501,27.4
199502,24.3
199503,37.6
199504,46.0
199505,61.4
199506,75.5
199507,79.0
199508,77.5
199509,65.1
199510,59.0
199511,38.0
199512,25.4
199601,24.1
199602,26.2
199603,35.4
199604,47.9
199605,60.2
199606,72.2
199607,73.7
199608,75.8
199609,65.5
199610,52.6
199611,38.5
199612,34.6
199701,23.5
199702,29.2
199703,33.1
199704,47.0
199705,57.0
199706,73.7
199707,77.5
199708,73.8
199709,64.6
199710,52.7
199711,38.6
199712,29.9
199801,26.0
199802,34.3
199803,39.4
199804,52.2
199805,68.9
199806,69.1
199807,77.3
199808,77.1
199809,67.0
199810,53.3
199811,39.9
199812,35.4
199901,25.8
199902,32.4
199903,39.4
199904,50.5
199905,68.5
199906,77.3
199907,79.0
199908,75.2
199909,72.5
199910,52.5
199911,45.5
199912,32.4
200001,23.7
200002,29.7
200003,42.7
200004,48.1
200005,60.4
200006,71.0
200007,73.7
200008,73.5
200009,65.6
200010,54.8
200011,41.4
200012,26.0
200101,24.9
200102,27.2
200103,34.4
200104,49.1
200105,68.4
200106,74.3
200107,75.2
200108,79.7
200109,69.4
200110,58.2
200111,44.9
200112,36.1
200201,29.2
200202,30.6
200203,36.5
200204,49.0
200205,60.6
200206,69.6
200207,76.6
200208,79.3
200209,71.3
200210,50.9
200211,37.8
200212,29.7
200301,18.5
200302,22.7
200303,35.7
200304,46.8
200305,60.6
200306,73.2
200307,76.2
200308,75.7
200309,69.7
200310,53.8
200311,43.6
200312,31.9
200401,14.8
200402,29.0
200403,38.5
200404,50.0
200405,63.6
200406,69.1
200407,74.4
200408,74.8
200409,68.0
200410,55.7
200411,41.3
200412,28.2
200501,21.9
200502,30.8
200503,35.5
200504,51.7
200505,56.1
200506,75.0
200507,78.3
200508,77.0
200509,69.5
200510,54.6
200511,43.2
200512,29.1
200601,31.2
200602,27.5
200603,38.3
200604,53.6
200605,63.7
200606,72.8
200607,79.5
200608,72.5
200609,67.0
200610,53.9
200611,46.0
200612,35.5
200701,26.7
200702,22.3
200703,36.5
200704,46.4
200705,63.6
200706,72.9
200707,75.4
200708,75.4
200709,69.1
200710,59.3
200711,39.2
200712,26.4
200801,28.3
200802,28.5
200803,34.0
200804,53.1
200805,62.2
200806,70.8
200807,78.3
200808,72.7
200809,66.9
200810,53.7
200811,42.1
200812,30.2
200901,19.0
200902,29.3
200903,37.5
200904,52.9
200905,62.9
200906,68.3
200907,71.7
200908,76.8
200909,67.2
200910,48.8
200911,47.4
200912,29.2
201001,28.2
201002,30.6
201003,44.4
201004,55.8
201005,67.4
201006,71.4
201007,79.6
201008,77.0
201009,67.5
201010,53.8
201011,42.3
201012,30.5
201101,24.6
201102,26.8
201103,37.0
201104,49.0
201105,61.1
201106,71.0
201107,79.1
201108,74.8
201109,69.2
201110,55.5
201111,48.5
201112,35.0
201201,27.4
201202,31.6
201203,45.1
201204,53.4
201205,64.2
201206,70.7
201207,79.2
201208,78.2
201209,67.3
201210,57.0
201211,41.0
201212,32.2
201301,26.0
201302,28.8
201303,38.2
201304,50.0
201305,64.4
201306,71.3
201307,78.8
201308,74.7
201309,66.9
201310,57.6
201311,40.6
201312,24.6
201401,23.6
201402,26.5
201403,29.9
201404,49.4
201405,62.2
201406,73.2
201407,77.9
201408,75.2
201409,68.1
201410,56.9
201411,39.4
201412,32.5
201501,22.7
201502,16.1
201503,33.0
201504,48.5
201505,68.7
201506,67.5
201507,75.5
201508,77.5
201509,73.7
201510,53.2
201511,45.3
201512,37.4
201601,28.7
201602,32.3
201603,38.6
201604,49.1
201605,64.4
201606,72.0
201607,77.7
201608,77.9
201609,70.3
201610,56.4
201611,44.4
201612,29.3
