#  Michigan Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,18.6
199402,24.5
199403,40.4
199404,55.1
199405,66.0
199406,77.6
199407,78.2
199408,74.3
199409,71.4
199410,59.9
199411,47.5
199412,37.3
199501,29.1
199502,27.7
199503,43.5
199504,48.7
199505,64.9
199506,80.1
199507,80.8
199508,81.2
199509,68.6
199510,58.6
199511,35.9
199512,27.4
199601,26.2
199602,28.4
199603,35.5
199604,48.6
199605,62.6
199606,74.7
199607,76.3
199608,79.2
199609,69.5
199610,58.1
199611,37.0
199612,31.1
199701,25.4
199702,32.0
199703,38.8
199704,52.1
199705,58.3
199706,78.2
199707,79.2
199708,73.6
199709,68.8
199710,57.7
199711,39.7
199712,34.5
199801,31.0
199802,39.1
199803,41.1
199804,57.7
199805,73.7
199806,75.2
199807,81.2
199808,80.5
199809,75.0
199810,60.2
199811,46.3
199812,38.5
199901,25.6
199902,36.0
199903,41.2
199904,57.1
199905,70.4
199906,78.1
199907,82.9
199908,76.5
199909,72.8
199910,56.8
199911,50.5
199912,34.3
200001,28.0
200002,36.2
200003,49.4
200004,53.3
200005,68.1
200006,74.1
200007,77.4
200008,77.1
200009,69.1
200010,61.7
200011,42.5
200012,23.7
200101,30.4
200102,30.1
200103,38.6
200104,57.4
200105,68.7
200106,75.8
200107,80.7
200108,81.0
200109,68.0
200110,57.2
200111,52.0
200112,38.2
200201,34.4
200202,36.2
200203,37.0
200204,53.5
200205,60.9
200206,76.7
200207,84.5
200208,79.2
200209,75.4
200210,53.4
200211,41.0
200212,33.0
200301,24.0
200302,25.7
200303,40.8
200304,53.2
200305,64.4
200306,74.6
200307,79.7
200308,80.3
200309,70.7
200310,56.7
200311,45.1
200312,35.4
200401,22.0
200402,32.4
200403,42.9
200404,55.9
200405,64.8
200406,73.3
200407,77.6
200408,74.1
200409,75.8
200410,58.5
200411,45.8
200412,31.2
200501,25.9
200502,33.3
200503,37.9
200504,58.9
200505,63.6
200506,81.2
200507,82.6
200508,80.2
200509,75.8
200510,60.3
200511,46.0
200512,28.3
200601,35.9
200602,30.6
200603,42.2
200604,60.1
200605,67.2
200606,76.5
200607,83.0
200608,79.1
200609,67.7
200610,53.8
200611,46.1
200612,37.6
200701,31.0
200702,23.3
200703,45.0
200704,52.4
200705,71.1
200706,80.1
200707,80.3
200708,80.2
200709,73.7
200710,64.0
200711,42.8
200712,30.6
200801,30.0
200802,27.3
200803,36.8
200804,57.3
200805,63.8
200806,75.8
200807,79.5
200808,78.9
200809,71.8
200810,56.7
200811,42.6
200812,28.4
200901,21.6
200902,32.4
200903,42.2
200904,53.8
200905,66.1
200906,73.7
200907,74.5
200908,75.8
200909,72.7
200910,52.4
200911,49.5
200912,30.1
201001,27.5
201002,30.4
201003,49.3
201004,61.8
201005,70.2
201006,75.2
201007,82.4
201008,81.3
201009,68.3
201010,60.9
201011,46.6
201012,28.7
201101,24.3
201102,29.9
201103,38.2
201104,52.0
201105,65.7
201106,75.6
201107,84.6
201108,79.5
201109,69.3
201110,59.9
201111,48.0
201112,36.3
201201,32.8
201202,36.0
201203,55.4
201204,55.8
201205,71.9
201206,79.0
201207,86.0
201208,79.2
201209,70.5
201210,56.8
201211,44.0
201212,36.6
201301,30.7
201302,28.8
201303,36.2
201304,49.0
201305,69.0
201306,75.0
201307,79.8
201308,78.3
201309,71.1
201310,58.6
201311,41.2
201312,26.4
201401,20.3
201402,22.2
201403,32.5
201404,52.2
201405,66.1
201406,76.4
201407,76.0
201408,76.7
201409,69.9
201410,56.0
201411,37.0
201412,34.2
201501,24.7
201502,18.6
201503,39.3
201504,54.7
201505,69.4
201506,73.8
201507,79.7
201508,77.0
201509,75.5
201510,58.3
201511,50.5
201512,41.5
201601,28.8
201602,33.3
201603,45.4
201604,51.3
201605,68.0
201606,77.0
201607,81.7
201608,81.4
201609,73.7
201610,60.9
201611,51.7
201612,31.0
