#  Missouri Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,34.4
199402,43.2
199403,58.2
199404,67.8
199405,74.4
199406,85.7
199407,86.4
199408,85.7
199409,77.6
199410,69.5
199411,57.7
199412,46.9
199501,38.0
199502,47.1
199503,58.1
199504,65.7
199505,70.4
199506,81.8
199507,88.1
199508,91.0
199509,76.3
199510,71.3
199511,52.3
199512,41.2
199601,37.9
199602,47.6
199603,50.0
199604,65.0
199605,75.7
199606,83.1
199607,85.4
199608,85.4
199609,76.1
199610,68.8
199611,45.9
199612,43.9
199701,36.8
199702,45.2
199703,59.6
199704,61.4
199705,72.2
199706,81.5
199707,89.1
199708,84.5
199709,79.9
199710,68.3
199711,49.4
199712,40.8
199801,42.9
199802,49.3
199803,49.4
199804,65.0
199805,80.2
199806,84.0
199807,87.2
199808,87.4
199809,84.6
199810,70.1
199811,58.4
199812,46.4
199901,39.1
199902,52.1
199903,53.2
199904,66.8
199905,75.2
199906,82.5
199907,90.9
199908,88.2
199909,80.5
199910,71.2
199911,65.4
199912,46.8
200001,43.0
200002,52.9
200003,59.8
200004,67.4
200005,78.4
200006,81.3
200007,85.9
200008,90.9
200009,82.7
200010,71.8
200011,49.2
200012,30.1
200101,38.5
200102,44.4
200103,50.9
200104,72.2
200105,76.9
200106,82.3
200107,88.8
200108,88.6
200109,78.2
200110,67.9
200111,62.6
200112,48.3
200201,45.9
200202,48.1
200203,52.2
200204,69.1
200205,72.7
200206,85.4
200207,90.0
200208,87.8
200209,83.5
200210,63.3
200211,52.5
200212,45.9
200301,37.3
200302,40.7
200303,56.5
200304,68.4
200305,74.6
200306,80.0
200307,89.4
200308,90.8
200309,76.6
200310,69.7
200311,55.9
200312,44.8
200401,39.2
200402,43.4
200403,58.7
200404,67.6
200405,77.5
200406,81.0
200407,83.9
200408,81.5
200409,81.4
200410,68.9
200411,56.1
200412,44.9
200501,41.1
200502,49.6
200503,55.0
200504,68.2
200505,76.1
200506,86.7
200507,89.9
200508,88.6
200509,83.6
200510,68.8
200511,58.8
200512,39.3
200601,51.3
200602,46.2
200603,57.0
200604,73.8
200605,75.3
200606,85.1
200607,90.4
200608,89.6
200609,76.8
200610,65.5
200611,57.3
200612,47.8
200701,40.7
200702,38.9
200703,64.4
200704,64.0
200705,79.1
200706,83.8
200707,86.6
200708,93.3
200709,82.4
200710,71.5
200711,56.9
200712,41.8
200801,41.6
200802,39.9
200803,54.7
200804,63.1
200805,73.7
200806,83.7
200807,86.8
200808,84.5
200809,77.5
200810,67.6
200811,53.8
200812,41.8
200901,38.0
200902,49.8
200903,57.9
200904,64.0
200905,74.4
200906,85.1
200907,83.0
200908,83.3
200909,76.6
200910,59.9
200911,60.0
200912,38.8
201001,33.2
201002,37.0
201003,55.3
201004,72.8
201005,74.9
201006,87.7
201007,89.0
201008,90.8
201009,79.9
201010,72.6
201011,58.3
201012,38.1
201101,36.1
201102,43.0
201103,54.9
201104,68.4
201105,73.2
201106,86.5
201107,93.5
201108,89.1
201109,76.9
201110,71.0
201111,57.0
201112,46.5
201201,47.6
201202,49.6
201203,69.9
201204,71.0
201205,81.8
201206,87.8
201207,97.0
201208,90.0
201209,78.6
201210,65.7
201211,57.3
201212,48.4
201301,44.0
201302,44.0
201303,47.7
201304,63.4
201305,74.2
201306,83.2
201307,85.8
201308,85.0
201309,82.8
201310,67.4
201311,52.3
201312,40.3
201401,37.8
201402,36.8
201403,52.8
201404,67.2
201405,76.5
201406,82.8
201407,83.7
201408,87.2
201409,78.4
201410,69.4
201411,48.1
201412,43.2
201501,41.6
201502,36.6
201503,56.2
201504,69.2
201505,74.9
201506,83.4
201507,86.6
201508,83.9
201509,82.8
201510,69.6
201511,59.3
201512,51.7
201601,40.2
201602,49.6
201603,61.8
201604,69.1
201605,73.8
201606,88.2
201607,87.8
201608,86.1
201609,82.9
201610,73.6
201611,62.6
201612,41.8
