#  Montana Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,29.8
199402,26.1
199403,48.2
199404,55.3
199405,66.9
199406,73.1
199407,81.8
199408,82.7
199409,74.7
199410,53.2
199411,36.9
199412,33.2
199501,32.0
199502,38.8
199503,41.4
199504,49.2
199505,60.5
199506,70.6
199507,78.0
199508,80.4
199509,68.7
199510,52.0
199511,41.3
199512,30.6
199601,21.6
199602,34.0
199603,34.6
199604,53.3
199605,55.8
199606,74.5
199607,81.8
199608,83.4
199609,65.5
199610,54.5
199611,30.7
199612,23.7
199701,24.3
199702,35.1
199703,43.1
199704,47.4
199705,64.5
199706,73.0
199707,77.9
199708,79.6
199709,73.1
199710,54.9
199711,40.7
199712,35.2
199801,28.9
199802,40.4
199803,39.5
199804,56.2
199805,67.0
199806,65.6
199807,83.7
199808,83.8
199809,76.3
199810,56.3
199811,40.4
199812,30.4
199901,31.5
199902,39.2
199903,47.8
199904,52.0
199905,60.9
199906,69.4
199907,79.9
199908,81.3
199909,65.9
199910,58.2
199911,50.7
199912,38.8
200001,32.1
200002,37.7
200003,47.2
200004,56.7
200005,64.2
200006,71.6
200007,84.1
200008,83.3
200009,68.3
200010,55.7
200011,31.7
200012,25.8
200101,34.2
200102,27.3
200103,45.0
200104,52.9
200105,68.1
200106,71.0
200107,81.5
200108,86.0
200109,73.8
200110,54.8
200111,47.7
200112,32.3
200201,31.9
200202,37.9
200203,30.5
200204,50.1
200205,60.4
200206,72.6
200207,85.0
200208,75.5
200209,69.5
200210,48.6
200211,44.4
200212,36.5
200301,34.9
200302,31.3
200303,40.8
200304,56.1
200305,62.2
200306,71.4
200307,87.0
200308,86.0
200309,68.8
200310,61.0
200311,34.1
200312,34.2
200401,26.1
200402,34.0
200403,49.4
200404,58.0
200405,60.0
200406,68.9
200407,80.8
200408,76.4
200409,67.3
200410,55.0
200411,44.7
200412,37.2
200501,28.4
200502,41.6
200503,46.0
200504,55.4
200505,61.3
200506,69.3
200507,83.6
200508,79.8
200509,69.8
200510,57.0
200511,42.6
200512,28.9
200601,39.7
200602,34.3
200603,41.2
200604,57.5
200605,66.6
200606,75.2
200607,87.8
200608,81.7
200609,68.5
200610,51.8
200611,40.6
200612,35.6
200701,32.3
200702,31.0
200703,51.2
200704,52.6
200705,65.0
200706,74.3
200707,89.3
200708,81.5
200709,69.6
200710,56.5
200711,42.3
200712,31.3
200801,29.5
200802,35.1
200803,42.9
200804,51.1
200805,61.2
200806,69.9
200807,82.3
200808,81.7
200809,68.1
200810,56.2
200811,45.6
200812,23.8
200901,31.1
200902,35.1
200903,39.8
200904,51.5
200905,64.6
200906,70.0
200907,79.4
200908,77.7
200909,77.3
200910,45.5
200911,46.8
200912,21.4
201001,29.5
201002,31.0
201003,48.1
201004,53.9
201005,57.7
201006,69.6
201007,78.9
201008,78.4
201009,67.0
201010,61.1
201011,36.4
201012,27.8
201101,28.0
201102,26.8
201103,38.2
201104,48.3
201105,57.2
201106,68.3
201107,81.8
201108,82.8
201109,74.8
201110,57.3
201111,40.7
201112,36.0
201201,35.3
201202,35.4
201203,52.0
201204,57.8
201205,62.5
201206,74.0
201207,86.5
201208,83.6
201209,74.8
201210,51.9
201211,42.0
201212,30.3
201301,31.2
201302,36.8
201303,42.5
201304,48.7
201305,64.7
201306,72.0
201307,82.6
201308,82.4
201309,71.5
201310,52.3
201311,41.0
201312,26.2
201401,34.5
201402,25.1
201403,39.8
201404,53.6
201405,64.1
201406,68.7
201407,83.1
201408,78.0
201409,68.7
201410,60.7
201411,35.6
201412,33.6
201501,34.6
201502,37.6
201503,52.6
201504,56.5
201505,61.7
201506,78.2
201507,80.8
201508,81.7
201509,71.9
201510,60.4
201511,40.0
201512,32.3
201601,32.1
201602,44.0
201603,49.4
201604,57.5
201605,63.6
201606,77.5
201607,80.6
201608,79.8
201609,67.0
201610,54.6
201611,50.0
201612,23.0
