#  Nebraska Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,32.3
199402,32.4
199403,55.3
199404,62.5
199405,76.0
199406,83.9
199407,83.6
199408,85.1
199409,78.9
199410,64.6
199411,48.4
199412,39.5
199501,35.7
199502,46.4
199503,48.8
199504,55.1
199505,62.2
199506,78.6
199507,88.3
199508,89.3
199509,74.6
199510,63.2
199511,49.2
199512,38.7
199601,30.9
199602,43.4
199603,44.5
199604,62.2
199605,66.4
199606,81.9
199607,84.1
199608,82.3
199609,71.7
199610,65.0
199611,39.5
199612,33.7
199701,32.8
199702,39.3
199703,55.1
199704,54.4
199705,68.8
199706,82.3
199707,87.1
199708,82.9
199709,77.9
199710,64.7
199711,46.1
199712,38.3
199801,37.4
199802,44.1
199803,41.3
199804,60.0
199805,75.5
199806,77.6
199807,86.7
199808,85.6
199809,83.7
199810,63.3
199811,51.1
199812,42.6
199901,37.7
199902,50.0
199903,52.0
199904,57.9
199905,70.5
199906,78.2
199907,88.7
199908,84.4
199909,74.7
199910,67.5
199911,60.9
199912,44.8
200001,40.7
200002,47.7
200003,54.6
200004,63.9
200005,75.1
200006,82.0
200007,88.0
200008,90.2
200009,80.0
200010,65.9
200011,38.4
200012,28.6
200101,38.4
200102,31.3
200103,46.1
200104,63.5
200105,71.9
200106,81.8
200107,89.2
200108,87.4
200109,76.9
200110,65.3
200111,57.7
200112,41.9
200201,42.2
200202,45.8
200203,42.3
200204,64.3
200205,69.8
200206,87.9
200207,92.6
200208,86.2
200209,77.6
200210,55.3
200211,49.1
200212,44.5
200301,39.2
200302,36.4
200303,52.0
200304,63.1
200305,69.6
200306,78.2
200307,90.7
200308,89.3
200309,76.1
200310,70.3
200311,45.8
200312,40.8
200401,35.7
200402,37.4
200403,55.8
200404,65.0
200405,73.9
200406,77.6
200407,84.2
200408,82.0
200409,80.1
200410,64.6
200411,49.8
200412,42.7
200501,32.8
200502,46.5
200503,52.7
200504,62.3
200505,71.5
200506,81.7
200507,89.9
200508,85.4
200509,82.2
200510,66.1
200511,54.9
200512,35.3
200601,50.0
200602,41.1
200603,48.1
200604,67.9
200605,75.8
200606,86.0
200607,91.5
200608,85.2
200609,71.7
200610,61.0
200611,51.2
200612,42.0
200701,31.8
200702,32.9
200703,58.4
200704,58.4
200705,74.8
200706,81.7
200707,88.8
200708,87.4
200709,78.7
200710,67.0
200711,54.2
200712,31.9
200801,32.3
200802,37.9
200803,50.3
200804,57.7
200805,69.2
200806,80.6
200807,88.3
200808,83.7
200809,75.7
200810,63.1
200811,50.3
200812,33.1
200901,38.0
200902,44.5
200903,51.3
200904,58.5
200905,72.3
200906,78.3
200907,82.6
200908,82.3
200909,74.3
200910,51.8
200911,55.4
200912,28.2
201001,31.5
201002,32.4
201003,50.1
201004,64.4
201005,68.3
201006,81.6
201007,86.5
201008,88.0
201009,78.4
201010,69.1
201011,49.0
201012,37.3
201101,31.1
201102,36.4
201103,48.4
201104,59.4
201105,68.1
201106,80.8
201107,89.5
201108,86.1
201109,75.5
201110,67.1
201111,52.2
201112,40.4
201201,44.2
201202,40.7
201203,66.3
201204,66.9
201205,77.0
201206,87.8
201207,95.2
201208,88.5
201209,81.5
201210,62.2
201211,54.6
201212,39.7
201301,37.1
201302,40.0
201303,47.3
201304,55.3
201305,71.2
201306,82.0
201307,85.8
201308,85.7
201309,81.4
201310,61.0
201311,48.8
201312,35.2
201401,38.7
201402,31.8
201403,49.3
201404,62.1
201405,71.8
201406,80.4
201407,84.3
201408,84.5
201409,76.0
201410,68.1
201411,45.6
201412,37.6
201501,39.4
201502,38.8
201503,59.3
201504,64.0
201505,67.0
201506,81.5
201507,86.1
201508,83.8
201509,81.9
201510,67.4
201511,51.9
201512,39.1
201601,35.6
201602,46.0
201603,58.7
201604,62.2
201605,69.8
201606,87.4
201607,86.5
201608,84.1
201609,78.2
201610,70.1
201611,57.7
201612,35.5
