#  Nevada Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,46.4
199402,43.4
199403,58.5
199404,61.4
199405,70.8
199406,84.6
199407,91.5
199408,89.9
199409,79.7
199410,62.6
199411,41.0
199412,41.5
199501,41.0
199502,56.0
199503,50.6
199504,57.0
199505,63.0
199506,73.7
199507,86.6
199508,87.9
199509,80.8
199510,68.0
199511,60.1
199512,46.0
199601,44.9
199602,48.6
199603,55.1
199604,62.6
199605,69.9
199606,83.2
199607,91.3
199608,89.5
199609,76.8
199610,64.2
199611,52.2
199612,43.3
199701,41.1
199702,45.7
199703,59.1
199704,58.2
199705,75.7
199706,77.7
199707,85.6
199708,88.0
199709,77.7
199710,64.6
199711,52.7
199712,40.2
199801,45.0
199802,41.8
199803,51.9
199804,56.2
199805,62.1
199806,73.6
199807,90.0
199808,90.0
199809,76.0
199810,61.2
199811,50.3
199812,42.2
199901,45.8
199902,46.9
199903,54.7
199904,54.2
199905,68.3
199906,79.4
199907,87.4
199908,85.3
199909,79.0
199910,71.7
199911,59.1
199912,45.9
200001,45.4
200002,47.8
200003,53.4
200004,66.2
200005,73.3
200006,84.4
200007,89.5
200008,88.2
200009,78.2
200010,63.0
200011,45.4
200012,47.0
200101,40.8
200102,42.2
200103,56.0
200104,58.6
200105,78.0
200106,83.8
200107,87.8
200108,91.2
200109,82.2
200110,70.2
200111,53.6
200112,39.8
200201,41.5
200202,48.5
200203,51.5
200204,63.7
200205,71.1
200206,84.2
200207,93.0
200208,87.3
200209,79.0
200210,64.1
200211,53.1
200212,44.0
200301,52.6
200302,45.2
200303,55.2
200304,55.9
200305,71.5
200306,84.0
200307,93.9
200308,87.6
200309,81.1
200310,73.3
200311,46.3
200312,42.8
200401,41.4
200402,41.7
200403,62.2
200404,62.8
200405,71.7
200406,83.0
200407,89.7
200408,85.5
200409,77.5
200410,61.5
200411,48.3
200412,43.6
200501,41.0
200502,44.8
200503,53.6
200504,59.0
200505,69.4
200506,76.5
200507,92.7
200508,87.4
200509,76.4
200510,66.0
200511,55.1
200512,44.0
200601,44.4
200602,48.4
200603,46.8
200604,60.1
200605,74.0
200606,85.0
200607,92.0
200608,86.9
200609,77.9
200610,64.1
200611,53.2
200612,43.0
200701,40.2
200702,48.5
200703,60.2
200704,62.9
200705,74.7
200706,84.5
200707,93.3
200708,88.9
200709,76.9
200710,64.0
200711,56.3
200712,39.1
200801,37.6
200802,45.9
200803,53.2
200804,60.0
200805,68.2
200806,82.0
200807,91.0
200808,89.8
200809,80.8
200810,67.4
200811,56.4
200812,41.7
200901,46.0
200902,46.1
200903,53.0
200904,59.8
200905,75.7
200906,75.7
200907,90.4
200908,86.5
200909,83.4
200910,61.5
200911,54.8
200912,37.4
201001,42.4
201002,45.8
201003,52.2
201004,57.4
201005,62.6
201006,79.9
201007,90.4
201008,86.4
201009,82.0
201010,65.2
201011,48.8
201012,44.2
201101,44.1
201102,44.5
201103,51.8
201104,57.3
201105,64.1
201106,77.7
201107,88.1
201108,89.5
201109,82.0
201110,66.8
201111,49.8
201112,44.1
201201,48.2
201202,46.4
201203,55.5
201204,64.2
201205,73.8
201206,83.4
201207,89.9
201208,90.2
201209,82.4
201210,68.2
201211,56.2
201212,40.8
201301,38.0
201302,45.2
201303,57.9
201304,62.5
201305,71.4
201306,85.4
201307,92.0
201308,87.6
201309,76.1
201310,62.4
201311,53.8
201312,40.8
201401,50.0
201402,50.7
201403,56.4
201404,63.1
201405,72.3
201406,82.8
201407,91.6
201408,83.6
201409,80.4
201410,70.7
201411,54.3
201412,44.8
201501,49.1
201502,55.7
201503,61.8
201504,62.5
201505,67.8
201506,86.7
201507,85.2
201508,88.3
201509,81.6
201510,68.6
201511,47.2
201512,40.8
201601,40.5
201602,50.5
201603,56.3
201604,62.9
201605,68.2
201606,86.0
201607,90.6
201608,88.7
201609,77.7
201610,66.5
201611,56.0
201612,41.2
