#  New Hampshire Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,20.7
199402,26.7
199403,38.5
199404,53.6
199405,63.7
199406,77.0
199407,80.9
199408,75.1
199409,65.3
199410,58.6
199411,48.7
199412,37.0
199501,32.6
199502,28.8
199503,42.4
199504,49.3
199505,63.6
199506,77.3
199507,81.0
199508,78.2
199509,66.8
199510,61.4
199511,39.9
199512,27.4
199601,28.2
199602,29.3
199603,38.4
199604,51.3
199605,63.1
199606,74.1
199607,76.2
199608,77.5
199609,68.3
199610,55.6
199611,40.2
199612,36.1
199701,27.4
199702,35.5
199703,36.8
199704,50.2
199705,59.4
199706,76.0
199707,78.0
199708,75.4
199709,67.2
199710,55.7
199711,41.1
199712,33.8
199801,31.4
199802,38.0
199803,43.1
199804,56.3
199805,70.6
199806,70.8
199807,78.5
199808,78.3
199809,70.7
199810,56.9
199811,43.3
199812,40.2
199901,29.7
199902,35.4
199903,40.8
199904,54.5
199905,68.8
199906,79.4
199907,81.3
199908,76.2
199909,72.6
199910,55.6
199911,49.8
199912,35.2
200001,26.9
200002,33.6
200003,46.7
200004,50.9
200005,64.5
200006,72.9
200007,74.8
200008,74.4
200009,68.0
200010,57.6
200011,43.4
200012,28.6
200101,29.2
200102,31.7
200103,36.1
200104,53.5
200105,69.1
200106,76.5
200107,76.5
200108,81.5
200109,71.1
200110,60.6
200111,48.4
200112,39.2
200201,34.9
200202,36.2
200203,40.4
200204,55.4
200205,62.6
200206,72.4
200207,79.5
200208,81.3
200209,73.5
200210,53.3
200211,41.1
200212,31.9
200301,21.6
200302,26.8
200303,41.0
200304,50.1
200305,62.8
200306,73.9
200307,79.0
200308,78.1
200309,69.7
200310,55.4
200311,46.4
200312,33.6
200401,18.9
200402,32.1
200403,42.1
200404,53.8
200405,67.2
200406,72.5
200407,75.9
200408,76.2
200409,70.4
200410,56.8
200411,45.3
200412,32.1
200501,26.0
200502,34.2
200503,37.4
200504,56.8
200505,58.8
200506,77.6
200507,80.2
200508,78.8
200509,72.9
200510,56.3
200511,46.3
200512,31.4
200601,35.7
200602,31.6
200603,40.0
200604,57.0
200605,63.8
200606,73.3
200607,81.2
200608,74.9
200609,67.7
200610,55.6
200611,49.6
200612,39.7
200701,30.6
200702,24.8
200703,39.8
200704,48.9
200705,67.9
200706,74.2
200707,76.6
200708,78.2
200709,71.8
200710,61.9
200711,42.0
200712,29.9
200801,32.0
200802,31.8
200803,37.8
200804,57.2
200805,64.6
200806,74.6
200807,79.2
200808,74.4
200809,69.2
200810,56.2
200811,43.5
200812,34.0
200901,23.2
200902,33.0
200903,41.4
200904,56.6
200905,65.4
200906,69.7
200907,73.8
200908,78.0
200909,68.1
200910,52.2
200911,49.7
200912,31.4
201001,29.4
201002,31.9
201003,47.0
201004,59.0
201005,70.3
201006,74.2
201007,82.1
201008,77.6
201009,70.9
201010,56.1
201011,44.6
201012,30.6
201101,26.7
201102,30.5
201103,39.2
201104,52.7
201105,66.2
201106,73.4
201107,81.3
201108,77.0
201109,70.9
201110,57.2
201111,50.9
201112,38.6
201201,31.4
201202,36.7
201203,50.3
201204,56.6
201205,68.0
201206,73.4
201207,81.4
201208,80.4
201209,69.3
201210,58.9
201211,43.5
201212,36.0
201301,30.3
201302,31.3
201303,39.8
201304,54.1
201305,68.3
201306,74.5
201307,81.0
201308,76.5
201309,69.2
201310,59.3
201311,42.8
201312,30.4
201401,26.2
201402,28.7
201403,33.6
201404,53.8
201405,65.5
201406,75.0
201407,79.1
201408,75.2
201409,70.0
201410,58.5
201411,42.1
201412,35.3
201501,25.7
201502,20.2
201503,35.5
201504,52.0
201505,73.5
201506,70.8
201507,78.5
201508,78.9
201509,75.5
201510,56.5
201511,50.2
201512,42.4
201601,31.4
201602,36.2
201603,45.6
201604,53.1
201605,66.9
201606,75.5
201607,80.8
201608,80.2
201609,72.9
201610,58.0
201611,46.9
201612,33.5
