#  New Jersey Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,32.5
199402,38.2
199403,47.8
199404,65.8
199405,70.6
199406,83.5
199407,86.5
199408,80.4
199409,74.9
199410,65.1
199411,59.2
199412,48.7
199501,43.1
199502,38.4
199503,54.0
199504,61.5
199505,69.9
199506,79.7
199507,86.2
199508,86.3
199509,76.3
199510,69.6
199511,49.5
199512,37.1
199601,37.8
199602,40.7
199603,46.5
199604,61.0
199605,69.1
199606,80.6
199607,80.9
199608,82.2
199609,75.7
199610,64.7
199611,48.9
199612,45.7
199701,38.9
199702,47.6
199703,51.0
199704,59.8
199705,68.6
199706,79.8
199707,85.8
199708,81.9
199709,75.2
199710,65.6
199711,50.3
199712,44.2
199801,46.7
199802,47.3
199803,52.4
199804,63.8
199805,73.6
199806,77.9
199807,85.2
199808,85.2
199809,79.8
199810,65.5
199811,55.6
199812,49.5
199901,42.9
199902,45.0
199903,50.1
199904,62.8
199905,72.2
199906,82.2
199907,90.0
199908,84.6
199909,76.4
199910,64.5
199911,58.4
199912,46.3
200001,39.2
200002,44.7
200003,56.8
200004,59.8
200005,72.8
200006,80.5
200007,80.6
200008,79.8
200009,74.7
200010,66.6
200011,52.4
200012,37.9
200101,38.8
200102,44.1
200103,46.7
200104,62.9
200105,73.1
200106,81.7
200107,82.2
200108,85.9
200109,76.2
200110,67.6
200111,60.6
200112,50.6
200201,45.7
200202,49.4
200203,53.3
200204,65.6
200205,70.9
200206,81.4
200207,87.4
200208,86.9
200209,79.0
200210,63.1
200211,52.0
200212,41.5
200301,33.9
200302,36.6
200303,52.4
200304,58.7
200305,66.2
200306,76.8
200307,84.5
200308,84.3
200309,75.6
200310,63.6
200311,57.8
200312,44.0
200401,32.1
200402,42.6
200403,52.1
200404,62.5
200405,77.0
200406,79.2
200407,82.4
200408,81.6
200409,77.4
200410,63.0
200411,55.9
200412,44.7
200501,38.1
200502,43.6
200503,46.1
200504,64.9
200505,68.1
200506,82.7
200507,85.6
200508,86.4
200509,82.5
200510,64.7
200511,58.3
200512,41.1
200601,48.3
200602,43.4
200603,52.0
200604,65.9
200605,73.1
200606,79.5
200607,86.7
200608,84.7
200609,73.7
200610,64.4
200611,58.3
200612,51.4
200701,45.2
200702,34.9
200703,52.6
200704,58.6
200705,76.0
200706,81.6
200707,84.1
200708,83.5
200709,79.6
200710,72.1
200711,52.7
200712,42.8
200801,43.1
200802,44.8
200803,52.1
200804,64.3
200805,69.5
200806,84.5
200807,86.8
200808,82.9
200809,77.3
200810,64.8
200811,51.7
200812,45.7
200901,35.0
200902,45.2
200903,51.0
200904,63.5
200905,71.7
200906,76.4
200907,82.3
200908,84.3
200909,74.0
200910,62.8
200911,57.4
200912,42.6
201001,39.2
201002,37.9
201003,56.2
201004,68.1
201005,75.3
201006,85.1
201007,89.2
201008,85.1
201009,80.4
201010,66.3
201011,54.9
201012,38.3
201101,35.5
201102,44.9
201103,51.0
201104,63.8
201105,74.0
201106,82.5
201107,89.2
201108,83.4
201109,76.8
201110,65.7
201111,59.6
201112,50.1
201201,44.7
201202,48.2
201203,60.5
201204,64.4
201205,74.8
201206,80.9
201207,88.5
201208,84.6
201209,77.2
201210,65.7
201211,50.4
201212,48.3
201301,41.8
201302,40.6
201303,47.1
201304,62.8
201305,71.8
201306,81.4
201307,86.5
201308,80.8
201309,75.8
201310,67.4
201311,52.8
201312,44.6
201401,36.0
201402,38.8
201403,45.6
201404,62.1
201405,72.7
201406,81.5
201407,84.3
201408,81.6
201409,77.4
201410,66.7
201411,51.1
201412,45.9
201501,36.3
201502,32.3
201503,45.8
201504,62.9
201505,78.3
201506,79.8
201507,84.9
201508,85.8
201509,81.6
201510,65.4
201511,59.7
201512,56.0
201601,40.9
201602,45.5
201603,58.1
201604,62.8
201605,70.0
201606,82.2
201607,87.5
201608,87.4
201609,80.4
201610,67.2
201611,57.5
201612,44.8
