#  New York Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,21.1
199402,27.4
199403,38.2
199404,56.5
199405,63.8
199406,77.1
199407,80.6
199408,74.8
199409,67.8
199410,59.0
199411,51.0
199412,38.6
199501,34.4
199502,28.7
199503,45.9
199504,50.4
199505,64.6
199506,78.5
199507,81.3
199508,80.7
199509,68.4
199510,62.6
199511,40.1
199512,27.6
199601,28.7
199602,30.5
199603,38.2
199604,51.7
199605,63.6
199606,75.3
199607,76.5
199608,78.1
199609,69.2
199610,58.5
199611,39.9
199612,37.8
199701,29.3
199702,37.1
199703,39.5
199704,52.1
199705,60.5
199706,76.7
199707,78.4
199708,75.7
199709,68.1
199710,57.9
199711,41.7
199712,34.7
199801,35.0
199802,38.8
199803,43.8
199804,57.7
199805,72.0
199806,73.3
199807,78.2
199808,78.8
199809,72.2
199810,58.8
199811,45.8
199812,42.0
199901,30.1
199902,36.9
199903,39.5
199904,55.6
199905,70.1
199906,79.0
199907,82.7
199908,76.8
199909,73.0
199910,57.6
199911,51.1
199912,36.6
200001,28.9
200002,35.4
200003,48.4
200004,52.2
200005,67.1
200006,73.7
200007,75.0
200008,75.2
200009,68.9
200010,59.2
200011,43.7
200012,27.9
200101,30.3
200102,33.7
200103,36.2
200104,56.1
200105,69.0
200106,75.9
200107,77.2
200108,81.8
200109,70.7
200110,61.0
200111,52.6
200112,41.0
200201,36.6
200202,39.5
200203,42.9
200204,56.4
200205,62.3
200206,75.4
200207,81.4
200208,81.0
200209,74.9
200210,54.9
200211,43.0
200212,32.6
200301,23.1
200302,27.7
200303,43.3
200304,52.0
200305,64.3
200306,72.8
200307,78.7
200308,79.1
200309,70.6
200310,56.1
200311,49.1
200312,35.6
200401,21.1
200402,32.2
200403,44.0
200404,54.4
200405,69.9
200406,73.2
200407,76.7
200408,75.3
200409,72.2
200410,57.9
200411,47.4
200412,34.5
200501,27.5
200502,34.4
200503,37.4
200504,58.6
200505,62.4
200506,80.4
200507,81.9
200508,81.0
200509,74.6
200510,57.6
200511,50.3
200512,30.8
200601,38.7
200602,33.3
200603,41.1
200604,57.8
200605,66.7
200606,74.1
200607,81.2
200608,77.3
200609,67.2
200610,55.8
200611,50.3
200612,41.9
200701,33.4
200702,24.8
200703,41.0
200704,50.5
200705,69.8
200706,78.2
200707,77.5
200708,79.0
200709,74.0
200710,65.0
200711,44.0
200712,32.9
200801,34.0
200802,32.2
200803,39.0
200804,61.3
200805,63.8
200806,77.1
200807,79.5
200808,75.4
200809,71.4
200810,57.1
200811,43.8
200812,35.1
200901,24.2
200902,34.4
200903,43.8
200904,57.5
200905,66.8
200906,72.2
200907,75.0
200908,77.9
200909,69.3
200910,54.3
200911,50.9
200912,32.4
201001,29.2
201002,30.4
201003,47.8
201004,62.0
201005,71.1
201006,75.4
201007,82.4
201008,78.4
201009,70.9
201010,57.9
201011,46.7
201012,29.4
201101,26.6
201102,32.3
201103,40.2
201104,54.8
201105,67.9
201106,75.5
201107,83.1
201108,77.8
201109,71.7
201110,58.6
201111,52.8
201112,39.7
201201,34.6
201202,37.9
201203,54.6
201204,55.1
201205,72.0
201206,75.5
201207,83.2
201208,79.9
201209,70.9
201210,59.6
201211,43.9
201212,38.3
201301,33.0
201302,31.1
201303,38.5
201304,54.4
201305,69.6
201306,74.1
201307,80.9
201308,76.4
201309,69.6
201310,61.0
201311,43.0
201312,33.3
201401,26.4
201402,28.0
201403,34.4
201404,55.4
201405,67.8
201406,76.2
201407,77.7
201408,75.7
201409,71.2
201410,60.1
201411,42.8
201412,36.1
201501,26.4
201502,20.2
201503,35.8
201504,54.4
201505,74.2
201506,73.0
201507,79.0
201508,78.4
201509,76.4
201510,57.6
201511,52.6
201512,46.5
201601,32.0
201602,36.4
201603,48.5
201604,53.2
201605,67.5
201606,76.3
201607,81.8
201608,81.6
201609,74.9
201610,60.0
201611,49.3
201612,34.8
