#  North Carolina Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,47.0
199402,54.6
199403,63.5
199404,74.8
199405,75.3
199406,85.7
199407,86.7
199408,83.7
199409,78.3
199410,69.8
199411,66.1
199412,56.6
199501,51.0
199502,49.9
199503,64.5
199504,72.8
199505,78.1
199506,81.7
199507,88.5
199508,87.5
199509,78.4
199510,73.1
199511,57.2
199512,49.2
199601,48.4
199602,52.7
199603,56.3
199604,69.8
199605,79.4
199606,84.9
199607,86.6
199608,83.7
199609,79.0
199610,71.3
199611,56.3
199612,55.0
199701,50.8
199702,56.8
199703,67.1
199704,67.0
199705,75.7
199706,80.5
199707,88.2
199708,86.0
199709,80.6
199710,71.2
199711,57.4
199712,51.3
199801,53.7
199802,54.9
199803,60.0
199804,70.1
199805,79.4
199806,86.8
199807,88.9
199808,87.3
199809,85.0
199810,74.1
199811,63.8
199812,57.1
199901,56.8
199902,56.7
199903,59.2
199904,72.5
199905,77.4
199906,82.5
199907,88.5
199908,88.8
199909,79.3
199910,70.1
199911,67.0
199912,55.4
200001,49.3
200002,58.2
200003,66.5
200004,68.5
200005,81.8
200006,85.8
200007,85.0
200008,85.0
200009,78.5
200010,74.0
200011,59.1
200012,45.4
200101,50.7
200102,58.0
200103,58.3
200104,72.7
200105,79.0
200106,84.5
200107,84.2
200108,86.9
200109,78.4
200110,71.9
200111,69.0
200112,59.4
200201,54.2
200202,57.0
200203,63.5
200204,75.0
200205,77.7
200206,87.1
200207,89.5
200208,88.0
200209,81.5
200210,70.4
200211,58.9
200212,50.6
200301,46.6
200302,51.2
200303,63.8
200304,69.0
200305,75.4
200306,82.6
200307,85.8
200308,86.2
200309,79.6
200310,70.0
200311,68.1
200312,51.7
200401,49.0
200402,50.4
200403,64.0
200404,71.4
200405,82.3
200406,83.7
200407,87.2
200408,83.1
200409,79.2
200410,71.1
200411,63.9
200412,53.6
200501,53.5
200502,54.3
200503,58.7
200504,70.0
200505,75.2
200506,83.2
200507,88.6
200508,87.6
200509,84.7
200510,72.0
200511,65.0
200512,50.7
200601,57.7
200602,53.4
200603,62.0
200604,75.3
200605,76.7
200606,83.9
200607,88.0
200608,88.2
200609,78.1
200610,69.3
200611,63.1
200612,59.7
200701,54.8
200702,50.4
200703,67.4
200704,70.2
200705,78.8
200706,85.5
200707,86.6
200708,92.4
200709,84.4
200710,77.1
200711,62.3
200712,58.3
200801,50.9
200802,58.3
200803,63.8
200804,69.8
200805,77.0
200806,89.4
200807,87.6
200808,86.0
200809,80.2
200810,69.9
200811,58.9
200812,56.4
200901,49.1
200902,55.0
200903,60.1
200904,71.5
200905,77.7
200906,85.6
200907,85.7
200908,86.9
200909,79.0
200910,69.2
200911,63.0
200912,50.4
201001,47.0
201002,46.1
201003,61.1
201004,75.6
201005,80.4
201006,89.5
201007,90.1
201008,88.3
201009,85.3
201010,73.9
201011,62.5
201012,42.9
201101,46.4
201102,58.0
201103,62.3
201104,73.7
201105,79.2
201106,88.8
201107,90.9
201108,88.4
201109,80.5
201110,70.2
201111,64.8
201112,58.3
201201,55.2
201202,57.4
201203,71.0
201204,71.4
201205,80.3
201206,84.1
201207,90.8
201208,84.7
201209,80.4
201210,70.3
201211,58.2
201212,57.8
201301,54.2
201302,52.2
201303,55.2
201304,70.3
201305,75.8
201306,83.7
201307,85.3
201308,83.2
201309,80.1
201310,70.8
201311,59.6
201312,56.4
201401,47.1
201402,53.8
201403,57.5
201404,72.0
201405,80.5
201406,85.9
201407,85.5
201408,83.4
201409,79.5
201410,73.6
201411,57.4
201412,54.7
201501,50.0
201502,45.6
201503,62.3
201504,71.3
201505,80.4
201506,87.9
201507,88.4
201508,86.4
201509,80.9
201510,70.7
201511,64.5
201512,64.2
201601,48.4
201602,53.1
201603,68.3
201604,71.3
201605,76.1
201606,86.4
201607,90.4
201608,88.7
201609,83.9
201610,74.8
201611,64.9
201612,54.1
