#  Oklahoma Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,47.0
199402,51.4
199403,65.6
199404,73.3
199405,78.1
199406,92.1
199407,91.8
199408,92.0
199409,83.4
199410,73.6
199411,60.6
199412,52.6
199501,50.4
199502,58.4
199503,60.7
199504,69.9
199505,74.7
199506,85.1
199507,93.4
199508,94.0
199509,81.1
199510,76.2
199511,63.9
199512,49.8
199601,48.6
199602,58.8
199603,58.6
199604,73.5
199605,84.5
199606,89.6
199607,92.0
199608,87.4
199609,80.1
199610,72.8
199611,56.0
199612,54.2
199701,48.0
199702,52.6
199703,66.4
199704,65.9
199705,77.9
199706,85.9
199707,93.3
199708,89.2
199709,86.0
199710,72.8
199711,56.6
199712,47.1
199801,50.0
199802,55.0
199803,56.4
199804,69.8
199805,84.7
199806,92.6
199807,99.0
199808,95.7
199809,92.4
199810,74.7
199811,62.6
199812,51.4
199901,51.3
199902,62.3
199903,59.7
199904,72.0
199905,78.9
199906,85.1
199907,93.6
199908,97.3
199909,82.5
199910,76.2
199911,70.5
199912,55.1
200001,52.4
200002,61.6
200003,64.0
200004,71.2
200005,82.6
200006,83.9
200007,92.9
200008,99.7
200009,91.1
200010,74.4
200011,53.5
200012,40.4
200101,45.9
200102,52.0
200103,56.8
200104,76.0
200105,80.8
200106,88.8
200107,98.1
200108,95.4
200109,83.0
200110,74.0
200111,64.9
200112,54.7
200201,52.8
200202,53.7
200203,60.3
200204,72.8
200205,78.1
200206,88.4
200207,91.6
200208,92.8
200209,87.0
200210,65.6
200211,59.6
200212,50.9
200301,49.1
200302,49.0
200303,62.5
200304,74.6
200305,81.2
200306,84.4
200307,96.1
200308,95.5
200309,80.4
200310,76.1
200311,60.8
200312,54.3
200401,50.6
200402,50.0
200403,66.5
200404,71.6
200405,82.7
200406,85.4
200407,88.7
200408,87.2
200409,86.8
200410,74.7
200411,58.6
200412,54.2
200501,49.8
200502,55.7
200503,62.5
200504,72.4
200505,78.9
200506,89.4
200507,92.8
200508,92.2
200509,89.5
200510,74.8
200511,67.0
200512,51.4
200601,61.4
200602,54.6
200603,65.6
200604,80.0
200605,83.1
200606,91.2
200607,97.0
200608,96.2
200609,82.7
200610,73.8
200611,63.5
200612,52.7
200701,44.4
200702,50.6
200703,69.7
200704,66.7
200705,78.4
200706,84.5
200707,89.0
200708,93.7
200709,85.3
200710,77.1
200711,64.2
200712,49.0
200801,51.0
200802,54.0
200803,64.1
200804,71.1
200805,81.1
200806,89.6
200807,93.6
200808,89.8
200809,81.7
200810,73.3
200811,63.6
200812,51.3
200901,51.2
200902,61.2
200903,64.5
200904,71.4
200905,76.9
200906,90.9
200907,93.4
200908,90.9
200909,80.6
200910,64.6
200911,65.6
200912,45.3
201001,45.6
201002,43.9
201003,60.7
201004,73.7
201005,80.1
201006,91.9
201007,91.9
201008,97.0
201009,87.1
201010,77.5
201011,63.4
201012,51.0
201101,48.1
201102,52.6
201103,64.5
201104,76.5
201105,80.4
201106,96.8
201107,102.9
201108,101.6
201109,85.9
201110,75.8
201111,61.6
201112,49.8
201201,56.4
201202,54.7
201203,71.5
201204,75.9
201205,85.0
201206,91.7
201207,99.5
201208,95.5
201209,87.7
201210,72.4
201211,67.3
201212,54.5
201301,51.6
201302,53.1
201303,59.8
201304,67.1
201305,79.1
201306,89.7
201307,91.2
201308,91.6
201309,89.1
201310,72.4
201311,57.7
201312,46.6
201401,50.1
201402,48.0
201403,60.4
201404,73.3
201405,82.1
201406,87.5
201407,89.0
201408,93.0
201409,84.8
201410,78.0
201411,56.7
201412,49.7
201501,49.7
201502,50.2
201503,63.0
201504,73.1
201505,75.8
201506,89.2
201507,92.9
201508,91.3
201509,88.9
201510,76.1
201511,62.7
201512,56.4
201601,49.5
201602,61.4
201603,68.1
201604,73.9
201605,77.5
201606,90.8
201607,94.7
201608,92.4
201609,87.4
201610,80.3
201611,68.2
201612,50.9
