#  Rhode Island Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,31.1
199402,33.5
199403,45.8
199404,60.1
199405,65.6
199406,77.8
199407,83.2
199408,77.7
199409,70.6
199410,63.0
199411,56.6
199412,45.3
199501,41.4
199502,37.2
199503,47.9
199504,56.7
199505,65.4
199506,76.5
199507,82.4
199508,81.8
199509,71.9
199510,66.5
199511,48.2
199512,36.1
199601,36.1
199602,36.7
199603,44.3
199604,56.0
199605,67.0
199606,76.0
199607,77.8
199608,78.5
199609,71.0
199610,61.5
199611,47.1
199612,44.6
199701,37.1
199702,43.6
199703,45.3
199704,55.5
199705,63.6
199706,77.1
199707,81.9
199708,78.5
199709,72.0
199710,61.5
199711,47.9
199712,41.8
199801,41.5
199802,43.8
199803,48.5
199804,58.3
199805,70.4
199806,73.0
199807,81.2
199808,81.4
199809,75.2
199810,62.4
199811,51.8
199812,46.9
199901,39.4
199902,42.4
199903,48.2
199904,59.3
199905,69.2
199906,79.6
199907,85.0
199908,79.9
199909,75.1
199910,62.2
199911,55.8
199912,44.3
200001,36.2
200002,41.5
200003,52.2
200004,54.8
200005,67.7
200006,76.0
200007,77.7
200008,77.4
200009,72.4
200010,62.6
200011,49.9
200012,36.6
200101,36.6
200102,39.7
200103,42.4
200104,58.5
200105,70.0
200106,78.7
200107,78.5
200108,82.0
200109,74.0
200110,64.6
200111,56.8
200112,47.0
200201,42.8
200202,44.9
200203,49.0
200204,60.4
200205,65.7
200206,75.0
200207,83.0
200208,82.9
200209,75.3
200210,59.9
200211,49.4
200212,39.7
200301,31.0
200302,33.5
200303,47.6
200304,53.6
200305,63.5
200306,72.9
200307,81.0
200308,81.5
200309,73.7
200310,60.5
200311,53.8
200312,43.1
200401,27.7
200402,40.0
200403,46.2
200404,57.9
200405,69.3
200406,75.2
200407,78.4
200408,78.0
200409,73.4
200410,60.3
200411,52.1
200412,42.5
200501,34.3
200502,39.2
200503,42.2
200504,59.9
200505,60.9
200506,78.2
200507,81.5
200508,83.8
200509,76.9
200510,61.2
200511,54.8
200512,39.3
200601,44.1
200602,39.2
200603,47.1
200604,59.7
200605,66.1
200606,75.0
200607,82.9
200608,79.6
200609,71.6
200610,62.0
200611,55.4
200612,48.2
200701,40.7
200702,33.5
200703,46.8
200704,53.7
200705,70.8
200706,76.5
200707,81.2
200708,81.4
200709,76.2
200710,67.4
200711,50.3
200712,39.0
200801,40.4
200802,40.4
200803,47.0
200804,60.3
200805,65.8
200806,78.9
200807,82.9
200808,78.2
200809,72.8
200810,61.6
200811,50.4
200812,43.7
200901,31.9
200902,41.5
200903,46.4
200904,59.7
200905,67.1
200906,71.2
200907,77.8
200908,81.4
200909,71.9
200910,59.9
200911,55.4
200912,40.0
201001,36.3
201002,38.3
201003,52.2
201004,63.4
201005,72.0
201006,78.6
201007,85.0
201008,80.8
201009,75.4
201010,62.8
201011,51.8
201012,38.0
201101,33.8
201102,39.2
201103,47.0
201104,57.7
201105,67.7
201106,76.0
201107,84.1
201108,80.7
201109,75.4
201110,63.5
201111,57.5
201112,48.1
201201,42.5
201202,45.1
201203,55.2
201204,61.3
201205,69.4
201206,75.3
201207,83.5
201208,82.0
201209,72.7
201210,64.1
201211,49.2
201212,45.1
201301,38.9
201302,37.5
201303,44.8
201304,58.2
201305,70.1
201306,77.4
201307,84.3
201308,78.6
201309,72.7
201310,64.6
201311,50.8
201312,41.0
201401,35.4
201402,36.2
201403,42.8
201404,57.0
201405,68.0
201406,77.1
201407,81.1
201408,79.0
201409,75.1
201410,64.0
201411,50.4
201412,44.3
201501,34.1
201502,28.4
201503,41.3
201504,57.5
201505,73.1
201506,73.8
201507,81.9
201508,82.4
201509,78.6
201510,62.2
201511,56.4
201512,53.3
201601,39.8
201602,43.0
201603,52.3
201604,56.4
201605,68.2
201606,77.6
201607,83.9
201608,84.1
201609,75.7
201610,64.6
201611,54.8
201612,42.8
