#  Tennessee Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,40.3
199402,53.1
199403,60.6
199404,73.6
199405,74.5
199406,85.9
199407,85.0
199408,84.8
199409,78.9
199410,70.6
199411,64.4
199412,53.4
199501,47.3
199502,49.6
199503,64.2
199504,72.3
199505,77.3
199506,83.1
199507,88.7
199508,90.1
199509,79.6
199510,71.2
199511,54.2
199512,46.8
199601,45.6
199602,50.0
199603,55.0
199604,67.7
199605,80.1
199606,84.2
199607,85.8
199608,85.7
199609,78.4
199610,70.6
199611,53.8
199612,52.8
199701,47.0
199702,54.4
199703,65.0
199704,65.6
199705,73.9
199706,79.5
199707,88.8
199708,85.4
199709,81.6
199710,70.0
199711,53.0
199712,47.4
199801,50.6
199802,52.5
199803,57.6
199804,68.0
199805,80.6
199806,86.6
199807,87.3
199808,87.5
199809,88.3
199810,75.5
199811,62.8
199812,52.5
199901,51.9
199902,55.6
199903,56.2
199904,73.0
199905,78.5
199906,84.7
199907,89.6
199908,90.6
199909,84.9
199910,72.5
199911,66.1
199912,52.8
200001,47.3
200002,57.5
200003,65.3
200004,67.3
200005,80.2
200006,85.0
200007,88.3
200008,89.0
200009,81.2
200010,75.6
200011,57.2
200012,39.8
200101,44.2
200102,55.2
200103,55.1
200104,73.4
200105,78.9
200106,83.2
200107,87.3
200108,86.5
200109,78.8
200110,70.3
200111,67.8
200112,54.7
200201,51.2
200202,51.8
200203,60.2
200204,73.2
200205,75.8
200206,86.5
200207,89.2
200208,89.4
200209,84.5
200210,69.2
200211,55.1
200212,48.7
200301,42.0
200302,46.6
200303,62.8
200304,71.5
200305,76.3
200306,81.2
200307,86.1
200308,87.2
200309,79.7
200310,71.0
200311,63.8
200312,49.0
200401,47.5
200402,49.2
200403,64.1
200404,69.5
200405,80.8
200406,83.1
200407,85.6
200408,83.1
200409,80.7
200410,73.1
200411,62.4
200412,49.2
200501,51.7
200502,53.8
200503,58.4
200504,70.1
200505,76.3
200506,84.5
200507,87.5
200508,89.6
200509,85.2
200510,71.7
200511,63.4
200512,46.1
200601,55.7
200602,48.7
200603,61.4
200604,75.8
200605,76.2
200606,85.1
200607,89.4
200608,89.8
200609,78.3
200610,68.3
200611,60.0
200612,55.1
200701,49.5
200702,46.4
200703,69.6
200704,67.7
200705,82.5
200706,88.0
200707,87.0
200708,95.9
200709,85.4
200710,75.4
200711,60.4
200712,54.4
200801,46.4
200802,52.6
200803,60.5
200804,69.1
200805,76.4
200806,87.1
200807,88.5
200808,86.9
200809,82.8
200810,70.9
200811,56.8
200812,50.7
200901,45.1
200902,54.1
200903,61.2
200904,69.5
200905,76.0
200906,86.8
200907,83.8
200908,85.2
200909,79.5
200910,66.3
200911,62.6
200912,46.6
201001,41.6
201002,41.7
201003,57.5
201004,75.1
201005,80.0
201006,89.0
201007,90.5
201008,90.9
201009,85.3
201010,74.9
201011,62.3
201012,41.3
201101,42.9
201102,53.9
201103,60.9
201104,73.4
201105,76.7
201106,87.7
201107,90.2
201108,90.0
201109,79.2
201110,69.9
201111,61.8
201112,52.7
201201,53.1
201202,54.8
201203,72.2
201204,72.8
201205,82.3
201206,86.8
201207,91.4
201208,87.0
201209,80.4
201210,67.8
201211,59.2
201212,54.8
201301,49.7
201302,50.7
201303,52.6
201304,68.7
201305,76.2
201306,84.5
201307,84.2
201308,84.0
201309,81.8
201310,70.4
201311,56.2
201312,49.8
201401,41.6
201402,48.4
201403,57.4
201404,71.9
201405,78.9
201406,84.4
201407,84.1
201408,86.6
201409,81.2
201410,71.8
201411,53.0
201412,50.3
201501,45.8
201502,41.4
201503,60.2
201504,71.8
201505,79.8
201506,86.5
201507,87.6
201508,85.0
201509,82.5
201510,71.3
201511,63.6
201512,60.9
201601,44.7
201602,51.3
201603,65.7
201604,72.4
201605,76.4
201606,88.1
201607,90.2
201608,88.7
201609,86.9
201610,78.5
201611,66.5
201612,50.5
