#  Texas Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,59.0
199402,62.1
199403,71.3
199404,78.7
199405,82.4
199406,94.4
199407,95.3
199408,93.6
199409,87.2
199410,78.4
199411,69.5
199412,61.6
199501,59.8
199502,66.5
199503,67.8
199504,77.3
199505,84.0
199506,89.4
199507,95.2
199508,93.6
199509,86.9
199510,80.9
199511,69.3
199512,60.5
199601,61.0
199602,67.1
199603,67.4
199604,79.6
199605,91.0
199606,93.5
199607,95.4
199608,90.8
199609,84.8
199610,78.5
199611,67.9
199612,63.2
199701,56.0
199702,59.2
199703,72.2
199704,71.2
199705,82.1
199706,88.8
199707,94.7
199708,93.7
199709,90.4
199710,78.2
199711,64.2
199712,56.8
199801,63.1
199802,62.9
199803,67.4
199804,77.4
199805,91.2
199806,97.0
199807,99.2
199808,93.9
199809,91.0
199810,79.2
199811,68.9
199812,59.8
199901,64.2
199902,70.9
199903,69.4
199904,79.6
199905,84.7
199906,89.6
199907,93.0
199908,97.5
199909,88.8
199910,80.5
199911,74.6
199912,62.2
200001,64.1
200002,71.0
200003,74.3
200004,79.5
200005,89.2
200006,88.6
200007,96.9
200008,97.6
200009,92.8
200010,77.4
200011,61.3
200012,53.2
200101,54.3
200102,63.5
200103,64.0
200104,79.9
200105,86.4
200106,93.2
200107,97.4
200108,94.7
200109,86.6
200110,79.1
200111,69.9
200112,61.3
200201,61.7
200202,60.6
200203,69.0
200204,80.6
200205,86.5
200206,92.4
200207,91.3
200208,94.7
200209,88.2
200210,74.1
200211,64.9
200212,59.3
200301,58.6
200302,59.3
200303,69.9
200304,80.2
200305,88.2
200306,90.0
200307,93.6
200308,95.2
200309,84.9
200310,79.9
200311,69.4
200312,63.4
200401,60.0
200402,58.6
200403,72.7
200404,75.7
200405,85.5
200406,89.6
200407,91.9
200408,90.7
200409,87.0
200410,80.4
200411,65.6
200412,60.4
200501,61.8
200502,61.2
200503,69.4
200504,78.2
200505,83.5
200506,92.9
200507,94.7
200508,93.0
200509,93.2
200510,79.2
200511,73.4
200512,61.4
200601,68.3
200602,64.2
200603,73.5
200604,84.4
200605,89.3
200606,93.9
200607,95.4
200608,95.3
200609,86.2
200610,79.3
200611,71.7
200612,60.2
200701,52.1
200702,62.2
200703,73.7
200704,74.0
200705,81.5
200706,88.5
200707,88.9
200708,92.7
200709,88.2
200710,82.7
200711,70.4
200712,62.6
200801,59.0
200802,68.4
200803,72.6
200804,79.6
200805,87.2
200806,95.5
200807,93.4
200808,91.8
200809,85.1
200810,79.3
200811,70.9
200812,62.1
200901,63.1
200902,70.5
200903,72.7
200904,78.6
200905,85.6
200906,94.3
200907,96.4
200908,95.9
200909,85.0
200910,75.6
200911,70.9
200912,53.9
201001,56.5
201002,54.0
201003,68.3
201004,77.4
201005,86.0
201006,94.2
201007,90.9
201008,97.0
201009,89.2
201010,82.0
201011,70.9
201012,63.0
201101,58.2
201102,62.9
201103,76.2
201104,85.7
201105,87.8
201106,99.0
201107,99.7
201108,101.6
201109,92.6
201110,81.1
201111,70.3
201112,55.7
201201,64.4
201202,62.9
201203,75.6
201204,83.9
201205,87.7
201206,95.1
201207,95.1
201208,96.4
201209,89.2
201210,78.5
201211,73.4
201212,64.6
201301,59.4
201302,64.9
201303,71.8
201304,77.1
201305,85.2
201306,94.0
201307,92.7
201308,95.8
201309,90.2
201310,79.1
201311,64.3
201312,56.7
201401,59.0
201402,61.1
201403,68.9
201404,79.1
201405,85.1
201406,91.4
201407,93.1
201408,94.7
201409,86.6
201410,82.8
201411,63.6
201412,60.5
201501,54.6
201502,60.4
201503,67.4
201504,78.1
201505,81.9
201506,89.9
201507,94.5
201508,96.1
201509,91.6
201510,81.6
201511,68.3
201512,64.1
201601,58.8
201602,69.0
201603,74.3
201604,78.6
201605,82.8
201606,91.2
201607,97.4
201608,92.2
201609,88.4
201610,84.0
201611,72.5
201612,60.2
