#  Utah Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,42.0
199402,40.8
199403,55.5
199404,59.8
199405,71.8
199406,85.0
199407,89.8
199408,87.8
199409,78.0
199410,59.4
199411,40.7
199412,38.6
199501,37.6
199502,51.8
199503,50.6
199504,56.2
199505,62.1
199506,73.6
199507,85.2
199508,86.6
199509,77.6
199510,64.3
199511,55.0
199512,42.7
199601,40.0
199602,45.6
199603,52.8
199604,60.2
199605,70.9
199606,83.6
199607,89.1
199608,87.3
199609,73.1
199610,61.1
199611,48.5
199612,39.2
199701,36.3
199702,40.2
199703,55.7
199704,55.1
199705,72.4
199706,79.1
199707,84.7
199708,83.6
199709,73.9
199710,62.1
199711,48.2
199712,36.4
199801,41.7
199802,40.2
199803,50.3
199804,55.4
199805,66.9
199806,74.1
199807,88.2
199808,86.2
199809,76.0
199810,59.6
199811,48.8
199812,38.4
199901,42.2
199902,45.9
199903,55.6
199904,53.3
199905,66.5
199906,78.5
199907,85.7
199908,82.7
199909,74.4
199910,68.4
199911,56.9
199912,40.3
200001,41.5
200002,46.0
200003,50.6
200004,65.2
200005,73.8
200006,82.8
200007,89.8
200008,87.0
200009,76.7
200010,60.6
200011,40.3
200012,41.0
200101,36.6
200102,41.7
200103,52.8
200104,59.3
200105,74.2
200106,83.2
200107,87.6
200108,87.2
200109,81.1
200110,66.6
200111,50.7
200112,34.8
200201,36.6
200202,42.2
200203,49.2
200204,63.7
200205,71.5
200206,85.0
200207,91.8
200208,86.4
200209,74.2
200210,59.7
200211,47.4
200212,39.3
200301,46.2
200302,41.3
200303,51.8
200304,58.4
200305,71.5
200306,81.0
200307,93.3
200308,86.9
200309,77.5
200310,70.0
200311,43.7
200312,40.0
200401,34.4
200402,37.6
200403,59.2
200404,60.2
200405,71.0
200406,81.0
200407,87.0
200408,83.0
200409,74.6
200410,59.8
200411,45.6
200412,39.9
200501,41.2
200502,43.4
200503,50.6
200504,58.9
200505,69.6
200506,75.9
200507,90.8
200508,83.2
200509,75.5
200510,63.4
200511,50.6
200512,40.2
200601,40.8
200602,44.3
200603,47.2
200604,61.9
200605,73.8
200606,84.6
200607,89.6
200608,84.2
200609,72.5
200610,59.1
200611,50.2
200612,38.4
200701,34.2
200702,45.4
200703,56.3
200704,61.6
200705,72.3
200706,84.5
200707,91.4
200708,87.2
200709,76.0
200710,62.5
200711,54.1
200712,34.2
200801,33.2
200802,41.2
200803,49.7
200804,57.4
200805,66.7
200806,80.7
200807,89.4
200808,86.6
200809,77.2
200810,64.6
200811,52.2
200812,37.5
200901,40.3
200902,44.2
200903,52.2
200904,58.3
200905,72.8
200906,75.5
200907,88.4
200908,85.3
200909,79.1
200910,58.4
200911,52.0
200912,32.0
201001,36.7
201002,39.7
201003,49.7
201004,57.8
201005,63.7
201006,80.1
201007,88.1
201008,83.7
201009,80.4
201010,63.2
201011,45.8
201012,41.3
201101,36.1
201102,39.8
201103,50.8
201104,56.1
201105,63.4
201106,78.6
201107,85.8
201108,87.6
201109,77.8
201110,63.1
201111,47.8
201112,37.7
201201,42.8
201202,42.5
201203,55.7
201204,63.7
201205,73.1
201206,85.4
201207,87.4
201208,87.3
201209,78.3
201210,64.8
201211,53.5
201212,37.2
201301,30.4
201302,38.8
201303,53.5
201304,58.1
201305,70.0
201306,85.4
201307,89.1
201308,84.6
201309,73.5
201310,59.3
201311,49.1
201312,33.7
201401,41.7
201402,46.7
201403,53.9
201404,59.7
201405,70.2
201406,81.4
201407,89.0
201408,80.7
201409,77.7
201410,66.7
201411,49.6
201412,40.9
201501,42.0
201502,50.8
201503,58.3
201504,60.6
201505,65.4
201506,85.0
201507,83.9
201508,85.2
201509,79.9
201510,66.1
201511,45.7
201512,36.5
201601,36.2
201602,45.3
201603,54.4
201604,60.1
201605,67.3
201606,86.6
201607,88.8
201608,84.8
201609,74.9
201610,65.7
201611,53.4
201612,37.5
