#  West Virginia Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,32.4
199402,44.4
199403,51.0
199404,69.0
199405,68.1
199406,83.0
199407,83.1
199408,79.3
199409,73.5
199410,66.2
199411,60.5
199412,48.4
199501,40.2
199502,40.0
199503,56.6
199504,64.4
199505,70.9
199506,79.6
199507,84.7
199508,86.0
199509,74.4
199510,68.2
199511,47.4
199512,37.9
199601,38.6
199602,41.4
199603,47.2
199604,63.3
199605,72.1
199606,81.0
199607,80.1
199608,80.5
199609,72.9
199610,64.9
199611,46.0
199612,47.0
199701,40.5
199702,47.8
199703,55.8
199704,59.1
199705,68.1
199706,78.1
199707,83.3
199708,79.4
199709,74.1
199710,65.1
199711,47.8
199712,42.5
199801,45.3
199802,46.5
199803,52.1
199804,65.4
199805,74.7
199806,78.0
199807,82.6
199808,83.3
199809,81.1
199810,66.9
199811,55.8
199812,48.6
199901,44.3
199902,46.6
199903,48.0
199904,67.5
199905,75.6
199906,81.9
199907,87.6
199908,82.9
199909,76.9
199910,65.3
199911,60.0
199912,45.6
200001,40.0
200002,49.4
200003,58.9
200004,63.1
200005,76.3
200006,80.9
200007,79.4
200008,79.2
200009,73.9
200010,68.6
200011,50.5
200012,34.6
200101,38.6
200102,48.4
200103,46.8
200104,68.1
200105,73.5
200106,79.7
200107,80.5
200108,82.8
200109,74.0
200110,66.0
200111,62.6
200112,49.8
200201,44.7
200202,48.7
200203,54.6
200204,66.6
200205,71.1
200206,81.9
200207,84.0
200208,84.6
200209,80.5
200210,63.0
200211,49.5
200212,40.7
200301,33.3
200302,37.4
200303,57.1
200304,65.9
200305,69.4
200306,75.8
200307,81.5
200308,82.2
200309,73.4
200310,63.7
200311,59.3
200312,41.1
200401,36.4
200402,43.1
200403,56.2
200404,63.3
200405,78.2
200406,78.0
200407,81.0
200408,79.4
200409,76.4
200410,65.6
200411,56.3
200412,44.1
200501,43.3
200502,45.6
200503,46.9
200504,66.4
200505,69.5
200506,82.0
200507,84.2
200508,84.0
200509,80.1
200510,65.2
200511,57.5
200512,38.1
200601,49.5
200602,42.2
200603,51.8
200604,69.7
200605,70.5
200606,78.1
200607,83.0
200608,84.5
200609,70.7
200610,61.6
200611,55.8
200612,50.9
200701,44.0
200702,33.9
200703,58.9
200704,60.8
200705,77.2
200706,81.9
200707,81.4
200708,86.7
200709,80.9
200710,71.8
200711,53.6
200712,46.1
200801,40.4
200802,43.9
200803,53.3
200804,66.7
200805,69.6
200806,81.8
200807,82.3
200808,80.1
200809,78.4
200810,64.4
200811,50.3
200812,45.2
200901,36.0
200902,45.0
200903,55.0
200904,65.1
200905,72.8
200906,79.3
200907,78.1
200908,81.2
200909,74.4
200910,61.5
200911,58.0
200912,40.6
201001,34.4
201002,33.8
201003,54.0
201004,71.0
201005,75.8
201006,82.9
201007,85.4
201008,84.1
201009,79.3
201010,66.8
201011,55.2
201012,31.2
201101,35.0
201102,47.4
201103,53.0
201104,67.0
201105,73.3
201106,81.1
201107,86.2
201108,82.8
201109,74.5
201110,62.3
201111,58.6
201112,48.1
201201,44.6
201202,47.7
201203,65.6
201204,64.4
201205,77.8
201206,80.7
201207,86.5
201208,82.5
201209,75.7
201210,63.9
201211,51.0
201212,47.8
201301,42.6
201302,41.3
201303,44.5
201304,66.2
201305,73.0
201306,79.6
201307,82.4
201308,79.0
201309,75.2
201310,64.9
201311,50.4
201312,44.7
201401,34.9
201402,40.5
201403,49.1
201404,67.0
201405,74.8
201406,81.2
201407,80.4
201408,79.5
201409,75.6
201410,64.0
201411,47.9
201412,45.4
201501,37.3
201502,33.6
201503,51.4
201504,65.7
201505,78.3
201506,80.7
201507,82.0
201508,81.4
201509,78.0
201510,65.2
201511,59.7
201512,55.9
201601,37.8
201602,44.0
201603,60.7
201604,66.8
201605,70.4
201606,81.4
201607,84.1
201608,85.3
201609,82.3
201610,69.1
201611,57.7
201612,44.1
