#  Wisconsin Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,14.0
199402,22.1
199403,41.6
199404,55.4
199405,69.0
199406,78.6
199407,77.3
199408,74.6
199409,71.2
199410,59.2
199411,45.0
199412,33.4
199501,24.4
199502,27.4
199503,42.3
199504,48.5
199505,65.7
199506,80.7
199507,81.0
199508,81.2
199509,68.1
199510,56.8
199511,32.1
199512,24.3
199601,21.3
199602,25.8
199603,33.6
199604,50.1
199605,62.4
199606,74.8
199607,76.6
199608,78.9
199609,69.1
199610,57.9
199611,33.2
199612,24.9
199701,20.4
199702,30.0
199703,38.2
199704,53.0
199705,60.8
199706,78.3
199707,78.2
199708,73.9
199709,70.0
199710,58.1
199711,36.7
199712,32.6
199801,26.8
199802,38.6
199803,39.6
199804,59.0
199805,74.1
199806,74.1
199807,81.1
199808,80.0
199809,76.0
199810,59.2
199811,44.9
199812,35.1
199901,20.7
199902,35.4
199903,42.9
199904,57.8
199905,69.5
199906,76.6
199907,83.4
199908,76.4
199909,70.0
199910,57.5
199911,50.6
199912,31.0
200001,24.8
200002,35.5
200003,49.4
200004,54.7
200005,68.8
200006,73.5
200007,78.1
200008,78.2
200009,69.4
200010,61.8
200011,39.0
200012,17.6
200101,28.2
200102,24.8
200103,37.7
200104,58.1
200105,68.3
200106,75.2
200107,82.1
200108,81.1
200109,68.0
200110,56.5
200111,52.7
200112,34.9
200201,32.2
200202,36.1
200203,34.7
200204,53.2
200205,62.4
200206,77.1
200207,84.0
200208,78.5
200209,72.7
200210,50.7
200211,39.8
200212,32.2
200301,22.5
200302,24.8
200303,39.9
200304,54.7
200305,65.9
200306,75.1
200307,80.0
200308,82.4
200309,70.9
200310,58.3
200311,40.6
200312,32.8
200401,19.2
200402,30.6
200403,42.4
200404,57.2
200405,64.6
200406,73.2
200407,77.7
200408,73.2
200409,75.2
200410,58.4
200411,45.0
200412,29.0
200501,22.6
200502,33.5
200503,38.7
200504,60.7
200505,63.4
200506,81.0
200507,82.7
200508,79.8
200509,75.5
200510,60.5
200511,43.4
200512,24.8
200601,34.4
200602,28.1
200603,41.2
200604,61.7
200605,67.3
200606,77.5
200607,85.4
200608,78.9
200609,67.0
200610,53.0
200611,44.4
200612,34.2
200701,28.3
200702,20.6
200703,45.0
200704,54.2
200705,71.9
200706,79.4
200707,81.6
200708,79.1
200709,72.8
200710,62.2
200711,40.9
200712,25.2
200801,23.2
200802,23.7
200803,36.1
200804,53.2
200805,64.8
200806,75.3
200807,80.6
200808,79.2
200809,71.4
200810,57.1
200811,41.3
200812,23.2
200901,16.9
200902,30.6
200903,40.8
200904,54.4
200905,67.2
200906,74.7
200907,74.8
200908,75.7
200909,73.7
200910,49.7
200911,49.1
200912,25.6
201001,22.9
201002,29.8
201003,49.4
201004,63.0
201005,69.8
201006,75.0
201007,81.5
201008,81.3
201009,67.3
201010,62.0
201011,43.5
201012,24.4
201101,20.1
201102,27.7
201103,38.0
201104,51.4
201105,64.7
201106,75.2
201107,84.1
201108,79.7
201109,67.8
201110,61.2
201111,44.8
201112,33.3
201201,29.8
201202,35.1
201203,56.1
201204,56.8
201205,72.2
201206,79.7
201207,87.2
201208,79.6
201209,71.3
201210,55.3
201211,43.3
201212,32.3
201301,26.0
201302,26.2
201303,33.7
201304,46.8
201305,67.0
201306,74.3
201307,79.8
201308,79.6
201309,73.0
201310,56.6
201311,39.0
201312,20.7
201401,16.2
201402,18.4
201403,32.3
201404,50.2
201405,66.7
201406,77.0
201407,76.6
201408,77.6
201409,69.4
201410,55.6
201411,32.8
201412,30.0
201501,22.9
201502,18.0
201503,42.3
201504,57.3
201505,68.3
201506,75.0
201507,79.7
201508,76.3
201509,75.2
201510,59.0
201511,48.2
201512,37.1
201601,23.7
201602,31.0
201603,46.0
201604,53.3
201605,68.8
201606,77.2
201607,80.6
201608,79.6
201609,72.1
201610,60.3
201611,51.2
201612,26.2
