#  Alaska Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,1.7
199402,-3.3
199403,1.0
199404,17.4
199405,31.7
199406,40.7
199407,46.0
199408,44.2
199409,32.8
199410,17.0
199411,-0.1
199412,-4.2
199501,-1.5
199502,0.6
199503,-3.0
199504,21.8
199505,33.9
199506,41.2
199507,45.9
199508,42.2
199509,39.2
199510,21.2
199511,2.8
199512,0.2
199601,-8.9
199602,-4.4
199603,8.1
199604,14.3
199605,30.7
199606,40.7
199607,45.3
199608,39.8
199609,30.0
199610,9.4
199611,5.6
199612,-5.8
199701,-7.2
199702,8.5
199703,-2.0
199704,17.9
199705,31.6
199706,42.6
199707,46.7
199708,45.1
199709,37.4
199710,13.4
199711,12.2
199712,-3.1
199801,-5.8
199802,3.2
199803,11.7
199804,22.9
199805,31.5
199806,41.7
199807,46.7
199808,41.2
199809,35.0
199810,20.8
199811,9.4
199812,-2.8
199901,-11.0
199902,-11.6
199903,-0.1
199904,15.0
199905,28.9
199906,42.0
199907,45.1
199908,43.4
199909,34.6
199910,17.2
199911,1.8
199912,-9.6
200001,-6.1
200002,9.5
200003,9.7
200004,15.4
200005,27.0
200006,41.6
200007,44.0
200008,40.5
200009,32.1
200010,18.4
200011,12.8
200012,8.7
200101,9.8
200102,7.0
200103,4.1
200104,17.0
200105,24.3
200106,41.1
200107,45.1
200108,43.0
200109,34.7
200110,15.9
200111,3.4
200112,-6.3
200201,3.0
200202,1.5
200203,5.9
200204,12.2
200205,31.7
200206,40.6
200207,44.8
200208,41.0
200209,36.1
200210,26.1
200211,19.0
200212,8.5
200301,3.3
200302,10.8
200303,1.9
200304,18.6
200305,30.0
200306,42.1
200307,45.0
200308,42.6
200309,31.0
200310,25.7
200311,8.6
200312,-2.0
200401,-7.5
200402,3.2
200403,1.3
200404,20.4
200405,34.8
200406,45.3
200407,48.4
200408,45.6
200409,29.9
200410,24.1
200411,11.1
200412,2.2
200501,-0.1
200502,0.4
200503,10.7
200504,14.3
200505,34.2
200506,42.8
200507,45.6
200508,44.2
200509,37.4
200510,21.6
200511,-0.8
200512,7.9
200601,-10.9
200602,4.3
200603,-1.5
200604,12.3
200605,31.0
200606,40.8
200607,45.2
200608,41.4
200609,36.9
200610,26.3
200611,-0.2
200612,1.8
200701,-1.1
200702,-1.6
200703,-9.8
200704,21.2
200705,30.5
200706,41.9
200707,47.0
200708,44.5
200709,37.2
200710,19.9
200711,14.4
200712,1.8
200801,-6.8
200802,-6.6
200803,4.8
200804,14.5
200805,30.7
200806,40.6
200807,43.6
200808,40.2
200809,34.3
200810,11.8
200811,3.3
200812,-0.6
200901,-7.2
200902,-3.8
200903,-1.0
200904,15.1
200905,30.8
200906,41.0
200907,46.5
200908,41.2
200909,34.3
200910,25.0
200911,1.0
200912,4.1
201001,-4.5
201002,3.6
201003,0.4
201004,18.3
201005,31.6
201006,41.3
201007,45.0
201008,44.4
201009,34.1
201010,21.4
201011,12.2
201012,-8.4
201101,0.2
201102,-2.7
201103,1.5
201104,14.1
201105,31.3
201106,42.2
201107,44.5
201108,41.8
201109,35.6
201110,22.9
201111,-3.1
201112,3.0
201201,-20.2
201202,4.7
201203,-5.0
201204,18.1
201205,28.9
201206,41.6
201207,44.6
201208,42.4
201209,34.4
201210,19.1
201211,-0.1
201212,-7.3
201301,3.9
201302,-0.8
201303,1.7
201304,7.0
201305,25.9
201306,43.5
201307,46.6
201308,43.7
201309,33.7
201310,28.8
201311,7.0
201312,0.7
201401,12.8
201402,-1.1
201403,4.0
201404,17.9
201405,32.5
201406,40.0
201407,44.7
201408,44.2
201409,34.8
201410,20.0
201411,14.3
201412,9.8
201501,0.8
201502,5.5
201503,7.0
201504,20.0
201505,35.3
201506,42.9
201507,46.2
201508,42.0
201509,32.8
201510,26.4
201511,11.2
201512,2.3
201601,11.4
201602,10.4
201603,10.8
201604,24.7
201605,35.2
201606,42.7
201607,47.9
201608,46.0
201609,34.9
201610,22.0
201611,7.6
201612,0.1
