#  Arkansas Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,28.0
199402,32.0
199403,39.4
199404,50.1
199405,55.1
199406,68.4
199407,68.0
199408,65.0
199409,57.9
199410,51.8
199411,44.8
199412,35.8
199501,31.8
199502,32.8
199503,42.6
199504,48.2
199505,58.6
199506,63.6
199507,69.1
199508,71.1
199509,58.6
199510,47.5
199511,35.2
199512,31.8
199601,27.1
199602,31.9
199603,34.3
199604,45.5
199605,62.3
199606,65.7
199607,69.2
199608,67.3
199609,58.9
199610,49.2
199611,38.1
199612,34.6
199701,28.8
199702,37.1
199703,42.4
199704,44.5
199705,53.7
199706,64.1
199707,70.1
199708,66.6
199709,60.9
199710,48.9
199711,38.1
199712,32.2
199801,36.2
199802,36.8
199803,39.9
199804,47.7
199805,61.2
199806,69.2
199807,72.8
199808,69.6
199809,66.5
199810,52.4
199811,43.9
199812,34.6
199901,32.4
199902,38.1
199903,38.4
199904,52.8
199905,56.5
199906,66.8
199907,71.2
199908,67.6
199909,58.1
199910,47.5
199911,42.2
199912,32.8
200001,31.7
200002,37.0
200003,43.6
200004,47.4
200005,60.8
200006,65.6
200007,69.0
200008,70.3
200009,60.2
200010,51.1
200011,37.7
200012,22.9
200101,27.5
200102,35.6
200103,37.8
200104,54.2
200105,58.4
200106,64.7
200107,71.6
200108,69.8
200109,59.3
200110,46.0
200111,43.1
200112,35.3
200201,31.6
200202,31.0
200203,36.7
200204,52.4
200205,56.7
200206,66.1
200207,70.7
200208,69.2
200209,63.6
200210,51.6
200211,37.2
200212,33.2
200301,26.2
200302,31.4
200303,39.5
200304,49.1
200305,59.5
200306,63.3
200307,69.7
200308,70.1
200309,59.1
200310,50.4
200311,44.5
200312,31.9
200401,31.0
200402,31.0
200403,44.7
200404,49.4
200405,61.0
200406,66.8
200407,68.2
200408,64.5
200409,60.1
200410,55.8
200411,45.9
200412,30.2
200501,36.2
200502,38.3
200503,38.8
200504,49.1
200505,55.0
200506,66.0
200507,69.4
200508,70.5
200509,64.7
200510,48.9
200511,41.8
200512,28.7
200601,35.8
200602,30.1
200603,41.8
200604,54.4
200605,59.0
200606,64.6
200607,69.2
200608,70.8
200609,56.9
200610,47.7
200611,39.9
200612,34.5
200701,31.1
200702,30.4
200703,47.4
200704,45.6
200705,60.0
200706,66.8
200707,68.1
200708,71.5
200709,63.4
200710,52.8
200711,41.3
200712,33.9
200801,28.6
200802,32.9
200803,40.1
200804,47.4
200805,57.0
200806,67.5
200807,69.1
200808,68.0
200809,61.3
200810,47.5
200811,37.5
200812,29.9
200901,27.8
200902,35.8
200903,42.1
200904,48.4
200905,58.2
200906,67.9
200907,67.5
200908,66.3
200909,62.6
200910,47.9
200911,42.8
200912,29.4
201001,27.6
201002,28.0
201003,38.7
201004,51.0
201005,60.4
201006,71.1
201007,72.2
201008,72.1
201009,62.5
201010,47.1
201011,40.3
201012,28.8
201101,27.5
201102,33.5
201103,41.7
201104,51.4
201105,56.8
201106,70.2
201107,73.0
201108,71.3
201109,57.1
201110,46.4
201111,43.8
201112,34.0
201201,33.4
201202,37.6
201203,50.4
201204,52.8
201205,61.2
201206,65.1
201207,72.4
201208,68.0
201209,62.5
201210,47.9
201211,37.0
201212,36.3
201301,32.6
201302,33.4
201303,35.7
201304,46.7
201305,56.7
201306,66.7
201307,66.9
201308,68.0
201309,62.8
201310,51.3
201311,37.0
201312,30.6
201401,23.0
201402,28.3
201403,34.2
201404,48.0
201405,57.7
201406,67.9
201407,65.4
201408,68.2
201409,62.0
201410,51.8
201411,34.3
201412,36.6
201501,28.0
201502,26.1
201503,40.3
201504,52.1
201505,59.4
201506,68.5
201507,72.3
201508,66.7
201509,62.8
201510,51.1
201511,44.8
201512,39.2
201601,29.6
201602,35.7
201603,44.2
201604,51.5
201605,56.7
201606,68.7
201607,72.0
201608,71.5
201609,64.2
201610,54.5
201611,43.6
201612,32.8
