#  California Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,34.4
199402,33.6
199403,40.5
199404,43.6
199405,48.7
199406,55.6
199407,61.4
199408,60.3
199409,55.4
199410,45.2
199411,32.9
199412,33.1
199501,38.3
199502,40.5
199503,39.2
199504,41.1
199505,47.0
199506,52.5
199507,59.6
199508,59.8
199509,56.5
199510,47.4
199511,43.2
199512,37.3
199601,36.0
199602,39.6
199603,39.4
199604,43.6
199605,49.2
199606,55.5
199607,63.2
199608,61.1
199609,54.0
199610,46.1
199611,40.8
199612,37.4
199701,36.1
199702,35.6
199703,40.4
199704,43.0
199705,53.3
199706,55.0
199707,59.2
199708,60.5
199709,57.2
199710,45.9
199711,41.7
199712,33.1
199801,36.8
199802,36.2
199803,38.6
199804,40.0
199805,44.4
199806,52.5
199807,61.2
199808,61.7
199809,56.1
199810,44.6
199811,38.7
199812,31.1
199901,34.6
199902,34.8
199903,36.3
199904,39.4
199905,46.7
199906,53.3
199907,58.5
199908,58.2
199909,55.8
199910,48.4
199911,41.4
199912,33.6
200001,36.6
200002,38.4
200003,38.6
200004,44.6
200005,50.4
200006,57.3
200007,58.5
200008,60.1
200009,54.6
200010,46.5
200011,34.8
200012,35.4
200101,32.0
200102,33.6
200103,40.9
200104,39.7
200105,53.3
200106,56.4
200107,59.7
200108,60.6
200109,56.4
200110,49.8
200111,41.4
200112,34.4
200201,32.1
200202,35.7
200203,36.0
200204,43.3
200205,47.4
200206,56.0
200207,62.2
200208,58.8
200209,55.8
200210,45.5
200211,40.6
200212,35.1
200301,39.8
200302,35.3
200303,39.7
200304,39.4
200305,48.6
200306,56.4
200307,63.5
200308,60.8
200309,57.7
200310,50.6
200311,36.9
200312,35.2
200401,34.0
200402,34.9
200403,43.5
200404,43.9
200405,49.2
200406,55.6
200407,61.2
200408,60.0
200409,54.2
200410,46.4
200411,37.4
200412,35.2
200501,35.8
200502,38.1
200503,40.0
200504,40.4
200505,49.5
200506,52.6
200507,63.2
200508,60.6
200509,52.0
200510,46.8
200511,40.8
200512,36.6
200601,35.0
200602,35.3
200603,34.4
200604,42.1
200605,50.7
200606,58.6
200607,64.4
200608,58.5
200609,54.2
200610,45.3
200611,40.3
200612,33.1
200701,29.5
200702,36.3
200703,40.9
200704,43.1
200705,49.5
200706,55.2
200707,62.0
200708,61.1
200709,53.6
200710,46.0
200711,41.0
200712,31.8
200801,32.6
200802,34.7
200803,37.5
200804,40.3
200805,48.3
200806,55.5
200807,61.7
200808,61.6
200809,56.3
200810,47.6
200811,42.9
200812,32.4
200901,35.5
200902,35.4
200903,37.0
200904,40.7
200905,52.7
200906,54.3
200907,62.2
200908,59.4
200909,57.6
200910,45.5
200911,38.6
200912,32.2
201001,36.6
201002,37.5
201003,37.2
201004,39.0
201005,44.0
201006,55.1
201007,61.2
201008,58.2
201009,54.9
201010,49.1
201011,37.6
201012,37.7
201101,34.6
201102,32.3
201103,38.6
201104,41.1
201105,44.8
201106,53.3
201107,60.0
201108,59.8
201109,57.3
201110,48.4
201111,37.5
201112,30.6
201201,34.4
201202,35.0
201203,37.3
201204,43.1
201205,49.2
201206,54.3
201207,59.7
201208,62.7
201209,57.8
201210,48.9
201211,41.4
201212,34.3
201301,31.0
201302,33.1
201303,41.0
201304,44.7
201305,50.1
201306,57.6
201307,63.4
201308,59.8
201309,55.6
201310,44.5
201311,40.2
201312,32.0
201401,37.2
201402,39.0
201403,41.6
201404,44.4
201405,50.5
201406,56.6
201407,64.0
201408,60.8
201409,58.3
201410,50.8
201411,42.0
201412,38.9
201501,37.9
201502,41.4
201503,43.7
201504,43.0
201505,48.4
201506,59.6
201507,61.4
201508,62.0
201509,58.0
201510,52.6
201511,36.3
201512,32.8
201601,36.1
201602,39.3
201603,41.3
201604,45.5
201605,49.6
201606,58.6
201607,61.6
201608,61.2
201609,54.8
201610,49.0
201611,41.8
201612,33.9
