#  Colorado Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,13.8
199402,13.1
199403,23.8
199404,30.1
199405,41.1
199406,50.1
199407,51.5
199408,53.2
199409,44.0
199410,33.1
199411,20.3
199412,17.1
199501,15.3
199502,20.9
199503,23.3
199504,27.1
199505,36.1
199506,44.6
199507,50.5
199508,53.6
199509,43.4
199510,30.3
199511,24.1
199512,16.6
199601,10.9
199602,16.7
199603,19.6
199604,29.1
199605,41.0
199606,48.3
199607,53.6
199608,51.3
199609,42.3
199610,31.5
199611,22.3
199612,14.9
199701,12.8
199702,14.9
199703,22.7
199704,25.5
199705,38.5
199706,48.0
199707,52.1
199708,51.8
199709,46.6
199710,31.7
199711,20.5
199712,13.8
199801,16.3
199802,18.6
199803,20.6
199804,27.6
199805,39.4
199806,44.1
199807,55.2
199808,51.8
199809,47.4
199810,34.0
199811,25.8
199812,13.4
199901,17.9
199902,18.9
199903,24.8
199904,27.7
199905,37.0
199906,45.7
199907,54.5
199908,52.4
199909,41.3
199910,31.1
199911,25.1
199912,15.2
200001,17.2
200002,21.1
200003,24.2
200004,31.0
200005,40.8
200006,47.3
200007,54.1
200008,53.9
200009,44.0
200010,34.2
200011,15.2
200012,13.2
200101,11.8
200102,16.6
200103,24.2
200104,32.1
200105,39.9
200106,47.8
200107,55.4
200108,52.1
200109,44.4
200110,32.7
200111,24.4
200112,13.7
200201,12.3
200202,12.2
200203,17.0
200204,32.1
200205,37.6
200206,50.4
200207,55.0
200208,51.2
200209,44.7
200210,30.1
200211,21.2
200212,15.4
200301,18.7
200302,14.5
200303,23.9
200304,31.4
200305,39.7
200306,45.7
200307,55.6
200308,53.5
200309,41.2
200310,35.6
200311,21.3
200312,15.7
200401,13.0
200402,13.7
200403,27.0
200404,31.4
200405,39.8
200406,46.0
200407,51.4
200408,48.6
200409,43.3
200410,34.0
200411,22.7
200412,16.0
200501,19.0
200502,19.0
200503,22.0
200504,29.4
200505,38.8
200506,46.0
200507,53.3
200508,50.7
200509,45.0
200510,34.6
200511,24.1
200512,13.4
200601,16.4
200602,13.4
200603,21.7
200604,31.3
200605,39.9
200606,49.4
200607,55.5
200608,52.2
200609,39.6
200610,32.2
200611,22.9
200612,15.3
200701,6.9
200702,16.3
200703,26.8
200704,30.1
200705,39.5
200706,47.2
200707,54.6
200708,54.4
200709,44.9
200710,33.3
200711,23.0
200712,11.1
200801,8.4
200802,15.0
200803,20.1
200804,25.9
200805,36.3
200806,45.5
200807,53.5
200808,51.9
200809,42.5
200810,32.9
200811,25.2
200812,13.2
200901,15.5
200902,18.6
200903,22.7
200904,28.7
200905,41.1
200906,46.3
200907,52.0
200908,49.4
200909,43.3
200910,28.5
200911,24.1
200912,8.5
201001,13.2
201002,12.9
201003,22.0
201004,30.1
201005,36.1
201006,48.8
201007,53.9
201008,52.0
201009,44.4
201010,34.8
201011,20.1
201012,19.3
201101,10.9
201102,10.6
201103,24.1
201104,29.2
201105,35.8
201106,46.9
201107,55.2
201108,53.9
201109,44.0
201110,32.8
201111,21.3
201112,11.9
201201,15.8
201202,15.4
201203,26.6
201204,33.6
201205,39.8
201206,51.0
201207,55.6
201208,52.3
201209,44.2
201210,32.0
201211,24.5
201212,13.5
201301,9.1
201302,12.6
201303,21.0
201304,26.0
201305,38.4
201306,48.9
201307,54.2
201308,52.9
201309,47.7
201310,30.9
201311,22.5
201312,10.8
201401,13.1
201402,15.8
201403,22.1
201404,29.6
201405,38.5
201406,47.0
201407,54.2
201408,50.9
201409,45.7
201410,35.6
201411,20.1
201412,16.4
201501,17.3
201502,19.4
201503,26.3
201504,31.1
201505,38.4
201506,50.6
201507,52.9
201508,52.0
201509,47.2
201510,38.2
201511,21.7
201512,14.2
201601,13.2
201602,19.0
201603,23.9
201604,30.6
201605,37.5
201606,50.5
201607,54.0
201608,50.4
201609,44.7
201610,36.2
201611,26.4
201612,12.8
