#  Georgia Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,31.5
199402,39.9
199403,44.3
199404,51.7
199405,56.4
199406,67.7
199407,68.8
199408,67.2
199409,61.8
199410,53.8
199411,47.6
199412,41.0
199501,35.4
199502,36.6
199503,47.1
199504,50.4
199505,60.2
199506,64.8
199507,69.8
199508,70.8
199509,63.0
199510,54.1
199511,38.5
199512,34.2
199601,32.6
199602,36.5
199603,39.5
199604,47.2
199605,60.4
199606,65.3
199607,69.8
199608,67.9
199609,62.4
199610,51.1
199611,41.0
199612,37.1
199701,37.5
199702,41.4
199703,49.8
199704,47.0
199705,54.7
199706,64.2
199707,69.7
199708,66.6
199709,63.0
199710,52.9
199711,40.4
199712,37.1
199801,39.2
199802,39.8
199803,42.4
199804,50.8
199805,62.2
199806,68.3
199807,71.7
199808,68.3
199809,65.9
199810,54.1
199811,48.1
199812,42.7
199901,37.3
199902,39.6
199903,39.6
199904,54.4
199905,56.8
199906,66.2
199907,70.3
199908,70.1
199909,60.8
199910,53.1
199911,44.4
199912,35.3
200001,35.2
200002,37.4
200003,46.0
200004,47.2
200005,60.9
200006,65.4
200007,68.8
200008,68.2
200009,63.1
200010,49.5
200011,41.8
200012,30.0
200101,31.0
200102,41.6
200103,42.7
200104,51.2
200105,57.5
200106,66.1
200107,69.2
200108,69.1
200109,61.2
200110,47.6
200111,45.8
200112,40.9
200201,36.1
200202,35.2
200203,43.0
200204,56.0
200205,57.4
200206,66.3
200207,69.9
200208,68.3
200209,67.7
200210,59.6
200211,40.8
200212,34.7
200301,30.6
200302,37.7
200303,48.7
200304,50.8
200305,61.3
200306,65.9
200307,69.5
200308,70.0
200309,62.2
200310,52.6
200311,46.5
200312,31.6
200401,32.5
200402,36.5
200403,45.4
200404,47.7
200405,61.5
200406,68.1
200407,69.6
200408,67.6
200409,64.9
200410,58.0
200411,47.1
200412,34.8
200501,38.1
200502,40.3
200503,42.0
200504,47.7
200505,55.7
200506,67.3
200507,71.6
200508,71.3
200509,65.6
200510,54.9
200511,44.0
200512,33.0
200601,39.8
200602,36.0
200603,43.0
200604,53.3
200605,58.0
200606,64.7
200607,69.2
200608,71.0
200609,62.3
200610,49.6
200611,41.6
200612,39.6
200701,38.9
200702,34.0
200703,45.9
200704,47.0
200705,56.4
200706,65.8
200707,68.5
200708,71.7
200709,64.9
200710,56.8
200711,40.0
200712,41.4
200801,34.2
200802,37.1
200803,41.6
200804,50.3
200805,57.8
200806,66.9
200807,68.6
200808,69.3
200809,64.3
200810,50.6
200811,38.8
200812,40.7
200901,34.8
200902,34.0
200903,44.6
200904,49.4
200905,61.8
200906,68.5
200907,67.6
200908,68.8
200909,65.5
200910,54.1
200911,44.0
200912,36.4
201001,30.8
201002,31.8
201003,40.5
201004,49.9
201005,62.4
201006,69.9
201007,71.3
201008,72.6
201009,63.6
201010,50.2
201011,41.3
201012,28.3
201101,30.8
201102,39.1
201103,45.6
201104,51.9
201105,57.4
201106,68.0
201107,71.2
201108,70.0
201109,62.4
201110,48.7
201111,43.4
201112,39.7
201201,37.5
201202,41.3
201203,52.8
201204,52.6
201205,61.7
201206,64.3
201207,71.1
201208,68.6
201209,63.0
201210,53.3
201211,39.4
201212,41.4
201301,41.5
201302,37.5
201303,38.0
201304,50.6
201305,57.0
201306,68.2
201307,69.9
201308,69.2
201309,64.4
201310,53.6
201311,41.6
201312,40.7
201401,28.3
201402,38.1
201403,40.4
201404,50.6
201405,59.0
201406,67.6
201407,68.4
201408,68.0
201409,66.3
201410,52.4
201411,36.6
201412,40.3
201501,34.1
201502,31.9
201503,47.5
201504,56.4
201505,59.9
201506,68.2
201507,70.8
201508,69.4
201509,64.7
201510,54.2
201511,49.8
201512,48.8
201601,33.8
201602,38.2
201603,48.5
201604,51.4
201605,58.6
201606,67.9
201607,71.3
201608,71.2
201609,66.0
201610,54.3
201611,43.6
201612,41.6
