#  Indiana Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,12.4
199402,18.7
199403,29.2
199404,41.0
199405,45.8
199406,61.1
199407,62.9
199408,58.1
199409,52.6
199410,42.9
199411,37.1
199412,29.9
199501,21.0
199502,19.8
199503,32.4
199504,38.8
199505,49.8
199506,60.5
199507,64.6
199508,67.7
199509,50.5
199510,43.3
199511,27.0
199512,18.3
199601,16.7
199602,21.6
199603,23.7
199604,36.3
199605,50.9
199606,60.7
199607,60.4
199608,61.7
199609,52.8
199610,42.7
199611,28.3
199612,25.8
199701,14.6
199702,27.0
199703,32.2
199704,34.6
199705,45.0
199706,60.0
199707,62.7
199708,59.6
199709,52.7
199710,41.8
199711,31.1
199712,26.9
199801,28.8
199802,31.5
199803,32.9
199804,41.6
199805,55.5
199806,61.1
199807,63.5
199808,63.3
199809,56.6
199810,44.2
199811,34.8
199812,27.5
199901,18.0
199902,27.5
199903,26.3
199904,43.2
199905,51.4
199906,61.7
199907,67.0
199908,58.9
199909,49.7
199910,40.9
199911,35.9
199912,24.6
200001,17.6
200002,27.6
200003,33.8
200004,38.4
200005,53.3
200006,60.0
200007,61.6
200008,61.4
200009,52.6
200010,45.2
200011,31.9
200012,10.8
200101,19.3
200102,25.0
200103,27.6
200104,44.5
200105,52.3
200106,58.6
200107,62.7
200108,63.2
200109,51.7
200110,42.9
200111,37.2
200112,29.2
200201,25.5
200202,25.6
200203,28.6
200204,42.6
200205,47.3
200206,61.8
200207,65.7
200208,64.0
200209,56.2
200210,42.6
200211,31.7
200212,24.3
200301,13.5
200302,17.9
200303,30.7
200304,41.3
200305,50.3
200306,56.2
200307,62.5
200308,63.2
200309,52.0
200310,41.0
200311,36.9
200312,26.4
200401,16.6
200402,21.1
200403,34.6
200404,41.7
200405,55.6
200406,59.0
200407,62.2
200408,58.1
200409,54.4
200410,43.9
200411,37.9
200412,22.3
200501,22.6
200502,26.9
200503,27.7
200504,41.9
200505,46.7
200506,62.4
200507,64.2
200508,64.4
200509,56.9
200510,44.7
200511,33.9
200512,20.0
200601,31.3
200602,22.4
200603,31.2
200604,43.2
200605,49.4
200606,58.7
200607,65.3
200608,63.6
200609,52.2
200610,40.6
200611,35.3
200612,28.7
200701,25.2
200702,11.7
200703,36.1
200704,38.4
200705,53.3
200706,60.2
200707,60.2
200708,65.1
200709,55.8
200710,49.1
200711,32.2
200712,25.7
200801,18.6
200802,20.5
200803,29.7
200804,40.9
200805,46.9
200806,61.4
200807,62.6
200808,59.6
200809,55.3
200810,41.6
200811,31.3
200812,19.8
200901,13.0
200902,22.4
200903,33.0
200904,40.8
200905,50.8
200906,61.2
200907,59.4
200908,60.2
200909,55.0
200910,41.4
200911,36.7
200912,23.4
201001,17.5
201002,18.5
201003,33.2
201004,44.5
201005,53.8
201006,63.9
201007,65.9
201008,64.1
201009,54.0
201010,41.9
201011,31.0
201012,17.2
201101,16.4
201102,22.9
201103,32.5
201104,42.2
201105,52.0
201106,61.7
201107,68.0
201108,61.2
201109,53.7
201110,41.7
201111,38.1
201112,29.1
201201,23.7
201202,26.9
201203,43.3
201204,40.5
201205,55.0
201206,58.2
201207,67.6
201208,59.0
201209,52.8
201210,42.0
201211,29.2
201212,31.0
201301,21.2
201302,22.4
201303,26.8
201304,39.4
201305,53.4
201306,60.5
201307,62.6
201308,60.4
201309,54.5
201310,43.3
201311,30.1
201312,21.1
201401,9.6
201402,12.8
201403,23.0
201404,40.4
201405,51.7
201406,62.5
201407,58.2
201408,62.4
201409,52.2
201410,43.6
201411,26.9
201412,28.5
201501,17.1
201502,9.4
201503,27.0
201504,41.1
201505,53.6
201506,61.6
201507,63.1
201508,59.6
201509,56.6
201510,44.4
201511,36.2
201512,35.2
201601,19.3
201602,25.1
201603,37.5
201604,40.1
201605,49.7
201606,61.3
201607,64.8
201608,66.4
201609,58.6
201610,48.6
201611,36.4
201612,22.4
