#  Iowa Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,1.4
199402,7.5
199403,26.4
199404,36.3
199405,47.7
199406,60.3
199407,59.8
199408,57.4
199409,52.8
199410,42.8
199411,30.2
199412,19.3
199501,11.0
199502,15.8
199503,27.5
199504,34.2
199505,46.3
199506,59.7
199507,62.7
199508,66.2
199509,48.4
199510,39.4
199511,20.7
199512,16.5
199601,6.2
199602,13.7
199603,18.4
199604,33.0
199605,47.3
199606,59.4
199607,59.8
199608,59.4
199609,49.9
199610,39.6
199611,21.7
199612,12.2
199701,5.2
199702,17.5
199703,26.4
199704,33.1
199705,42.3
199706,58.7
199707,63.0
199708,59.1
199709,52.6
199710,40.4
199711,25.6
199712,21.6
199801,16.8
199802,28.5
199803,25.6
199804,39.6
199805,53.8
199806,57.4
199807,63.7
199808,63.4
199809,55.7
199810,42.7
199811,31.9
199812,19.2
199901,9.1
199902,24.7
199903,25.6
199904,40.3
199905,50.1
199906,59.0
199907,66.3
199908,59.3
199909,48.1
199910,36.8
199911,31.4
199912,17.0
200001,11.8
200002,23.0
200003,31.5
200004,36.6
200005,50.7
200006,56.7
200007,62.6
200008,62.5
200009,51.3
200010,43.4
200011,24.0
200012,1.4
200101,12.5
200102,9.2
200103,22.0
200104,40.3
200105,50.8
200106,57.7
200107,64.7
200108,61.5
200109,50.1
200110,38.7
200111,36.9
200112,21.8
200201,18.4
200202,19.9
200203,20.5
200204,37.4
200205,44.6
200206,61.4
200207,65.6
200208,60.1
200209,52.8
200210,36.4
200211,24.8
200212,18.7
200301,9.4
200302,9.6
200303,24.1
200304,38.5
200305,46.6
200306,56.1
200307,62.2
200308,61.9
200309,48.1
200310,38.9
200311,27.1
200312,20.6
200401,8.7
200402,14.5
200403,31.6
200404,37.7
200405,49.4
200406,56.5
200407,60.5
200408,55.4
200409,53.7
200410,41.2
200411,31.5
200412,17.0
200501,11.6
200502,22.8
200503,25.0
200504,41.4
200505,46.2
200506,61.9
200507,63.5
200508,60.0
200509,55.0
200510,40.3
200511,28.9
200512,12.7
200601,24.9
200602,14.1
200603,27.2
200604,41.6
200605,49.5
200606,58.3
200607,64.6
200608,62.3
200609,49.3
200610,37.2
200611,28.7
200612,22.1
200701,12.8
200702,7.7
200703,32.3
200704,35.6
200705,53.2
200706,59.2
200707,62.2
200708,64.4
200709,52.1
200710,45.7
200711,26.6
200712,13.0
200801,7.8
200802,8.2
200803,23.3
200804,35.8
200805,45.4
200806,58.6
200807,62.7
200808,58.4
200809,52.6
200810,39.4
200811,28.4
200812,7.6
200901,3.2
200902,16.5
200903,26.6
200904,35.5
200905,48.3
200906,58.6
200907,57.6
200908,58.0
200909,51.6
200910,36.7
200911,33.7
200912,12.2
201001,6.9
201002,8.5
201003,29.1
201004,42.7
201005,48.6
201006,60.6
201007,65.0
201008,64.0
201009,52.0
201010,39.7
201011,27.9
201012,11.2
201101,6.6
201102,14.0
201103,25.6
201104,37.2
201105,47.8
201106,59.9
201107,68.2
201108,60.9
201109,48.6
201110,39.8
201111,28.8
201112,20.4
201201,16.7
201202,20.8
201203,40.2
201204,40.3
201205,52.5
201206,59.8
201207,67.1
201208,57.6
201209,47.3
201210,37.0
201211,28.1
201212,18.7
201301,12.2
201302,15.8
201303,20.8
201304,33.1
201305,48.5
201306,59.4
201307,61.2
201308,60.4
201309,54.5
201310,39.3
201311,23.9
201312,8.1
201401,2.8
201402,3.2
201403,19.3
201404,35.2
201405,48.4
201406,60.2
201407,58.5
201408,62.0
201409,50.9
201410,39.9
201411,19.7
201412,22.3
201501,12.5
201502,4.7
201503,24.6
201504,38.7
201505,49.8
201506,59.4
201507,62.0
201508,58.6
201509,57.5
201510,41.7
201511,32.8
201512,26.6
201601,12.4
201602,21.1
201603,32.0
201604,39.3
201605,48.1
201606,61.2
201607,63.1
201608,62.2
201609,56.8
201610,44.2
201611,34.2
201612,15.3
