#  Maine Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,-7.1
199402,0.0
199403,18.5
199404,28.6
199405,37.8
199406,51.7
199407,58.0
199408,51.5
199409,44.5
199410,35.1
199411,27.0
199412,15.2
199501,12.3
199502,1.8
199503,19.4
199504,25.6
199505,38.6
199506,49.6
199507,57.0
199508,52.2
199509,39.3
199510,38.7
199511,23.2
199512,8.7
199601,3.3
199602,7.6
199603,15.3
199604,30.2
199605,37.2
199606,50.3
199607,54.9
199608,52.6
199609,46.3
199610,33.9
199611,23.0
199612,21.8
199701,4.2
199702,7.1
199703,12.6
199704,26.7
199705,36.6
199706,47.7
199707,53.8
199708,51.8
199709,45.2
199710,33.6
199711,23.9
199712,11.8
199801,9.7
199802,14.1
199803,19.8
199804,30.5
199805,44.1
199806,50.4
199807,54.9
199808,52.6
199809,46.3
199810,37.1
199811,27.5
199812,17.1
199901,2.9
199902,10.3
199903,22.7
199904,30.3
199905,42.2
199906,52.3
199907,56.6
199908,52.5
199909,50.9
199910,32.3
199911,29.2
199912,17.9
200001,4.6
200002,6.8
200003,22.5
200004,30.0
200005,38.5
200006,47.9
200007,52.3
200008,52.7
200009,43.4
200010,34.4
200011,29.7
200012,9.1
200101,3.0
200102,4.8
200103,14.1
200104,27.0
200105,40.4
200106,51.8
200107,53.3
200108,54.4
200109,45.9
200110,36.0
200111,29.9
200112,21.2
200201,12.9
200202,10.2
200203,17.3
200204,30.8
200205,37.1
200206,47.0
200207,54.5
200208,54.1
200209,47.2
200210,32.5
200211,23.6
200212,12.4
200301,-0.1
200302,1.8
200303,12.7
200304,24.6
200305,38.7
200306,49.3
200307,55.5
200308,56.4
200309,47.0
200310,35.4
200311,27.1
200312,14.3
200401,-2.0
200402,7.1
200403,18.9
200404,29.1
200405,40.3
200406,46.0
200407,54.7
200408,54.5
200409,44.4
200410,35.3
200411,25.2
200412,9.9
200501,1.0
200502,8.5
200503,14.6
200504,30.5
200505,38.4
200506,51.5
200507,54.9
200508,54.1
200509,47.6
200510,39.7
200511,27.3
200512,13.6
200601,14.0
200602,10.5
200603,19.7
200604,31.0
200605,42.6
200606,53.8
200607,58.3
200608,50.8
200609,45.1
200610,35.9
200611,31.8
200612,20.1
200701,7.9
200702,1.0
200703,15.2
200704,27.5
200705,38.8
200706,49.3
200707,53.7
200708,51.6
200709,45.4
200710,39.9
200711,24.2
200712,9.7
200801,9.0
200802,8.6
200803,12.2
200804,30.0
200805,37.8
200806,51.5
200807,57.1
200808,53.6
200809,45.6
200810,34.7
200811,27.9
200812,10.3
200901,-3.2
200902,8.4
200903,14.8
200904,30.8
200905,39.2
200906,49.1
200907,54.3
200908,55.4
200909,42.5
200910,33.7
200911,29.7
200912,14.7
201001,12.4
201002,18.5
201003,24.7
201004,34.0
201005,41.7
201006,50.1
201007,58.9
201008,53.4
201009,49.2
201010,36.5
201011,26.7
201012,16.3
201101,7.2
201102,5.5
201103,16.6
201104,28.9
201105,42.6
201106,49.5
201107,56.0
201108,55.0
201109,48.6
201110,39.7
201111,29.0
201112,17.0
201201,8.9
201202,11.3
201203,23.5
201204,31.1
201205,43.4
201206,49.8
201207,56.0
201208,56.6
201209,44.5
201210,39.3
201211,24.5
201212,16.6
201301,5.7
201302,11.3
201303,22.5
201304,28.2
201305,40.2
201306,50.3
201307,57.7
201308,52.7
201309,46.6
201310,37.0
201311,24.0
201312,9.3
201401,4.9
201402,4.9
201403,6.4
201404,28.0
201405,41.1
201406,50.0
201407,56.6
201408,53.5
201409,44.8
201410,40.1
201411,24.2
201412,19.4
201501,0.7
201502,-5.8
201503,10.2
201504,27.2
201505,42.8
201506,47.4
201507,54.0
201508,56.8
201509,49.9
201510,33.1
201511,28.7
201512,24.9
201601,11.4
201602,11.4
201603,19.8
201604,25.6
201605,41.1
201606,48.9
201607,56.2
201608,55.2
201609,47.8
201610,37.4
201611,30.0
201612,11.6
