#  Missouri Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,18.0
199402,21.9
199403,33.0
199404,43.2
199405,50.2
199406,64.5
199407,64.1
199408,61.6
199409,54.0
199410,46.5
199411,38.4
199412,29.5
199501,20.8
199502,24.8
199503,34.3
199504,41.4
199505,51.5
199506,61.4
199507,66.2
199508,68.7
199509,53.3
199510,43.7
199511,28.6
199512,24.4
199601,17.6
199602,23.3
199603,26.4
199604,39.6
199605,55.6
199606,62.4
199607,64.4
199608,64.2
199609,53.6
199610,44.4
199611,30.3
199612,24.2
199701,16.0
199702,29.5
199703,34.3
199704,38.6
199705,47.3
199706,61.5
199707,66.3
199708,63.1
199709,57.0
199710,45.6
199711,33.1
199712,27.4
199801,27.7
199802,33.1
199803,32.8
199804,43.1
199805,58.1
199806,63.2
199807,68.8
199808,66.3
199809,62.0
199810,47.0
199811,38.3
199812,26.5
199901,22.1
199902,32.6
199903,31.4
199904,47.0
199905,52.4
199906,62.7
199907,69.0
199908,63.0
199909,52.6
199910,42.6
199911,38.6
199912,26.8
200001,23.0
200002,31.5
200003,36.7
200004,41.4
200005,56.0
200006,61.0
200007,66.4
200008,68.2
200009,55.3
200010,48.4
200011,30.4
200012,12.1
200101,20.3
200102,24.2
200103,29.2
200104,48.8
200105,54.9
200106,61.2
200107,68.9
200108,65.8
200109,54.4
200110,43.7
200111,39.7
200112,28.7
200201,24.3
200202,26.5
200203,28.7
200204,45.6
200205,50.1
200206,64.0
200207,68.1
200208,65.9
200209,58.2
200210,42.9
200211,31.4
200212,25.5
200301,17.6
200302,21.8
200303,32.7
200304,44.9
200305,52.4
200306,58.4
200307,66.8
200308,66.8
200309,53.0
200310,44.8
200311,36.8
200312,27.7
200401,20.4
200402,22.8
200403,37.8
200404,44.7
200405,56.6
200406,60.6
200407,64.6
200408,59.9
200409,55.7
200410,47.8
200411,39.4
200412,24.5
200501,25.4
200502,30.7
200503,31.7
200504,45.4
200505,50.3
200506,63.6
200507,66.2
200508,67.1
200509,60.4
200510,44.9
200511,35.7
200512,22.3
200601,31.0
200602,22.3
200603,34.7
200604,47.9
200605,53.9
200606,61.9
200607,67.5
200608,67.3
200609,53.1
200610,42.2
200611,35.8
200612,28.5
200701,22.7
200702,19.8
200703,41.5
200704,40.7
200705,57.6
200706,63.1
200707,65.1
200708,69.4
200709,58.7
200710,48.4
200711,33.5
200712,24.6
200801,20.0
200802,22.2
200803,31.6
200804,41.3
200805,51.1
200806,63.4
200807,66.4
200808,63.3
200809,56.8
200810,43.8
200811,33.6
200812,20.2
200901,17.3
200902,26.9
200903,35.2
200904,42.7
200905,53.3
200906,64.2
200907,62.6
200908,61.9
200909,56.5
200910,41.8
200911,39.7
200912,22.4
201001,17.8
201002,19.7
201003,34.8
201004,48.1
201005,54.2
201006,66.9
201007,69.3
201008,67.2
201009,57.7
201010,44.1
201011,34.7
201012,21.2
201101,17.2
201102,23.3
201103,35.2
201104,45.2
201105,52.4
201106,65.2
201107,71.8
201108,66.4
201109,52.8
201110,43.6
201111,37.8
201112,28.2
201201,25.0
201202,30.1
201203,46.3
201204,46.9
201205,57.2
201206,61.9
201207,70.3
201208,62.4
201209,55.4
201210,43.0
201211,32.8
201212,29.2
201301,23.6
201302,24.9
201303,29.0
201304,40.7
201305,52.6
201306,62.8
201307,64.1
201308,64.3
201309,58.6
201310,44.4
201311,31.3
201312,20.3
201401,13.8
201402,16.2
201403,26.3
201404,42.9
201405,54.1
201406,64.6
201407,61.6
201408,65.9
201409,55.8
201410,46.3
201411,27.6
201412,30.2
201501,20.7
201502,15.7
201503,32.8
201504,46.2
201505,54.8
201506,65.2
201507,68.2
201508,62.8
201509,60.3
201510,45.8
201511,38.5
201512,33.2
201601,21.7
201602,28.5
201603,39.1
201604,45.5
201605,51.7
201606,65.7
201607,68.4
201608,67.2
201609,60.6
201610,50.6
201611,39.3
201612,22.9
