#  New York Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,0.1
199402,6.4
199403,20.1
199404,33.4
199405,40.6
199406,54.5
199407,60.1
199408,54.3
199409,48.6
199410,36.8
199411,32.0
199412,21.6
199501,20.1
199502,8.4
199503,24.8
199504,29.1
199505,42.7
199506,53.6
199507,59.9
199508,56.6
199509,45.1
199510,41.6
199511,25.8
199512,14.0
199601,9.1
199602,13.2
199603,17.3
199604,31.6
199605,41.7
199606,55.2
199607,56.4
199608,56.4
199609,51.1
199610,37.5
199611,25.2
199612,25.9
199701,10.6
199702,17.6
199703,20.6
199704,29.8
199705,39.2
199706,53.1
199707,55.4
199708,54.2
199709,47.6
199710,36.0
199711,27.4
199712,20.9
199801,20.1
199802,21.5
199803,25.8
199804,34.3
199805,48.8
199806,54.0
199807,57.2
199808,57.2
199809,50.0
199810,40.0
199811,31.2
199812,23.7
199901,11.2
199902,17.3
199903,20.8
199904,32.4
199905,44.7
199906,54.4
199907,59.8
199908,54.8
199909,51.2
199910,35.9
199911,33.3
199912,20.6
200001,9.5
200002,16.5
200003,27.5
200004,33.0
200005,45.8
200006,53.4
200007,54.6
200008,55.5
200009,47.7
200010,38.3
200011,29.0
200012,11.0
200101,14.5
200102,15.8
200103,19.7
200104,32.7
200105,45.0
200106,53.7
200107,54.7
200108,58.3
200109,48.0
200110,39.3
200111,33.6
200112,25.8
200201,21.6
200202,18.6
200203,23.4
200204,35.4
200205,40.3
200206,53.2
200207,58.6
200208,57.0
200209,51.3
200210,37.4
200211,29.1
200212,17.0
200301,6.0
200302,8.9
200303,20.0
200304,30.5
200305,43.4
200306,52.5
200307,57.6
200308,59.0
200309,50.4
200310,36.3
200311,31.9
200312,19.4
200401,4.4
200402,11.0
200403,25.6
200404,33.8
200405,47.0
200406,50.8
200407,57.9
200408,56.3
200409,51.6
200410,38.9
200411,30.0
200412,17.4
200501,9.8
200502,13.8
200503,17.8
200504,33.3
200505,39.6
200506,57.7
200507,60.4
200508,59.2
200509,51.8
200510,41.8
200511,30.7
200512,16.8
200601,21.4
200602,16.1
200603,22.2
200604,33.6
200605,44.7
200606,54.8
200607,60.8
200608,56.2
200609,49.0
200610,37.3
200611,34.4
200612,26.9
200701,17.0
200702,7.6
200703,19.3
200704,31.9
200705,42.6
200706,53.2
200707,55.8
200708,56.5
200709,50.0
200710,44.8
200711,27.7
200712,19.0
200801,17.7
200802,14.8
200803,19.6
200804,35.5
200805,39.6
200806,56.2
200807,58.7
200808,54.2
200809,50.1
200810,35.7
200811,29.0
200812,18.0
200901,5.8
200902,15.0
200903,22.4
200904,34.1
200905,43.4
200906,52.0
200907,55.4
200908,57.9
200909,47.5
200910,37.6
200911,32.6
200912,18.0
201001,14.3
201002,17.7
201003,28.6
201004,36.4
201005,46.2
201006,54.8
201007,60.4
201008,58.0
201009,50.9
201010,39.1
201011,29.2
201012,16.9
201101,10.6
201102,11.3
201103,21.7
201104,35.1
201105,48.1
201106,54.6
201107,59.7
201108,57.3
201109,53.6
201110,40.6
201111,33.3
201112,23.9
201201,17.4
201202,21.8
201203,32.0
201204,32.7
201205,49.0
201206,53.7
201207,59.5
201208,57.0
201209,49.0
201210,42.3
201211,27.6
201212,24.9
201301,15.6
201302,15.6
201303,22.7
201304,32.4
201305,45.0
201306,53.9
201307,61.4
201308,55.1
201309,47.1
201310,40.6
201311,25.8
201312,17.5
201401,7.4
201402,9.5
201403,12.9
201404,31.7
201405,45.5
201406,53.8
201407,57.0
201408,54.8
201409,49.1
201410,42.5
201411,27.7
201412,24.4
201501,5.9
201502,-1.8
201503,15.2
201504,32.1
201505,47.8
201506,52.9
201507,57.2
201508,56.6
201509,53.5
201510,37.4
201511,33.0
201512,32.0
201601,15.4
201602,17.0
201603,26.8
201604,29.5
201605,44.0
201606,51.8
201607,58.9
201608,60.2
201609,50.9
201610,41.0
201611,31.2
201612,20.4
