#  North Dakota Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
199401,-10.7
199402,-7.2
199403,21.3
199404,28.8
199405,43.1
199406,52.6
199407,53.1
199408,51.9
199409,46.1
199410,36.8
199411,20.2
199412,8.5
199501,1.5
199502,6.9
199503,16.3
199504,26.5
199505,39.9
199506,54.3
199507,55.8
199508,56.0
199509,41.9
199510,32.5
199511,13.3
199512,3.4
199601,-9.4
199602,4.8
199603,7.5
199604,25.7
199605,39.1
199606,52.7
199607,54.4
199608,54.4
199609,44.3
199610,30.6
199611,6.9
199612,-3.3
199701,-8.0
199702,7.0
199703,12.4
199704,25.4
199705,38.2
199706,53.8
199707,57.4
199708,53.6
199709,46.1
199710,32.8
199711,17.1
199712,16.8
199801,1.8
199802,21.2
199803,13.4
199804,33.8
199805,43.6
199806,49.4
199807,57.3
199808,57.4
199809,47.7
199810,35.0
199811,22.1
199812,8.4
199901,-2.2
199902,14.0
199903,21.5
199904,31.5
199905,43.3
199906,51.2
199907,56.7
199908,54.5
199909,41.8
199910,30.6
199911,24.7
199912,13.8
200001,2.1
200002,11.3
200003,23.8
200004,28.7
200005,42.1
200006,48.5
200007,57.5
200008,55.0
200009,43.6
200010,33.9
200011,14.1
200012,-6.4
200101,7.5
200102,-4.9
200103,17.5
200104,31.1
200105,42.8
200106,51.4
200107,58.4
200108,55.7
200109,45.2
200110,30.3
200111,25.6
200112,8.8
200201,7.7
200202,13.0
200203,5.9
200204,26.5
200205,34.6
200206,53.1
200207,59.1
200208,53.4
200209,45.6
200210,25.6
200211,19.8
200212,11.9
200301,1.0
200302,-2.1
200303,11.6
200304,32.0
200305,41.4
200306,50.8
200307,56.6
200308,57.9
200309,43.3
200310,34.0
200311,10.3
200312,11.5
200401,-5.4
200402,6.4
200403,20.3
200404,29.4
200405,37.6
200406,46.9
200407,54.4
200408,48.8
200409,46.3
200410,32.9
200411,21.9
200412,10.0
200501,-4.1
200502,9.5
200503,18.3
200504,33.4
200505,39.8
200506,54.5
200507,57.2
200508,52.6
200509,45.4
200510,33.6
200511,23.2
200512,10.5
200601,18.7
200602,4.8
200603,18.6
200604,35.0
200605,42.5
200606,52.5
200607,58.2
200608,54.8
200609,43.0
200610,28.6
200611,17.2
200612,10.9
200701,3.1
200702,-1.4
200703,21.8
200704,28.3
200705,43.5
200706,53.5
200707,59.7
200708,52.8
200709,44.0
200710,34.9
200711,18.7
200712,2.4
200801,-1.6
200802,-1.2
200803,15.0
200804,26.1
200805,37.7
200806,48.8
200807,55.4
200808,54.8
200809,43.5
200810,32.5
200811,21.0
200812,-4.6
200901,-5.2
200902,2.3
200903,10.5
200904,29.2
200905,38.0
200906,48.5
200907,52.3
200908,52.0
200909,49.7
200910,31.1
200911,24.2
200912,-0.3
201001,2.0
201002,0.4
201003,23.5
201004,33.9
201005,41.6
201006,52.2
201007,56.4
201008,56.0
201009,43.6
201010,35.1
201011,18.0
201012,2.2
201101,-2.3
201102,0.7
201103,10.6
201104,29.7
201105,40.6
201106,51.7
201107,59.7
201108,56.0
201109,44.3
201110,36.3
201111,19.4
201112,13.9
201201,9.6
201202,10.0
201203,27.8
201204,33.1
201205,42.1
201206,52.8
201207,60.8
201208,52.6
201209,41.7
201210,31.3
201211,18.8
201212,4.8
201301,1.7
201302,7.8
201303,6.9
201304,21.3
201305,41.0
201306,52.3
201307,56.2
201308,55.6
201309,49.4
201310,31.9
201311,15.8
201312,-4.2
201401,-3.1
201402,-4.9
201403,12.4
201404,26.5
201405,41.6
201406,51.9
201407,54.6
201408,56.1
201409,44.8
201410,34.6
201411,11.0
201412,10.2
201501,7.0
201502,-2.8
201503,21.1
201504,30.4
201505,39.8
201506,53.2
201507,57.5
201508,53.7
201509,48.0
201510,35.9
201511,22.4
201512,13.4
201601,6.4
201602,16.6
201603,24.5
201604,30.0
201605,42.8
201606,53.3
201607,57.3
201608,54.3
201609,47.0
201610,35.7
201611,28.9
201612,2.6
